"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"1","12/13-15 Kirkham Road Auburn 2144",4,2,2,868000,2023-04-04,-33.8720846985802,151.021277164585,2.78533708198308,"(2.5,3]"
"2","4/53 Kirkham Road Auburn 2144",4,2,2,850000,2023-02-28,-33.87161552155,151.01782868198,2.87732788990104,"(2.5,3]"
"3","7/55-57 Susan Street Auburn 2144",4,3,2,880000,2023-02-24,-33.8570242206832,151.032492234852,0.894047243702101,"(0.75,1]"
"4","7/53 Kirkham Road Auburn 2144",4,2,2,788880,2022-12-15,-33.87161552155,151.01782868198,2.87732788990104,"(2.5,3]"
"5","11/17-21 Kirkham Road Auburn 2144",3,1,2,710000,2022-11-28,-33.8720158412457,151.020772993109,2.79662026797535,"(2.5,3]"
"6","4/27 Louisa Street Auburn 2144",3,2,2,811118,2022-11-16,-33.8572866999811,151.035094145236,0.944509581324489,"(0.75,1]"
"7","19/17-21 Kirkham Road Auburn 2144",2,1,1,575000,2022-11-11,-33.8720158412457,151.020772993109,2.79662026797535,"(2.5,3]"
"8","34/18 Cockthorpe Road Auburn 2144",3,2,2,770000,2022-11-03,-33.8604458811974,151.036149678303,1.30908692780715,"(1.25,1.5]"
"9","1/53 Kirkham Road Auburn 2144",3,2,1,740000,2022-10-31,-33.87161552155,151.01782868198,2.87732788990104,"(2.5,3]"
"10","2/42 Helena Street Auburn 2144",3,2,1,865000,2022-10-29,-33.8576023624547,151.032826840427,0.957634491947842,"(0.75,1]"
"11","44 Princeton Cct Auburn 2144",3,2,2,7e+05,2022-10-04,-33.8736835047014,151.017071125571,3.11305334955736,"(3,3.25]"
"12","3/5 New Street Auburn 2144",2,1,1,610000,2022-09-29,-33.864862096433,151.023547319241,1.96606938721746,"(1.75,2]"
"13","4/7 Kennington Oval Auburn 2144",3,2,2,691000,2022-09-19,-33.8724478026258,151.021767170644,2.80574323397359,"(2.5,3]"
"14","3/3 St Johns Avenue Auburn 2144",3,2,2,8e+05,2022-09-13,-33.8719751890153,151.023717723332,2.69475702399304,"(2.5,3]"
"15","21/277 Park Road Auburn 2144",3,1,1,6e+05,2022-08-29,-33.8706394489252,151.025656876632,2.50021326241141,"(2.5,3]"
"16","8/17 Kirkham Road Auburn 2144",3,2,2,678000,2022-07-29,-33.8720158412457,151.020772993109,2.79662026797535,"(2.5,3]"
"17","3/30-32 St Johns Road Auburn 2144",3,2,2,790000,2022-07-27,-33.8714475063008,151.020110990396,2.76438955490545,"(2.5,3]"
"18","1/277 Park Road Auburn 2144",3,1,1,570000,2022-07-25,-33.8706394489252,151.025656876632,2.50021326241141,"(2.5,3]"
"19","2/10-12 Hevington Road Auburn 2144",3,2,1,8e+05,2022-06-24,-33.8585786865366,151.034586118085,1.07762760884278,"(1,1.25]"
"20","4/45-47 Marion Street Auburn 2144",4,3,2,820000,2022-06-21,-33.856482749738,151.033953284395,0.838648007577693,"(0.75,1]"
"21","3 Castle Street Auburn 2144",3,2,1,830000,2022-05-27,-33.8734620967291,151.01988811559,2.97691865463762,"(2.5,3]"
"22","9/21-23 Hargrave Road Auburn 2144",3,2,1,585000,2022-05-26,-33.8600562903378,151.032106751125,1.23296332852798,"(1,1.25]"
"23","6/320-322 Chisholm Road Auburn 2144",4,2,2,830000,2022-05-06,-33.871464982569,151.017474378933,2.87875897641245,"(2.5,3]"
"24","2/11 New Street Auburn 2144",3,1,2,680000,2022-04-21,-33.8652530283971,151.023540362261,2.00552180406639,"(2,2.25]"
"25","5/7-9 Helena Street Auburn 2144",3,2,2,730000,2022-04-06,-33.8573922281421,151.036245483456,0.984082754260867,"(0.75,1]"
"26","1/57-59 Norval Street Auburn 2144",4,1,2,850000,2022-04-06,-33.8589897350683,151.032325602617,1.11331929527144,"(1,1.25]"
"27","8/273-275 Park Road Auburn 2144",3,2,2,650000,2022-04-05,-33.8703318330787,151.025674562448,2.46679457924359,"(2.25,2.5]"
"28","7/27 Louisa Street Auburn 2144",3,2,2,828000,2022-04-01,-33.8572866999811,151.035094145236,0.944509581324489,"(0.75,1]"
