"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"1","1/14 Rickard Street Merrylands 2160",4,2,2,830000,2023-04-01,-33.8264214730945,150.990364035121,1.11894153103562,"(1,1.25]"
"2","28/10-14 Arthur Street Merrylands 2160",2,1,1,645000,2023-03-16,-33.833786022772,150.969996345681,2.10874176833053,"(2,2.25]"
"3","26/59-61 Neil Street Merrylands 2160",2,1,1,480000,2023-02-07,-33.8325814175571,150.988503001159,0.561136738245937,"(0.5,0.75]"
"4","7/21 St Ann Street Merrylands 2160",2,2,1,645000,2023-02-06,-33.8397168479113,150.987621308764,0.597156095735195,"(0.5,0.75]"
"5","3/11-13 Torrens Street Merrylands 2160",3,1,1,555000,2022-12-20,-33.8361963228491,150.969605413717,2.12623888461857,"(2,2.25]"
"6","7/9-11 Kimberley Street Merrylands 2160",3,2,2,706000,2022-11-11,-33.8478275965191,151.000340008643,1.46930428610162,"(1.25,1.5]"
"7","9/6-8 Addlestone Road Merrylands 2160",3,1,1,625000,2022-10-13,-33.836850614211,150.98742341203,0.482562884065052,"(0.25,0.5]"
"8","11/102-104 Lackey Street Merrylands 2160",3,3,2,638000,2022-10-01,-33.846621189195,151.00162487058,1.41999060644881,"(1.25,1.5]"
"9","5/92 Burnett Street Merrylands 2160",2,2,2,642000,2022-09-26,-33.8271703123241,150.981102702665,1.47078219769158,"(1.25,1.5]"
"10","3/59-61 Lavinia Street Merrylands 2160",3,2,1,630000,2022-09-23,-33.8484638667891,151.003853953911,1.70769437954345,"(1.5,1.75]"
"11","5/158-160 Railway Terrace Merrylands 2160",3,2,2,710000,2022-07-12,-33.843564392926,150.991828353606,0.811809869752728,"(0.75,1]"
"12","15/58-60 St Ann Street Merrylands 2160",2,1,2,610000,2022-07-02,-33.8396576716749,150.983845931936,0.891565951492629,"(0.75,1]"
"13","26/59-61 Neil Street Merrylands 2160",2,1,1,470000,2022-06-21,-33.8325814175571,150.988503001159,0.561136738245937,"(0.5,0.75]"
"14","8/79 Woodpark Road Merrylands 2160",2,2,1,605000,2022-04-06,-33.8395089348031,150.957905785627,3.22778556643324,"(3,3.25]"
"15","2/71-73 Lavinia Street Merrylands 2160",3,3,1,795000,2022-03-22,-33.8483125315273,151.002779393924,1.63523539382317,"(1.5,1.75]"
"16","4/52 Newman Street Merrylands 2160",3,2,1,760000,2022-03-18,-33.8379478472462,150.985500603442,0.681591358606562,"(0.5,0.75]"
"17","2/3 Manchester Street Merrylands 2160",3,1,2,745000,2022-02-28,-33.8315766788235,150.992042092137,0.528322458520177,"(0.5,0.75]"
"18","4/17 Lansdowne Street Merrylands 2160",2,1,2,630000,2022-02-15,-33.8456667418804,150.995896594131,1.08633837717489,"(1,1.25]"
"19","9/11 ELLIS STREET Merrylands 2160",2,1,1,660000,2022-02-14,-33.8279302575756,150.977246691928,1.69814650832227,"(1.5,1.75]"
"20","2/36-38 Manchester Street Merrylands 2160",3,1,1,638800,2022-02-08,-33.8315534609517,150.989177576727,0.615904140585463,"(0.5,0.75]"
"21","23/59-61 Neil Street Merrylands 2160",2,1,1,480500,2022-02-04,-33.8325814175571,150.988503001159,0.561136738245937,"(0.5,0.75]"
"22","1/59-61 Lavinia Street Merrylands 2160",2,1,1,595000,2022-01-31,-33.8484638667891,151.003853953911,1.70769437954345,"(1.5,1.75]"
"23","4/7-9 Ellis Street Merrylands 2160",3,2,2,7e+05,2021-12-03,-33.8281619333793,150.976974950627,1.70536911017845,"(1.5,1.75]"
"24","23/100 Kenyons Road Merrylands 2160",3,2,2,721000,2021-11-19,-33.8378939096992,150.969306012136,2.16116651730593,"(2,2.25]"
"25","13/58-60 St Ann Street Merrylands 2160",2,2,1,535000,2021-10-21,-33.8396576716749,150.983845931936,0.891565951492629,"(0.75,1]"
"26","3/19 Ellis Street Merrylands 2160",2,1,1,650000,2021-09-23,-33.8274749945046,150.977857145936,1.68036351435301,"(1.5,1.75]"
"27","4/13-15 Hawksview Street Merrylands 2160",3,2,1,8e+05,2021-08-31,-33.8469678647104,150.987442187493,1.27971807777193,"(1.25,1.5]"
"28","2/12 Bradman Street Merrylands 2160",3,3,2,7e+05,2021-08-07,-33.8429994526519,151.001573573333,1.11562175231988,"(1,1.25]"
"29","10A Richardson Street Merrylands 2160",2,1,1,553000,2021-08-03,-33.8281111809556,150.977826803447,1.64229557108018,"(1.5,1.75]"
"30","8/100 Kenyons Road Merrylands 2160",4,2,2,765000,2021-07-14,-33.837419619708,150.968975597512,2.18798097754096,"(2,2.25]"
