"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"1","13/43 Pemberton Street Parramatta 2150",3,2,2,997000,2023-03-18,-33.8093456923074,151.020160611263,1.67038005183624,"(1.5,1.75]"
"2","E6/88-98 Marsden Street Parramatta 2150",3,3,2,810000,2022-11-03,-33.8202814356518,150.998827578034,0.649416635969715,"(0.5,0.75]"
"3","5/15-17 Grandview Street Parramatta 2150",3,3,1,930000,2022-11-03,-33.8094915793322,151.018966525336,1.56952885118375,"(1.5,1.75]"
"4","1/46-48 Pemberton Street Parramatta 2150",4,2,2,1015250,2022-10-28,-33.8102813641589,151.02096678271,1.68123876683314,"(1.5,1.75]"
"5","7/46-48 Morton Street Parramatta 2150",4,2,2,1100000,2022-10-08,-33.8092705066359,151.01843989036,1.54416370981398,"(1.5,1.75]"
"6","5/1 Wandsworth Street Parramatta 2150",5,2,2,1010000,2022-09-10,-33.8110225339471,151.015132223729,1.1824290758396,"(1,1.25]"
"7","13/66 Marsden Street Parramatta 2150",3,1,2,880000,2022-07-29,-33.8218246278455,150.999058918561,0.730519223591541,"(0.5,0.75]"
"8","6/1-9 King Street Parramatta 2150",3,1,1,701000,2022-05-31,-33.820003449833,150.996286101172,0.852724902490175,"(0.75,1]"
"9","11/66 Marsden Street Parramatta 2150",3,1,1,860000,2022-01-21,-33.8218246278455,150.999058918561,0.730519223591541,"(0.5,0.75]"
"10","5/66 Marsden Street Parramatta 2150",4,1,1,840000,2022-01-19,-33.8218246278455,150.999058918561,0.730519223591541,"(0.5,0.75]"
"11","4/16 Grandview Street Parramatta 2150",3,2,2,975000,2021-12-04,-33.8095587602861,151.019760962119,1.62645992147814,"(1.5,1.75]"
"12","5/74 Pemberton Street Parramatta 2150",3,2,1,850000,2021-11-20,-33.8078857743218,151.021156213722,1.83803818137816,"(1.75,2]"
"13","5/16-20 Grandview Street Parramatta 2150",3,2,2,950000,2021-11-06,-33.8095587602861,151.019760962119,1.62645992147814,"(1.5,1.75]"
"14","16/43 Pemberton Street Parramatta 2150",3,2,2,985888,2021-10-25,-33.8093918346844,151.020416343128,1.68753106462455,"(1.5,1.75]"
"15","14/43 Pemberton Street Parramatta 2150",3,2,2,985000,2021-09-25,-33.8093617855615,151.020251471093,1.67647186682782,"(1.5,1.75]"
"16","4/12 Pemberton Street Parramatta 2150",4,2,2,950000,2021-09-24,-33.813557598653,151.020123060336,1.46593615806878,"(1.25,1.5]"
"17","5/1 Bobart Street Parramatta 2150",3,1,1,640000,2021-07-29,-33.8203053659854,150.997130410279,0.791984278028384,"(0.75,1]"
"18","4/55 Rosehill Street Parramatta 2150",3,2,2,860000,2021-07-23,-33.8245228462967,151.001218013,0.856455285375594,"(0.75,1]"
"19","8/11-13 Tennyson Street Parramatta 2150",3,2,1,745000,2021-06-04,-33.8121977605914,151.021100893161,1.60186042115702,"(1.5,1.75]"
"20","10/9-11 New Zealand Street Parramatta 2150",3,1,2,806000,2021-05-26,-33.814316370438,151.014523027006,0.949389501701963,"(0.75,1]"
"21","12/9-11 New Zealand Street Parramatta 2150",3,1,2,773000,2021-04-15,-33.8144085713729,151.014501820791,0.943779071193061,"(0.75,1]"
"22","6/70 Marsden Street Parramatta 2150",3,2,2,910000,2021-04-14,-33.8216173014704,150.999108120333,0.712032585068507,"(0.5,0.75]"
"23","10/77-79 Thomas Street Parramatta 2150",4,2,2,1150000,2021-03-31,-33.813248641702,151.020384743354,1.499545525601,"(1.25,1.5]"
"24","6/9-19 Bobart Street Parramatta 2150",2,1,1,715000,2021-02-18,-33.8200301461946,150.997270974795,0.768303083577334,"(0.75,1]"
"25","39/23 - 33 Napier Street Parramatta 2150",2,2,2,650000,2020-12-08,-33.8208610442564,150.995040131265,0.994216437725447,"(0.75,1]"
"26","6/14 Pemberton Street Parramatta 2150",3,2,1,717000,2020-11-06,-33.8134046289201,151.020165472766,1.47485503449574,"(1.25,1.5]"
"27","E3/88-98 Marsden Street Parramatta 2150",3,3,2,750000,2020-11-03,-33.8203292544095,150.999094206374,0.630492949726992,"(0.5,0.75]"
"28","4/8-10 Grandview Street Parramatta 2150",3,2,2,835000,2020-10-17,-33.8101363991434,151.019607321834,1.5802553074409,"(1.5,1.75]"
"29","1/50-52 Hassall Street Parramatta 2150",2,1,2,630000,2020-10-02,-33.8180098141627,151.014093873563,0.842964693606428,"(0.75,1]"
"30","4/35 Victoria Road Parramatta 2150",3,1,2,682000,2020-09-30,-33.8095392304517,151.010126048238,1.00504225848074,"(1,1.25]"
"31","8/148-152 Pennant Street Parramatta 2150",3,2,2,730000,2020-09-19,-33.8080076891035,151.018910031309,1.66486880547353,"(1.5,1.75]"
"32","8/145-147 Pennant Street Parramatta 2150",3,2,1,8e+05,2020-07-10,-33.8065600506061,151.021725261128,1.96879653532328,"(1.75,2]"
"33","7/6 Glebe Street Parramatta 2150",3,1,1,615000,2020-04-27,-33.8202504226101,150.99662565207,0.832819266501264,"(0.75,1]"
