"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"3/9-13 Boronia Street Redfern 2016",2,1,1,1265000,2022-09-10,-33.8936773193505,151.212940360984,1301.64500723314
2,"58/11-33 Maddison Street Redfern 2016",3,2,2,1615000,2022-06-24,-33.8956818514949,151.21422539056,1461.85903929997
3,"7 Centre Street Redfern 2016",3,2,2,1812000,2022-06-24,-33.8910220162436,151.208243980635,867.98776025585
4,"1/54-56 Hugo Street Redfern 2016",1,1,NA,715000,2022-02-05,-33.8902953052382,151.197992493956,232.723108912854
5,"7/114 Pitt Street Redfern 2016",3,2,2,2e+06,2021-11-13,-33.8936652913194,151.203556233646,453.722751580704
6,"49/11-33 Maddison Street Redfern 2016",3,2,2,1650000,2021-10-16,-33.8957763574532,151.215063245602,1539.35100468128
7,"20/9-13 Boronia Street Redfern 2016",2,1,1,1556500,2021-06-26,-33.8938585780067,151.212607599428,1273.86376214684
8,"56/11-33 Maddison Street Redfern 2016",3,2,2,1500000,2020-07-18,-33.8957073743901,151.214349107451,1473.63539087237
9,"4/11-33 Maddison Street Redfern 2016",3,2,2,1510000,2020-06-13,-33.8955293846761,151.21528067217,1552.03241248257
10,"103 Great Buckingham Street Redfern 2016",4,2,1,2040000,2019-11-15,-33.8929208106794,151.206614873934,711.29634423054
11,"7 William Lane Redfern 2016",1,1,1,630000,2019-05-27,-33.8941514417036,151.199316834658,216.993266959378
12,"75 Boronia Street Redfern 2016",3,1,NA,1350000,2018-03-01,-33.8934549474593,151.21110464037,1130.26227871177
13,"4/110-112 Redfern Street Redfern 2016",3,2,1,1570000,2017-07-08,-33.8926017116255,151.204469022902,510.50432848349
14,"10/146-152 Pitt Street Redfern 2016",3,2,2,1050000,2015-07-08,-33.8951815356944,151.202285369487,450.117933567786
15,"21/114-124 Pitt Street Redfern 2016",3,2,2,1122000,2014-09-22,-33.893794665995,151.20294997059,407.770069625255
16,"4/9 Boronia Street Redfern 2016",3,1,1,850000,2014-05-17,-33.893672080661,151.21289744564,1297.63776210664
17,"5/9-13 Boronia Street Redfern 2016",3,1,1,797500,2014-04-03,-33.8936650817719,151.212851009896,1293.28343912924
18,"6/1-13 Boronia Street Redfern 2016",2,1,1,783500,2013-11-28,-33.893851453389,151.213034322119,1312.79301143102
19,"6/1 Boronia Street Redfern 2016",2,1,1,783500,2013-11-28,-33.8937385910627,151.213307236886,1336.13264080871
20,"6/1-13 Boronia Street Redfern 2016",2,1,1,783500,2013-11-28,-33.893851453389,151.213034322119,1312.79301143102
