"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"2C St James Road (AKA 4/17 Oxford Street) Bondi Junction 2022",3,2,1,2045000,2020-12-08,-33.8908314536749,151.24298931623,503.771695959827
2,"1/1-17 Hough Street Bondi Junction 2022",3,2,2,2200000,2019-11-06,-33.8944800123081,151.243269187977,610.313690237133
3,"9 Ben Eden Street Bondi Junction 2022",3,2,1,2250000,2011-11-01,-33.8913069171325,151.254796819414,588.60122657495
4,"2/16 Arnold Street Bondi Junction 2022",2,2,1,930000,2010-05-06,-33.8987277512898,151.250068168738,866.540238913907
5,"13/7 Botany Street Bondi Junction 2022",1,1,1,330000,2009-09-01,-33.8938841009018,151.253725779827,581.177243128796
6,"7a/7 Botany Street Bondi Junction 2022",2,1,1,560000,2009-08-27,-33.8938841009018,151.253725779827,581.177243128796
7,"27/17 Newland Street Bondi Junction 2022",2,2,1,610000,2007-09-01,-33.8927198126413,151.246880279503,233.758801909188
8,"19/2 Llandaff Street Bondi Junction 2022",2,NA,NA,560000,2003-12-01,-33.8932035322735,151.252129278729,416.416777476495
9,"29/16 Botany Street Bondi Junction 2022",3,2,2,860000,2003-11-01,-33.8942254539087,151.254399768661,654.115892511232
10,"51 Mackenzie Street Bondi Junction 2022",3,2,1,233333,2003-03-01,-33.895007569294,151.248166314907,439.847505807603
11,"116 Ruthven Street Bondi Junction 2022",4,2,1,450000,2002-05-01,-33.8940775133176,151.24312267231,594.564273679122
12,"214 Birrell Street Bondi Junction 2022",3,1,NA,529000,2002-04-01,-33.8963014417776,151.253689402367,758.905672567026
