"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"5/198-208 George Street Erskineville 2043",3,2,1,1665000,2023-03-18,-33.9031323575895,151.184347845234,358.217533399682
2,"16/31A Devine Street Erskineville 2043",2,1,1,952000,2022-11-30,-33.9054269035838,151.182294027499,667.753912517364
3,"12/31A Devine Street Erskineville 2043",2,1,1,991000,2022-04-14,-33.9054269035838,151.182294027499,667.753912517364
4,"3/31A Devine Street Erskineville 2043",2,1,1,1040000,2022-03-05,-33.9054269035838,151.182294027499,667.753912517364
5,"6/45 Macdonald Street Erskineville 2043",3,2,1,1305000,2021-11-15,-33.9041037363485,151.183985076465,471.413351892824
6,"1/192 Rochford Street Erskineville 2043",2,1,1,1400000,2021-07-03,-33.9050613268768,151.181123997635,689.921279048555
7,"17/15-23a Knight Street Erskineville 2043",2,1,1,1060000,2020-06-24,-33.9044929500225,151.182296961165,576.781421818734
8,"8 Nassau Lane Erskineville 2043",3,2,1,1589000,2020-02-19,-33.9051363868197,151.186680780345,572.794690516227
9,"13/15-23A Knight Street Erskineville 2043",2,1,1,1152000,2019-12-07,-33.9044929500225,151.182296961165,576.781421818734
10,"15/15 Knight Street Erskineville 2043",2,1,1,1100000,2019-09-07,-33.9042282408606,151.182282190324,552.62144190213
11,"7/18 Ethel Street Erskineville 2043",3,2,1,1450000,2019-05-23,-33.8994017820337,151.187640005344,206.326326670017
12,"15/168-178 George Street Erskineville 2043",2,1,1,978000,2018-08-29,-33.9022198617003,151.184568876021,255.644502044097
13,"5/33 Burren Street Erskineville 2043",3,2,2,1500000,2018-03-02,-33.8979115634681,151.185830939182,242.209701948947
14,"10/31A Devine Street (entry via Bray Street) Erskineville 2043",2,1,1,902000,2017-11-16,-33.9054269035838,151.182294027499,667.753912517364
15,"14/31A Devine Street Erskineville 2043",2,1,1,9e+05,2017-10-19,-33.9054269035838,151.182294027499,667.753912517364
16,"19/31a Devine Street Erskineville 2043",2,1,1,912000,2016-10-28,-33.9054269035838,151.182294027499,667.753912517364
17,"6/15-23A Knight Street Erskineville 2043",2,1,1,965000,2016-08-20,-33.9044929500225,151.182296961165,576.781421818734
18,"C103/1 Pearl Street Erskineville 2043",2,2,1,970000,2015-08-22,-33.9034399315265,151.185401534282,374.789914662545
19,"66 Park Street Erskineville 2043",3,2,2,1380000,2015-08-15,-33.9000634494704,151.189801865811,391.954276847016
20,"112 Swanson Street Erskineville 2043",2,1,1,960000,2015-03-21,-33.9002319257242,151.189918960999,403.145970186463
21,"22 Nassau Lane Erskineville 2043",3,2,1,1135000,2014-12-10,-33.9051841217583,151.1870170623,584.388980547924
22,"22 Devine Street Erskineville 2043",3,1,1,780000,2014-05-03,-33.9051178209042,151.182417660571,631.921320774961
23,"7/198-208 George Street Erskineville 2043",3,2,1,870000,2013-07-23,-33.9031323575895,151.184347845234,358.217533399682
24,"7/198 George Street Erskineville 2043",3,2,1,870000,2013-07-23,-33.9031323575895,151.184347845234,358.217533399682
25,"5/33 Burren Street Erskineville 2043",3,2,2,950000,2013-06-13,-33.8979115634681,151.185830939182,242.209701948947
26,"5/33-35 Burren St Erskineville 2043",3,2,2,950000,2013-06-13,-33.8979115634681,151.185830939182,242.209701948947
27,"T8/45 Macdonald Street Erskineville 2043",2,2,1,615000,2013-04-08,-33.9041037363485,151.183985076465,471.413351892824
28,"7/15-23A Knight Street Erskineville 2043",2,1,1,670000,2012-12-01,-33.9044929500225,151.182296961165,576.781421818734
29,"52 Park Street Erskineville 2043",2,2,2,920000,2012-11-01,-33.8997907861601,151.189713352914,385.082589177755
30,"14/31A Devine Street Erskineville 2043",2,1,1,656000,2012-10-27,-33.9054269035838,151.182294027499,667.753912517364
31,"12/15 Knight Street Erskineville 2043",2,1,1,647000,2011-06-03,-33.9040684485361,151.182449260346,529.292707402923
32,"5/45 MacDonald Street Erskineville 2043",3,2,1,677500,2011-04-01,-33.9041037363485,151.183985076465,471.413351892824
33,"15/31a Devine Street Erskineville 2043",2,1,1,645600,2010-11-01,-33.9054269035838,151.182294027499,667.753912517364
34,"4/198 George Street Erskineville 2043",3,3,1,821000,2010-09-22,-33.9031323575895,151.184347845234,358.217533399682
35,"9/198 George Street Erskineville 2043",3,2,1,810500,2010-09-22,-33.9031323575895,151.184347845234,358.217533399682
36,"4/198-208 George Street Erskineville 2043",3,3,1,821000,2010-09-22,-33.9031323575895,151.184347845234,358.217533399682
37,"9/198-208 George Street Erskineville 2043",3,2,1,810500,2010-09-22,-33.9031323575895,151.184347845234,358.217533399682
38,"3/18 Ethel Street Erskineville 2043",3,2,1,9e+05,2010-08-28,-33.8994017820337,151.187640005344,206.326326670017
39,"7/198 George Street Erskineville 2043",3,2,1,795000,2010-08-20,-33.9031323575895,151.184347845234,358.217533399682
40,"6/198 George Street Erskineville 2043",3,2,1,780000,2010-07-01,-33.9031323575895,151.184347845234,358.217533399682
41,"13/31A Devine Street Erskineville 2043",2,1,NA,1015000,2009-12-22,-33.9054269035838,151.182294027499,667.753912517364
42,"2117/8 Eve Street Erskineville 2043",1,1,NA,690000,2009-12-01,-33.9047141903568,151.186064542823,518.456064433833
43,"19/31A Devine Street Erskineville 2043",2,1,1,539000,2009-11-27,-33.9054269035838,151.182294027499,667.753912517364
44,"2/33 Flora Street Erskineville 2043",2,1,1,530000,2009-09-30,-33.9048809483204,151.183184856169,578.175295796989
45,"12/31A Devine St Erskineville 2043",2,1,1,490000,2009-07-24,-33.9054269035838,151.182294027499,667.753912517364
46,"5/31A Devine Street Erskineville 2043",2,NA,NA,490000,2009-05-01,-33.9054269035838,151.182294027499,667.753912517364
47,"11/31A Devine Street Erskineville 2043",2,1,1,490000,2009-02-01,-33.9054269035838,151.182294027499,667.753912517364
48,"4 Smiths Lane Erskineville 2043",2,2,1,568000,2008-05-06,-33.9028786792899,151.183921374001,346.809689576756
49,"22A Morrissey Road Erskineville 2043",3,2,1,780000,2007-11-01,-33.9013456711086,151.183812828354,214.570002238238
50,"4/15 Knight Street Erskineville 2043",3,1,NA,670000,2007-10-05,-33.9039907063842,151.182145751632,537.994091297901
51,"1C Goddard Street Erskineville 2043",3,2,1,570000,2007-03-01,-33.904143340841,151.184916389727,456.693348804876
52,"3/45 Macdonald Street Erskineville 2043",3,2,1,550000,2007-02-01,-33.9041037363485,151.183985076465,471.413351892824
53,"205 Rochford Street Erskineville 2043",1,1,1,8e+05,2006-10-01,-33.9047199319604,151.180757037914,681.317074877792
54,"2117/2 Eve Street Erskineville 2043",1,1,NA,309500,2006-08-01,-33.9051148768054,151.185871139962,561.695665984979
55,"10/45 Macdonald Street Erskineville 2043",2,1,1,810000,2006-03-01,-33.9041037363485,151.183985076465,471.413351892824
56,"25B Prospect Street Erskineville 2043",3,3,NA,1855000,2005-10-01,-33.9005441516175,151.183376382656,208.37037350409
57,"14A Devine Street Erskineville 2043",3,3,NA,735000,2005-02-01,-33.9048714767699,151.182142147414,620.258763957828
58,"2/45 Macdonald Street Erskineville 2043",3,2,NA,545000,2004-12-01,-33.9041037363485,151.183985076465,471.413351892824
59,"2/45 Macdonald Street Erskineville 2043",3,2,NA,545000,2004-12-01,-33.9041037363485,151.183985076465,471.413351892824
60,"2/18 Ethel Street Erskineville 2043",3,2,NA,648500,2004-09-01,-33.8994017820337,151.187640005344,206.326326670017
61,"3/187 Rochford Street Erskineville 2043",3,1,NA,615000,2004-08-01,-33.9039023192152,151.18142742253,572.044043619131
62,"3/192 Rochford Street Erskineville 2043",2,1,1,1300000,2004-07-01,-33.9050613268768,151.181123997635,689.921279048555
63,"98A Burren Street Erskineville 2043",3,1,NA,643000,2003-10-01,-33.8974423864379,151.185273710259,294.328570703232
64,"14/45 Macdonald Street Erskineville 2043",2,1,NA,445000,2003-06-01,-33.9041037363485,151.183985076465,471.413351892824
65,"1/45 Macdonald Street Erskineville 2043",3,2,NA,490000,2002-11-01,-33.9041037363485,151.183985076465,471.413351892824
