"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"6/15-25 Edgar Street Tempe 2044",3,3,2,1540000,2022-08-15,-33.9212964446849,151.157759023438,296.968254836556
2,"25/15-25 Edgar Street Tempe 2044",3,2,2,1335000,2022-06-08,-33.9213279187313,151.158274426664,314.88282214903
3,"15/15-25 Edgar Street Tempe 2044",3,3,2,1280000,2018-09-19,-33.9209503978123,151.158067561294,343.578242265659
4,"18/15-25 Edgar Street Tempe 2044",3,3,2,1275000,2018-04-11,-33.9209516131882,151.158067561294,343.454682270381
5,"C02/15-25 Edgar Street Tempe 2044",3,3,2,865000,2013-10-16,-33.9212482906511,151.158038811366,312.407088267254
6,"D01/15-25 Edgar Street Tempe 2044",2,2,2,1060000,2013-10-16,-33.9212482906511,151.158038811366,312.407088267254
7,"C03/15-25 Edgar Street Tempe 2044",3,3,2,815000,2013-10-11,-33.9212482906511,151.158038811366,312.407088267254
8,"D03/15-25 Edgar Street Tempe 2044",3,3,2,850000,2013-10-11,-33.9212482906511,151.158038811366,312.407088267254
9,"C04/15-25 Edgar Street Tempe 2044",3,3,2,850000,2013-10-11,-33.9212482906511,151.158038811366,312.407088267254
10,"E05/15-25 Edgar Street Tempe 2044",3,2,2,830000,2013-10-11,-33.9212482906511,151.158038811366,312.407088267254
11,"D02/15-25 Edgar Street Tempe 2044",3,3,2,850000,2013-10-11,-33.9212482906511,151.158038811366,312.407088267254
12,"E01/15-25 Edgar Street Tempe 2044",3,3,2,940000,2013-10-11,-33.9212482906511,151.158038811366,312.407088267254
13,"C05/15-25 Edgar Street Tempe 2044",3,3,2,880000,2013-10-11,-33.9212482906511,151.158038811366,312.407088267254
14,"E07/15-25 Edgar Street Tempe 2044",3,2,2,880000,2013-10-11,-33.9212482906511,151.158038811366,312.407088267254
15,"A03/15-25 Edgar Street Tempe 2044",3,3,2,980000,2013-10-11,-33.9212482906511,151.158038811366,312.407088267254
16,"A04/15-25 Edgar Street Tempe 2044",3,3,2,980000,2013-10-11,-33.9212482906511,151.158038811366,312.407088267254
17,"C01/15-25 Edgar Street Tempe 2044",3,3,2,880000,2013-10-11,-33.9212482906511,151.158038811366,312.407088267254
18,"B03/15-25 Edgar Street Tempe 2044",3,3,2,885000,2013-10-11,-33.9215299645073,151.157996147479,282.694642334561
19,"4 Farrow Lane Tempe 2044",3,2,2,1360000,2007-04-01,-33.923327840829,151.161554433015,464.629421516274
20,"12 Farrow Lane Tempe 2044",3,2,1,505000,2006-07-01,-33.9231275971621,151.161352093872,449.05105761134
21,"18 Farrow Lane Tempe 2044",3,2,1,520000,2006-06-01,-33.9229677961781,151.161190909874,437.635695312431
