"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"6/1 Durham Street Stanmore 2048",3,2,2,1715000,2022-08-11,-33.8917499845343,151.168840067074,556.475438815139
2,"5/2 Douglas Street Stanmore 2048",3,3,2,1625000,2020-07-02,-33.8933166879664,151.165353782086,198.670123912197
3,"3/1 Durham Street Stanmore 2048",2,1,2,1190000,2020-04-15,-33.8917499845343,151.168840067074,556.475438815139
4,"8/2 Douglas Street Stanmore 2048",3,3,2,1736100,2016-10-11,-33.8933152630428,151.165222437664,191.104269397843
5,"11 Railway Avenue Stanmore 2048",3,2,2,875000,2013-09-01,-33.894944369744,151.171116927253,662.759493091003
6,"7/1 Durham Street Stanmore 2048",2,1,2,795000,2013-06-19,-33.8917499845343,151.168840067074,556.475438815139
7,"3/1 Durham Street Stanmore 2048",2,1,2,669000,2012-10-19,-33.8917499845343,151.168840067074,556.475438815139
8,"2/1 Durham Street Stanmore 2048",3,2,2,780000,2012-07-01,-33.8917499845343,151.168840067074,556.475438815139
9,"5/1 Durham Street Stanmore 2048",3,2,2,785000,2012-03-23,-33.8917499845343,151.168840067074,556.475438815139
10,"9 Margaret Street Stanmore 2048",2,1,NA,1275000,2011-08-01,-33.889125359193,151.162369573099,634.300068943422
11,"2 Douglas Street Stanmore 2048",3,3,2,1095000,2011-08-01,-33.8933687395851,151.165315476789,191.972022470292
12,"4/1 Durham Street Stanmore 2048",2,1,2,701000,2010-05-06,-33.8917499845343,151.168840067074,556.475438815139
13,"108 Douglas Street Stanmore 2048",4,2,NA,557500,2010-05-01,-33.8927590818576,151.159149497356,492.113368618134
14,"23 Railway Avenue Stanmore 2048",3,3,2,738000,2009-10-29,-33.8948963833483,151.170853567855,638.218216376815
15,"16/2 Bridge Road Stanmore 2048",3,2,1,539000,2008-01-01,-33.8882183953599,151.171015506224,970.46846854785
16,"4/61A Albany Road Stanmore 2048",3,2,2,565000,2006-12-01,-33.8908916776492,151.167227724179,518.186978281969
17,"29 Railway Avenue Stanmore 2048",3,2,2,535000,2004-11-01,-33.8948468463006,151.170562129081,611.108165619357
18,"21 Harrow Road Stanmore 2048",4,1,3,670000,2003-08-01,-33.896128187839,151.16957968621,544.756847088308
19,"16/119 Cavendish Street Stanmore 2048",2,1,1,137500,2002-10-01,-33.8963967440167,151.166114691257,277.285419300395
20,"31 Railway Avenue Stanmore 2048",3,3,2,640000,2002-06-01,-33.8948050625132,151.170575959222,612.253626883828
21,"13 Railway Avenue Stanmore 2048",3,3,1,640000,2002-05-01,-33.8949316292512,151.171075185375,658.842384446796
22,"2/61A Albany Road Stanmore 2048",2,2,2,461500,2002-02-01,-33.890874201381,151.167344148814,526.105076137106
