"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"6/38-40 View Street Chatswood 2067",3,3,1,1620000,2022-05-21,-33.7917175860106,151.178902458017,723.411635356424
2,"5/25 Goodchap Road Chatswood 2067",2,1,1,1500000,2022-02-18,-33.8011359115136,151.177249714349,481.878985291044
3,"11/7-9 Goodchap Road Chatswood 2067",2,1,2,1500000,2022-02-09,-33.8033261028134,151.177362534766,674.130019345868
4,"7/319 Mowbray Road Chatswood 2067",3,2,2,1908888,2021-12-03,-33.8027402496909,151.183293569453,572.841842227261
5,"1/7-9 Goodchap Road Chatswood 2067",3,2,2,1867000,2021-11-13,-33.8033261028134,151.177362534766,674.130019345868
6,"3/38-40 View Street Chatswood 2067",3,2,2,1750000,2021-10-11,-33.7917175860106,151.178902458017,723.411635356424
7,"8/25 Goodchap Road Chatswood 2067",2,1,2,1581000,2021-07-31,-33.8011359115136,151.177249714349,481.878985291044
8,"4/25 Goodchap Road Chatswood 2067",3,2,2,1475000,2020-11-24,-33.8011359115136,151.177249714349,481.878985291044
9,"10/7-9 Goodchap Road Chatswood 2067",3,2,2,1470000,2020-03-29,-33.8033261028134,151.177362534766,674.130019345868
10,"22a James Street Chatswood 2067",3,3,2,2140000,2018-05-29,-33.7965620326794,151.176547394682,429.778691583863
11,"6/9 View Street Chatswood 2067",3,2,2,1500000,2016-09-24,-33.7947979773371,151.177639053752,465.120300925588
12,"3/47-49 Archer Street Chatswood 2067",4,3,2,2468000,2016-08-04,-33.7979339406816,151.186814304063,551.444719343262
13,"5/25 Goodchap Road Chatswood 2067",2,1,1,1005000,2016-03-19,-33.8011359115136,151.177249714349,481.878985291044
14,"8/57-61 Archer Street Chatswood 2067",3,2,2,1755000,2016-02-18,-33.7972982571448,151.18646997548,525.543233438743
15,"6/22 Bertram Street Chatswood 2067",3,2,2,1700000,2015-10-16,-33.7987191992806,151.187361474702,607.140637222913
16,"5A James Street Chatswood 2067",3,2,2,1580000,2015-07-20,-33.7975949346077,151.177562526976,307.969763483242
17,"3 James Street Chatswood 2067",3,2,1,1450000,2015-07-07,-33.7976978224691,151.17759940735,303.0690465079
18,"3/9 View Street Chatswood 2067",3,3,2,1460000,2015-06-02,-33.7947979773371,151.177639053752,465.120300925588
19,"3/57-61 Archer St Chatswood 2067",4,3,2,1650,2015-05-14,-33.7972982571448,151.18646997548,525.543233438743
20,"29D Archer Street Chatswood 2067",3,3,2,1500000,2014-11-23,-33.7987672275858,151.187052517751,579.567091974579
21,"12A Sylvia Street Chatswood 2067",4,2,2,1444000,2014-11-15,-33.7979048554776,151.170081259296,996.613796753964
22,"3/22-28 Bertram Street Chatswood 2067",3,3,2,1410000,2014-08-23,-33.7987191992806,151.187361474702,607.140637222913
