"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"9 Bent Street Lindfield 2070",4,3,2,2165000,2022-08-20,-33.775097194023,151.167040472462,201.136364678033
2,"15/1 Milray Street Lindfield 2070",3,3,2,2800000,2019-02-06,-33.7738255335827,151.171433595555,297.302313777247
3,"4/1 Milray Street Lindfield 2070",3,3,2,2850000,2018-06-19,-33.7738255335827,151.171433595555,297.302313777247
4,"8/1 Milray Street Lindfield 2070",3,3,1,2680000,2018-06-19,-33.7738255335827,151.171433595555,297.302313777247
5,"2/1 Milray Street Lindfield 2070",3,3,2,2800000,2018-06-12,-33.7738255335827,151.171433595555,297.302313777247
6,"16/1 Milray Street Lindfield 2070",3,3,2,2990000,2018-06-07,-33.7738255335827,151.171433595555,297.302313777247
7,"1/1 Milray Street Lindfield 2070",3,3,2,2990000,2018-06-07,-33.7738255335827,151.171433595555,297.302313777247
8,"12/1 Milray Street Lindfield 2070",3,3,2,2850000,2017-10-26,-33.7738255335827,151.171433595555,297.302313777247
9,"17/18-20 Bent Street Lindfield 2070",3,2,2,2300000,2017-06-07,-33.7759981647953,151.166287945195,263.208915005919
10,"7/18-20 Bent Street Lindfield 2070",3,2,2,2550000,2017-04-13,-33.7759981647953,151.166287945195,263.208915005919
11,"7/1 Milray Street Lindfield 2070",3,3,2,2800000,2017-04-12,-33.7738255335827,151.171433595555,297.302313777247
12,"8/18-20 Bent Street Lindfield 2070",3,2,2,2500000,2017-03-15,-33.7759981647953,151.166287945195,263.208915005919
13,"15/470 Pacific Highway Lindfield 2070",2,1,1,9e+05,2016-12-03,-33.7724978820293,151.162063717452,740.742992908936
14,"56 Archbold Road Lindfield 2070",3,2,2,1475000,2016-08-05,-33.7726627959742,151.180052203676,1066.75679514131
15,"15/12-18 Russell Avenue Lindfield 2070",3,2,2,1945000,2016-06-07,-33.7755770579798,151.17169108762,239.576476307766
16,"14/470 Pacific Highway Lindfield 2070",2,1,1,750100,2016-03-02,-33.7724978820293,151.162063717452,740.742992908936
17,"8/12 - 18 Russell Avenue Lindfield 2070",3,2,2,1820000,2015-11-21,-33.7758888647779,151.171252546446,200.355036025063
18,"15/12-18 Russell Avenue Lindfield 2070",3,2,2,1700000,2015-10-26,-33.7755770579798,151.17169108762,239.576476307766
19,"1/470 Pacific Highway Lindfield 2070",3,2,2,940500,2015-10-21,-33.7724978820293,151.162063717452,740.742992908936
20,"1/8 Havilah Road Lindfield 2070",3,3,1,2e+06,2015-08-29,-33.7720010866281,151.170420642556,425.65921134584
21,"17/470 Pacific Highway Lindfield 2070",2,1,1,720500,2015-04-03,-33.7724978820293,151.162063717452,740.742992908936
22,"10/470 Pacific Highway Lindfield 2070",3,2,1,790000,2014-05-26,-33.7724978820293,151.162063717452,740.742992908936
23,"4/1-3 Llewellyn Street Lindfield 2070",3,2,2,9e+05,2013-10-31,-33.7801716401149,151.169679682315,504.506949222713
24,"14/12 Russell Avenue Lindfield 2070",3,2,2,1175000,2013-04-02,-33.7754494015944,151.171628139527,234.781133966505
25,"2/9 Drovers Way Lindfield 2070",3,2,2,780000,2011-09-23,-33.7778775970349,151.16841887644,254.345720104346
26,"2/9 Drovers Way Lindfield 2070",3,2,2,1155000,2011-09-01,-33.7778775970349,151.16841887644,254.345720104346
27,"9/189 Pacific Highway Lindfield 2070",2,1,1,801274,2011-09-01,-33.7821791897445,151.172250160562,781.412435580278
28,"Unit 20 Lindfield 2070",2,1,1,639000,2011-07-14,-33.7755941015694,151.16958051477,44.7821506445788
29,"7/12 Russell Avenue Lindfield 2070",3,2,2,1025000,2011-04-01,-33.7758223124667,151.17121239713,195.86820572623
30,"3/1-3 Llewellyn Street Lindfield 2070",3,2,6,782000,2010-03-01,-33.7801716401149,151.169679682315,504.506949222713
31,"3/1 Llewellyn Street Lindfield 2070",3,2,3,782000,2010-03-01,-33.7801716401149,151.169679682315,504.506949222713
32,"1/1 Llewellyn Street Lindfield 2070",3,3,3,815000,2009-12-01,-33.7801716401149,151.169679682315,504.506949222713
33,"1/12 Russell Avenue Lindfield 2070",3,2,2,1020000,2009-05-01,-33.7759736896381,151.171087506773,186.71779136546
34,"2/1 Llewellyn Street Lindfield 2070",3,2,2,1641800,2006-06-01,-33.7801716401149,151.169679682315,504.506949222713
35,"9/12 Russell Avenue Lindfield 2070",4,3,2,935000,2005-06-01,-33.7757876532971,151.171479528384,220.225108714626
36,"8/12 Russell Avenue Lindfield 2070",3,2,NA,875000,2004-11-01,-33.7758888647779,151.171252546446,200.355036025063
37,"6/12 Russell Avenue Lindfield 2070",3,2,NA,850000,2004-11-01,-33.7756846397071,151.171221533404,195.940660098004
