"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"28/183 St Johns Avenue Gordon 2072",3,2,3,1910000,2023-02-25,-33.767607251074,151.142124846178,1737.78512065382
2,"106/183 St Johns Avenue Gordon 2072",3,2,2,1680000,2022-11-22,-33.7683927192206,151.142828758407,1764.86252508217
3,"23/181-183 St Johns Avenue Gordon 2072",3,2,2,1655000,2022-10-21,-33.7686634546931,151.142345206413,1816.01034214189
4,"31a St Johns Avenue Gordon 2072",2,2,1,1700000,2022-09-01,-33.7566244014337,151.151206051536,307.259870408153
5,"6/61-63 Werona Avenue Gordon 2072",3,2,1,1450000,2022-08-19,-33.7570183089734,151.156571810672,247.541608209868
6,"123/181 St Johns Avenue Gordon 2072",3,2,2,1475000,2022-08-03,-33.7682591116839,151.1435426451,1713.61912345703
7,"22/183 St Johns Avenue Gordon 2072",3,2,2,1800000,2022-07-13,-33.7685661827068,151.14241812897,1803.31797439027
8,"122/183 St Johns Avenue Gordon 2072",3,2,2,1800000,2022-06-07,-33.7684082676509,151.143486821625,1730.12090403826
9,"2/7 Moree Street Gordon 2072",3,2,2,2130000,2022-03-08,-33.7557596823926,151.151241842262,288.723971844131
10,"1/38-40 Mcintyre Street Gordon 2072",3,2,2,2160000,2021-11-08,-33.7544555420775,151.148068621358,600.416788789364
11,"15/29 Moree Street Gordon 2072",4,3,2,2304500,2021-10-22,-33.7562097905931,151.149606952048,442.79593129287
12,"4/17 Park Avenue Gordon 2072",3,2,1,1700000,2021-07-02,-33.7536777433724,151.155524324232,256.202511769985
13,"59/183 St Johns Avenue Gordon 2072",3,2,2,1635000,2021-03-20,-33.7687950086635,151.141723520654,1863.17686014216
14,"3/7 Moree Street Gordon 2072",3,2,2,1680000,2020-11-24,-33.7557596823926,151.151241842262,288.723971844131
15,"58/183 St Johns Avenue Gordon 2072",3,2,2,1500000,2020-09-19,-33.7686839065369,151.141751516211,1851.93241331651
16,"48/183 St Johns Avenue Gordon 2072",3,2,2,1375000,2019-12-06,-33.7685251532907,151.141804154563,1835.1559591417
17,"62/183 St Johns Avenue Gordon 2072",3,2,2,1350000,2019-09-28,-33.7689175101784,151.141759814295,1871.71653256625
18,"4/61-63 Werona Avenue Gordon 2072",3,2,1,1208000,2019-09-23,-33.7570544349761,151.156447004134,240.460458303872
19,"7/21 Moree Street Gordon 2072",3,2,2,1600000,2019-09-13,-33.7560882949066,151.150071980036,398.610892598372
20,"1/61-63 Werona Avenue Gordon 2072",3,2,1,1035000,2019-04-30,-33.7571157485978,151.156259752417,231.160339119698
21,"7/21 Moree Street Gordon 2072",3,2,2,1450000,2019-04-26,-33.7560882949066,151.150071980036,398.610892598372
22,"3/71-73 Werona Avenue Gordon 2072",3,1,1,1200000,2018-12-21,-33.75607500959,151.155462465787,107.544718815684
23,"137/183 St Johns Ave Gordon 2072",3,2,2,1028800,2018-07-27,-33.7679387972541,151.143624117199,1680.3414971237
24,"7/1 Milray Street Gordon 2072",3,3,2,2800000,2018-06-19,-33.7544496063553,151.153423356894,170.356594252646
