"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"6/73-75 Telegraph Road Pymble 2073",3,3,2,3600000,2023-01-13,-33.7387396831711,151.149701835192,974.544572906301
2,"3/7 Avon Road Pymble 2073",3,3,1,1900000,2022-09-09,-33.743340174548,151.136983219132,484.398257679271
3,"1/10 Bobbin Head Road Pymble 2073",4,3,2,2400000,2022-07-13,-33.7379425222696,151.136435713217,907.553786646982
4,"10/2-4 Bloomsbury Avenue Pymble 2073",3,2,2,1235000,2019-02-15,-33.7484382576069,151.144473036353,478.937905902023
5,"5/2-4 Bloomsbury Avenue Pymble 2073",3,2,2,1220000,2018-09-17,-33.7484382576069,151.144473036353,478.937905902023
6,"2/1180 Pacific Highway Pymble 2073",3,2,1,935000,2015-07-31,-33.7429721251796,151.139306431235,310.589112224792
7,"12 Park Crescent Pymble 2073",3,3,2,1725000,2014-08-12,-33.74249423097,151.140450309562,280.349666584692
8,"2/34 Wyuna Road Pymble 2073",3,2,2,730000,2013-05-14,-33.7706069665824,151.137356716738,2917.97500922125
9,"2/34 Wyuna Rd Pymble 2073",3,2,2,730000,2013-05-14,-33.7706069665824,151.137356716738,2917.97500922125
10,"4/2 Bloomsbury Avenue Pymble 2073",3,2,2,1621000,2013-01-01,-33.7484382576069,151.144473036353,478.937905902023
11,"8/2 Bloomsbury Avenue Pymble 2073",3,NA,NA,938000,2012-11-01,-33.7484382576069,151.144473036353,478.937905902023
12,"5/183 Ryde Road Pymble 2073",2,2,1,510000,2012-10-10,-33.7514347041731,151.14517711622,809.065939347881
13,"11/2 Bloomsbury Avenue Pymble 2073",3,2,2,750000,2012-03-08,-33.7484382576069,151.144473036353,478.937905902023
14,"11/2-4 Bloomsbury Ave Pymble 2073",3,2,2,750000,2012-03-08,-33.7484382576069,151.144473036353,478.937905902023
15,"6/2 Bloomsbury Avenue Pymble 2073",3,2,2,797000,2012-02-01,-33.7484382576069,151.144473036353,478.937905902023
16,"53A Mona Vale Road Pymble 2073",4,3,2,810000,2011-09-30,-33.7451111030509,151.150578833721,798.925296651889
17,"53a Mona Vale Road (near Bromley Ave) Pymble 2073",4,3,2,810000,2011-09-30,-33.7451111030509,151.150578833721,798.925296651889
18,"7/2 Bloomsbury Avenue Pymble 2073",3,2,2,760000,2011-08-01,-33.7484382576069,151.144473036353,478.937905902023
19,"20/2 Clydesdale Place Pymble 2073",3,2,2,960000,2011-02-01,-33.7419026362439,151.138477293373,446.590682636836
20,"4/1224 Pacific Highway Pymble 2073",3,3,2,1366000,2010-11-01,-33.7404099450169,151.136762439803,676.240575095672
21,"2/2 Bloomsbury Avenue Pymble 2073",3,2,2,710000,2010-10-15,-33.7484382576069,151.144473036353,478.937905902023
22,"18 Knowlman Avenue Pymble 2073",3,3,3,2030000,2010-09-28,-33.7458869320088,151.152475826048,982.340514013977
23,"1/1180 Pacific Highway Pymble 2073",3,3,1,595000,2010-09-01,-33.7429721251796,151.139306431235,310.589112224792
24,"9A Knowlman Avenue Pymble 2073",3,2,2,935000,2010-09-01,-33.7463702325459,151.1515969835,911.425604875832
25,"99 Pentecost Avenue Pymble 2073",4,2,2,1640000,2010-05-31,-33.7306900805471,151.148580420366,1673.03184256908
26,"2/4 Mona Vale Road Pymble 2073",3,2,NA,750000,2010-05-01,-33.7497361953136,151.147620776271,769.109947625555
27,"3/2-4 Bloomsbury Avenue Pymble 2073",3,2,2,740000,2010-03-29,-33.7484382576069,151.144473036353,478.937905902023
28,"3/2-4 Bloomsbury Ave Pymble 2073",3,2,2,740000,2010-03-29,-33.7484382576069,151.144473036353,478.937905902023
29,"11/2-4 Bloomsbury Avenue Pymble 2073",3,2,2,715000,2009-06-26,-33.7484382576069,151.144473036353,478.937905902023
30,"10/2 Bloomsbury Avenue Pymble 2073",3,2,2,715000,2008-02-01,-33.7484382576069,151.144473036353,478.937905902023
31,"5/2 Bloomsbury Avenue Pymble 2073",3,2,2,565000,2006-07-01,-33.7484382576069,151.144473036353,478.937905902023
32,"2/8 Park Crescent Pymble 2073",3,2,2,1680000,2006-04-01,-33.7429302994827,151.140841157707,220.336943421547
33,"5/8 Park Crescent Pymble 2073",3,2,2,2e+06,2006-04-01,-33.7429302994827,151.140841157707,220.336943421547
34,"2/1224 Pacific Highway Pymble 2073",3,2,2,910000,2006-03-01,-33.7404099450169,151.136762439803,676.240575095672
35,"20A Iona Avenue Pymble 2073",3,3,2,830000,2005-07-01,-33.758546958565,151.13221961592,1788.23003910534
36,"6/8 Park Crescent Pymble 2073",3,2,NA,985000,2004-12-01,-33.7429302994827,151.140841157707,220.336943421547
37,"1/8 Park Crescent Pymble 2073",3,2,NA,850000,2004-03-01,-33.7429302994827,151.140841157707,220.336943421547
38,"11/2-4 Bloomsbury Avenue Pymble 2073",3,2,2,6710000,2003-07-01,-33.7484382576069,151.144473036353,478.937905902023
39,"3/8 Park Crescent Pymble 2073",3,2,NA,8e+05,2002-06-01,-33.7429302994827,151.140841157707,220.336943421547
