"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"3/5 Cherry Street Warrawee 2074",3,2,2,2100000,2023-03-28,-33.730290054218,151.125286692346,751.388014452843
2,"2/2C Winton Street Warrawee 2074",4,2,2,1520000,2022-10-28,-33.7293802824474,151.122989967057,585.853791455449
3,"13/5 Cherry Street Warrawee 2074",4,2,2,3120000,2022-05-23,-33.730290054218,151.125286692346,751.388014452843
4,"1/2C Winton Street Warrawee 2074",3,2,2,1300000,2020-02-07,-33.7293802824474,151.122989967057,585.853791455449
5,"11/5 Cherry Street Warrawee 2074",4,2,2,2100000,2019-10-04,-33.730290054218,151.125286692346,751.388014452843
6,"8/5 Cherry Street Warrawee 2074",3,2,2,1650000,2019-08-16,-33.730290054218,151.125286692346,751.388014452843
7,"6/5 Cherry Street Warrawee 2074",3,3,2,1700000,2019-06-12,-33.730290054218,151.125286692346,751.388014452843
8,"1/2C Winton Street Warrawee 2074",3,2,2,830000,2014-02-27,-33.7293802824474,151.122989967057,585.853791455449
9,"3/2c Winton Street Warrawee 2074",2,2,1,529000,2013-12-08,-33.7293802824474,151.122989967057,585.853791455449
10,"2/2c Winton Street Warrawee 2074",3,2,2,529000,2013-12-08,-33.7293802824474,151.122989967057,585.853791455449
11,"5/1-3 Lowther Park Avenue Warrawee 2074",3,2,1,530000,2011-05-12,-33.7303274375062,151.124687218631,732.634978825491
12,"2/5 Harrington Avenue Warrawee 2074",3,2,2,2550000,2005-04-01,-33.7245616101309,151.128962408346,670.656294654675
