"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"23/2 Stuart Avenue Normanhurst 2076",3,2,2,892000,2023-01-13,-33.7253330804991,151.089426395991,872.445925030229
2,"9/15 Huddart Avenue Normanhurst 2076",3,2,2,1120000,2022-11-18,-33.7226595048433,151.094045998107,351.374911721879
3,"21/4-8 Kenley Road Normanhurst 2076",3,2,2,1142000,2022-10-08,-33.7226277793397,151.093260110865,411.686177558076
4,"1/1 Hinemoa Avenue Normanhurst 2076",4,2,2,942000,2022-07-25,-33.721689970103,151.104720938534,704.892298986305
5,"12/15 Huddart Avenue Normanhurst 2076",3,2,3,1120000,2022-07-04,-33.7229072319916,151.094060666437,366.644870338685
6,"4/1 Knox Place Normanhurst 2076",2,2,1,980000,2022-03-18,-33.7209846329507,151.09378942805,313.453589298027
7,"5/1 Hinemoa Avenue Normanhurst 2076",4,3,2,1200000,2022-01-18,-33.721689970103,151.104720938534,704.892298986305
8,"14/15 Huddart Avenue Normanhurst 2076",3,2,2,1245000,2021-09-16,-33.7227593752196,151.093496396716,400.080160135122
9,"18/15 Huddart Avenue Normanhurst 2076",3,2,2,1195000,2021-09-09,-33.7223756936017,151.093599242667,370.850188277763
10,"16/2 Stuart Avenue Normanhurst 2076",3,1,3,825000,2021-08-26,-33.7251694657491,151.088614943944,925.635011423732
11,"29/2 Stuart Avenue Normanhurst 2076",2,1,2,780000,2021-08-20,-33.7253330804991,151.089426395991,872.445925030229
12,"3/15 Huddart Avenue Normanhurst 2076",3,2,2,1130000,2021-08-13,-33.7224532681156,151.094010626475,341.687405691419
13,"25/2-4 Stuart Avenue Normanhurst 2076",3,2,2,818000,2021-05-22,-33.7253330804991,151.089426395991,872.445925030229
14,"20/4-8 Kenley Road Normanhurst 2076",3,2,2,1241000,2021-04-16,-33.7227449164366,151.093236892993,419.905804741111
15,"5/30 Hinemoa Avenue Normanhurst 2076",3,2,2,930000,2019-12-03,-33.7247451738104,151.10294313687,686.751624771924
16,"25/2-4 Stuart Avenue Normanhurst 2076",3,2,2,720000,2019-10-03,-33.7253330804991,151.089426395991,872.445925030229
17,"20/4-8 Kenley Road Normanhurst 2076",3,2,1,1040000,2019-08-07,-33.7227449164366,151.093236892993,419.905804741111
18,"20/4-8 Kenley Road Normanhurst 2076",3,2,2,1040000,2019-08-06,-33.7227449164366,151.093236892993,419.905804741111
19,"5/17-25 Denman Parade Normanhurst 2076",3,2,2,971000,2019-03-16,-33.7203229655141,151.099028620449,182.365115169182
20,"53b Campbell Avenue Normanhurst 2076",3,2,3,1060000,2018-05-18,-33.7273796897975,151.092437762344,846.928905989188
21,"3/28 Campbell Avenue Normanhurst 2076",3,2,2,1050000,2018-02-09,-33.7261170399031,151.0916677169,775.187763179433
22,"6/1 Hinemoa Avenue Normanhurst 2076",2,1,1,760000,2017-08-26,-33.721689970103,151.104720938534,704.892298986305
