"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"18/117 Pacific Highway Hornsby 2077",2,2,1,1080000,2023-04-06,-33.7071241502218,151.098081046295,402.687969786965
2,"5/54 King Road Hornsby 2077",3,2,2,1170000,2023-03-25,-33.6994859314056,151.11373902816,1482.85936629481
3,"1/332 Peats Ferry Road Hornsby 2077",3,2,1,1290000,2023-03-03,-33.696117621705,151.09899743977,825.643515771393
4,"6/5-9 Northcote Road Hornsby 2077",3,3,3,1300000,2023-02-16,-33.702281086567,151.108751711952,961.236516698895
5,"11/53-57 Burdett Street Hornsby 2077",3,2,2,1116000,2023-02-04,-33.7026952783124,151.10817964706,902.980113465678
6,"5/21 Edgeworth David Avenue Hornsby 2077",3,1,1,880000,2023-01-23,-33.7055419402688,151.104401420385,592.681146361533
7,"4/41 Sherbrook Road Hornsby 2077",2,1,1,730000,2023-01-13,-33.7001055635978,151.106355912567,822.591107009772
8,"1/356-358 Peats Ferry Road Hornsby 2077",2,2,1,875000,2022-12-09,-33.6941663565553,151.098814798099,1041.92693885371
9,"9/21 Edgeworth David Avenue Hornsby 2077",2,1,1,672000,2022-11-15,-33.7055419402688,151.104401420385,592.681146361533
10,"25/54 King Road Hornsby 2077",3,2,2,1172000,2022-10-28,-33.6993174132422,151.114654834901,1569.39121752719
11,"10/41 Sherbrook Road Hornsby 2077",2,1,1,747500,2022-08-29,-33.7001055635978,151.106355912567,822.591107009772
12,"68 King Road Hornsby 2077",3,2,2,990000,2022-08-05,-33.6998432938474,151.114907046368,1575.47609517909
13,"14/6-12 Nursery Street Hornsby 2077",4,2,2,1127500,2022-07-22,-33.7062902346748,151.095077810388,440.714750794867
14,"2/21 Edgeworth David Avenue Hornsby 2077",2,1,1,758500,2022-07-11,-33.705919712645,151.104326402351,603.638331461062
15,"13/6-12 Nursery Street Hornsby 2077",4,2,2,1325000,2022-05-10,-33.7062691541883,151.095017628323,443.093369547304
16,"5/346-350 Peats Ferry Road Hornsby 2077",3,2,2,1150000,2022-05-06,-33.6948421055893,151.098670126451,966.401854919868
17,"4/21 Edgeworth David Avenue Hornsby 2077",3,1,1,9e+05,2022-05-03,-33.705919712645,151.104326402351,603.638331461062
18,"2/346 Peats Ferry Road Hornsby 2077",3,2,2,1272000,2022-04-04,-33.6948421055893,151.098670126451,966.401854919868
19,"19/21 Edgeworth David Avenue Hornsby 2077",2,1,1,680000,2022-03-03,-33.7051510083047,151.104322798133,570.66870688864
20,"5/10-16 Forbes Street Hornsby 2077",3,3,1,1250000,2022-02-14,-33.7062790448341,151.096092858862,378.240796778502
21,"17/10-16 Forbes Street Hornsby 2077",2,1,1,1080000,2022-02-05,-33.7062790448341,151.096092858862,378.240796778502
22,"14/15-21 Webb Avenue Hornsby 2077",3,2,1,1026000,2021-12-20,-33.7057423096643,151.094547403555,440.14017882419
