"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"4/10 Playfair Road Mount Colah 2079",3,2,2,1010000,2023-01-13,-33.6684118274918,151.117046024239,391.941551858327
2,"14/2a Rupert Street Mount Colah 2079",3,2,2,1160000,2022-08-17,-33.6799092840775,151.110507217753,1025.81923184753
3,"1C Berry Park Way Mount Colah 2079",3,1,2,1011000,2022-07-16,-33.6782305565096,151.117980690262,804.518169684395
4,"1/3-5 Rupert Street Mount Colah 2079",3,2,2,1250000,2022-03-26,-33.6804964783045,151.109946971345,1106.69084570465
5,"6/3-5 Rupert Street Mount Colah 2079",4,2,2,1400000,2022-01-22,-33.6804964783045,151.109946971345,1106.69084570465
6,"8/55 Myall Road Mount Colah 2079",3,2,2,1266595,2021-10-13,-33.6688453814335,151.120159649812,565.01718982723
7,"23 GREENMOUNT WAY Mount Colah 2079",3,1,2,1250000,2021-08-30,-33.677710417508,151.117098243496,723.807662140663
8,"7/3-5 Rupert Street Mount Colah 2079",3,2,2,1380000,2021-08-19,-33.6804964783045,151.109946971345,1106.69084570465
9,"4/3-5 Rupert Street Mount Colah 2079",4,2,2,1300000,2021-08-14,-33.6804964783045,151.109946971345,1106.69084570465
10,"2/3-5 Rupert Street Mount Colah 2079",3,2,2,1250000,2021-08-14,-33.6804964783045,151.109946971345,1106.69084570465
11,"8/7 Parklands Road Mount Colah 2079",4,2,2,1280000,2021-06-26,-33.6705012264058,151.113755121414,152.937204791915
12,"10/2a Rupert Street Mount Colah 2079",3,2,2,1050000,2021-05-27,-33.6799092840775,151.110507217753,1025.81923184753
13,"11/10 Playfair Road Mount Colah 2079",3,2,2,1055000,2021-05-26,-33.6685018910414,151.116550653762,362.018749121278
14,"17/2a Rupert Street Mount Colah 2079",3,2,2,990000,2021-04-09,-33.6799092840775,151.110507217753,1025.81923184753
15,"12/2a Rupert Street Mount Colah 2079",3,2,2,1200000,2021-03-25,-33.6799092840775,151.110507217753,1025.81923184753
16,"5/7 PARKLANDS ROAD Mount Colah 2079",3,2,2,1050000,2021-03-18,-33.6702009447246,151.113979253505,166.003169279638
17,"2a Rupert Street Mount Colah 2079",3,2,2,1e+06,2021-02-26,-33.6799092840775,151.110507217753,1025.81923184753
18,"13/2a Rupert Street Mount Colah 2079",3,2,2,958000,2021-02-21,-33.6799092840775,151.110507217753,1025.81923184753
19,"9/2a Rupert Street Mount Colah 2079",3,2,2,938000,2021-02-04,-33.6799092840775,151.110507217753,1025.81923184753
20,"1/7 PARKLANDS ROAD Mount Colah 2079",3,2,3,970000,2020-09-03,-33.6700901359646,151.114493567084,158.154795838638
21,"2/18 Northview Place Mount Colah 2079",2,2,2,680000,2020-07-17,-33.6707461037071,151.109753936115,486.513231521413
22,"6/54 Telopea Street Mount Colah 2079",3,2,2,9e+05,2019-08-21,-33.6688250134088,151.119777518846,536.234435889674
23,"10/7 Parklands Road Mount Colah 2079",3,2,2,7e+05,2019-06-03,-33.6705080157474,151.113951341768,139.954389624768
24,"16/10 Playfair Road Mount Colah 2079",3,2,2,850000,2019-05-14,-33.6681124678199,151.117129507995,424.79462021103
25,"5/54 Telopea Street Mount Colah 2079",3,2,2,862000,2019-05-03,-33.6688250134088,151.119777518846,536.234435889674
26,"2/65 Telopea Street Mount Colah 2079",3,2,2,850000,2018-12-12,-33.6687534738652,151.119506531916,519.988711127526
27,"1C Berry Park Way Mount Colah 2079",3,2,2,845000,2018-08-28,-33.6782305565096,151.117980690262,804.518169684395
28,"5/54 Telopea Street Mount Colah 2079",3,2,2,953000,2018-05-14,-33.6688250134088,151.119777518846,536.234435889674
29,"2/7 Parklands Road Mount Colah 2079",3,2,2,930000,2017-11-12,-33.6703777190626,151.11421780247,137.818343873788
