"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"11/22-24 Goodwyn Road Berowra 2081",3,2,2,1100000,2023-02-16,-33.6238366149477,151.147137308096,558.621584130875
2,"8/19 Anembo Road Berowra 2081",3,2,2,860000,2022-07-08,-33.6303760919861,151.145284572218,1053.66967285316
3,"4/1021 Pacific Highway Berowra 2081",3,2,2,1232000,2022-03-03,-33.6216914763775,151.153951460102,219.219231375956
4,"2/19 Anembo Road Berowra 2081",4,3,2,1265000,2021-11-24,-33.6303760919861,151.145284572218,1053.66967285316
5,"9/22-24 Goodwyn Road Berowra 2081",3,2,2,1100000,2021-06-12,-33.6240692546703,151.147169746061,557.730139670035
6,"6/1021-1023 Pacific Highway Berowra 2081",3,2,2,960000,2020-10-29,-33.6216914763775,151.153951460102,219.219231375956
7,"1/19 Anembo Road Berowra 2081",4,2,2,890000,2020-03-26,-33.6303760919861,151.145284572218,1053.66967285316
8,"14/22-24 Goodwyn Road Berowra 2081",3,2,2,860000,2019-11-22,-33.6236464295646,151.147395638352,533.852913703626
9,"7/22 Goodwyn Road Berowra 2081",3,2,1,810000,2019-06-13,-33.6242303548494,151.147366553148,541.821971197411
10,"3/19 Anembo Road Berowra 2081",4,2,2,1051300,2017-10-13,-33.6303760919861,151.145284572218,1053.66967285316
11,"2/21 Jaranda Street Berowra 2081",3,2,2,8e+05,2016-03-24,-33.6155099904237,151.151408558316,908.996094782534
12,"2/19 Anembo Road Berowra 2081",4,3,1,855000,2015-10-23,-33.6303760919861,151.145284572218,1053.66967285316
13,"8/35 Berowra Waters Road Berowra 2081",3,2,1,8e+05,2015-10-17,-33.6241811111682,151.147173098823,558.860828463952
14,"10/1021 Pacific Highway Berowra 2081",3,2,2,590000,2013-06-01,-33.6216914763775,151.153951460102,219.219231375956
15,"10/1021-1023 Pacific Highway Berowra 2081",3,2,2,590000,2013-06-01,-33.6216914763775,151.153951460102,219.219231375956
16,"3/1021 Pacific Highway Berowra 2081",3,NA,NA,580000,2013-06-01,-33.6216914763775,151.153951460102,219.219231375956
17,"7/19 Anembo Road Berowra 2081",3,1,2,530000,2012-12-11,-33.6303760919861,151.145284572218,1053.66967285316
18,"33 The Gully Road Berowra 2081",3,2,1,585000,2012-04-20,-33.6180922033349,151.155106067264,633.442920433974
19,"5B Proctor Place Berowra 2081",3,2,2,505000,2012-03-16,-33.6348444426594,151.145122130935,1461.59911664285
20,"3 19 Anembo Road Berowra 2081",4,2,2,570000,2010-11-29,-33.6303760919861,151.145284572218,1053.66967285316
21,"3/19 Anembo Road Berowra 2081",4,2,2,570000,2010-11-29,-33.6303760919861,151.145284572218,1053.66967285316
22,"3/19 Anembo Rd Berowra 2081",4,2,2,570000,2010-11-29,-33.6303760919861,151.145284572218,1053.66967285316
23,"6 1021-1023 Pacific Highway Berowra 2081",3,2,2,560000,2010-10-15,-33.6216914763775,151.153951460102,219.219231375956
24,"2 31 Jaranda Street Berowra 2081",3,2,1,550000,2010-10-15,-33.6145505977862,151.151515008487,1012.74170721231
25,"2/31 Jaranda Street Berowra 2081",3,2,1,550000,2010-09-01,-33.6145505977862,151.151515008487,1012.74170721231
26,"6/1021 Pacific Highway Berowra 2081",3,2,2,560000,2010-07-01,-33.6216914763775,151.153951460102,219.219231375956
27,"33A Willunga Road Berowra 2081",4,1,2,480000,2009-09-01,-33.6175013210706,151.152625191562,674.593331197744
28,"1/60 Koloona Street Berowra 2081",3,2,1,840000,2007-05-01,-33.6163484741078,151.150705400459,832.670847305001
29,"2/17 Jaranda Street Berowra 2081",3,2,1,440000,2006-09-01,-33.6159322287962,151.151309903316,864.544799481332
30,"7/1021 Pacific Highway Berowra 2081",3,2,2,456000,2006-09-01,-33.6216914763775,151.153951460102,219.219231375956
31,"1/19 Jaranda Street Berowra 2081",3,2,2,445000,2006-03-01,-33.6157186159937,151.151370001562,886.811728357428
32,"1/17 Glencoe Close Berowra 2081",3,2,2,442000,2005-08-01,-33.6164094524534,151.1538598459,797.05217664815
33,"2/60 Koloona Street Berowra 2081",3,1,1,432000,2004-08-01,-33.6163484741078,151.150705400459,832.670847305001
34,"9/1021 Pacific Highway Berowra 2081",3,2,2,450000,2003-07-01,-33.6216914763775,151.153951460102,219.219231375956
35,"1021 Pacific Highway Berowra 2081",3,2,2,475000,2003-05-01,-33.6216914763775,151.153951460102,219.219231375956
36,"1023 Pacific Highway Berowra 2081",3,2,2,435000,2001-09-01,-33.6216914763775,151.153951460102,219.219231375956
