"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"2/8 Miriam Road West Ryde 2114",4,3,2,2e+06,2023-03-31,-33.8042243494672,151.088542440482,377.859707042984
2,"10/20 Herbert Street West Ryde 2114",3,2,2,870000,2022-08-12,-33.808381186709,151.093065483073,291.343984903915
3,"1/11 Federal Road West Ryde 2114",5,2,2,1820000,2021-12-11,-33.8110595400497,151.083842372095,717.91839616348
4,"1/21 Deakin Street West Ryde 2114",5,3,2,1750000,2021-07-14,-33.8118990295622,151.078995620403,1152.41605629021
5,"6 Deakin Street West Ryde 2114",4,4,2,1910000,2021-07-09,-33.8126976992063,151.080089458767,1107.81125806496
6,"4/58 Falconer Street West Ryde 2114",3,2,1,1020000,2021-05-05,-33.8087489846203,151.095827739265,545.738239653892
7,"4/29-31 Gaza Road West Ryde 2114",4,3,2,1630500,2021-04-24,-33.8101000635932,151.08676623138,440.893356532212
8,"1/64 Brush Road West Ryde 2114",4,2,2,1439000,2021-04-10,-33.7995761650612,151.071428689673,1937.51909315269
9,"1/23 Darwin Street West Ryde 2114",5,3,2,1630000,2021-01-29,-33.8096765260257,151.07881750496,1082.69752750828
10,"13A Murray St West Ryde 2114",3,2,1,1290000,2020-12-12,-33.803909609003,151.079680421892,1043.22579435884
11,"2/58 Falconer Street West Ryde 2114",3,2,1,1182000,2020-12-12,-33.8087489846203,151.095827739265,545.738239653892
12,"6/58 Falconer Street West Ryde 2114",3,2,2,1188000,2020-10-01,-33.8087489846203,151.095827739265,545.738239653892
13,"9/58 Falconer Street West Ryde 2114",4,3,2,1385000,2020-09-15,-33.8087489846203,151.095827739265,545.738239653892
14,"48 Winbourne Street West Ryde 2114",4,2,2,1480000,2020-08-28,-33.8022267323929,151.069390043183,2005.23026290159
15,"1/27 Darwin Street West Ryde 2114",5,3,2,1510000,2020-07-07,-33.8096127816521,151.078389776441,1119.50856229137
16,"2/1a Macpherson Street West Ryde 2114",3,1,2,1000050,2020-03-28,-33.8136889011663,151.095209406267,846.689254269466
17,"1/19 Deakin Street West Ryde 2114",4,3,2,1550000,2020-03-07,-33.8119311322514,151.079209358934,1136.30985125385
18,"9a Hermoyne Street West Ryde 2114",4,2,2,1500000,2020-02-15,-33.8010105601517,151.070531909853,1948.90556603489
19,"1/65 Marsden Road West Ryde 2114",4,2,2,1360000,2020-02-07,-33.8021814701158,151.066445061502,2269.04368841614
20,"1/58 Falconer Street West Ryde 2114",4,3,2,1375000,2019-11-18,-33.8087489846203,151.095827739265,545.738239653892
21,"1/27 Huxley Street West Ryde 2114",3,2,2,920000,2019-11-14,-33.810768813738,151.07879847804,1119.86852946092
22,"5/15 Gaza Road West Ryde 2114",2,2,1,9e+05,2019-11-04,-33.8092966581738,151.087266211904,346.796474578518
23,"1/43 Tramway Street West Ryde 2114",3,3,2,1300000,2019-10-17,-33.8017538254157,151.072306023479,1766.07630522793
24,"1/15 Gaza Road West Ryde 2114",2,2,1,860000,2019-08-19,-33.8092966581738,151.087266211904,346.796474578518
25,"1/1-3 Marsden Road West Ryde 2114",5,2,2,980000,2018-10-04,-33.8063769479312,151.070976066902,1779.37064643174
26,"2/10 Hermoyne Street West Ryde 2114",3,2,2,1200000,2018-09-06,-33.8013604207902,151.070979754939,1896.32539699478
27,"4/25-27 Benson Street West Ryde 2114",3,2,1,990000,2018-07-04,-33.8030171877719,151.100076777441,1034.05962037288
28,"1/7 Hibble Street West Ryde 2114",4,3,2,1450000,2018-05-04,-33.8131771440679,151.080206218679,1128.61767958077
29,"1/11A Grand Avenue West Ryde 2114",5,3,4,1495000,2018-04-30,-33.8110476796567,151.082530352791,819.318692372722
30,"1/45 Marsden Road West Ryde 2114",3,2,2,1150000,2017-08-10,-33.803851773871,151.067625484926,2121.84686026922
31,"8 Deakin Street West Ryde 2114",5,3,2,1665000,2017-07-28,-33.8126655546076,151.079875552598,1122.63240842042
32,"9/64A Brush Road West Ryde 2114",3,1,2,925000,2016-12-03,-33.7995803979223,151.071775197551,1908.66762177909
33,"15/20 Herbert Street West Ryde 2114",3,3,1,830000,2016-12-03,-33.808381186709,151.093065483073,291.343984903915
34,"24/20 Herbert Street West Ryde 2114",3,3,1,846000,2016-11-05,-33.808381186709,151.093065483073,291.343984903915
35,"1/83 Adelaide Street West Ryde 2114",4,3,2,1390000,2016-10-15,-33.8132335961858,151.080895127301,1080.97400261122
36,"3/60 Adelaide St West Ryde 2114",3,2,2,1190000,2016-08-25,-33.8128400658317,151.081696940158,995.506094810408
