"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"11/16-22 Blackwood Close Beecroft 2119",4,2,2,1595000,2022-08-31,-33.7429318920443,151.062859283324,819.076010411255
2,"4/36 Austral Avenue Beecroft 2119",3,2,2,1180000,2019-12-23,-33.7557096424306,151.060828012908,847.622474367291
3,"11/16 Murray Road Beecroft 2119",3,2,2,1816000,2019-08-08,-33.7565159815161,151.069907541885,827.844775756568
4,"77B Copeland Road Beecroft 2119",4,2,1,1505000,2018-03-14,-33.7521159433537,151.056912490659,920.042715828339
5,"1D Eldon Lane Beecroft 2119",3,3,2,1615000,2017-11-03,-33.7521648098492,151.0555619146,1041.55204488581
6,"17 Summerwood Way Beecroft 2119",3,2,2,1350000,2017-10-13,-33.7527282413806,151.074427986087,816.540105520173
7,"3/16-22 Blackwood Close Beecroft 2119",4,2,2,1300000,2016-12-02,-33.742787010848,151.062127459358,862.810251369777
8,"12/16-18 Orchard Road Beecroft 2119",3,2,2,880000,2014-11-15,-33.7595378252489,151.055916804381,1465.95519624403
9,"4/16-18 Orchard Road Beecroft 2119",3,3,2,760000,2013-12-14,-33.7595378252489,151.055916804381,1465.95519624403
10,"4/16 Orchard Road Beecroft 2119",3,3,2,760000,2013-12-14,-33.7595378252489,151.055916804381,1465.95519624403
11,"6/22 Blackwood Close Beecroft 2119",4,2,2,820000,2013-11-23,-33.743006197616,151.062021093006,845.892211558388
12,"9/16 Orchard Road Beecroft 2119",3,3,2,708000,2013-03-01,-33.7595378252489,151.055916804381,1465.95519624403
13,"9/22 Blackwood Close Beecroft 2119",4,3,2,690000,2012-12-01,-33.7429392262096,151.062583267252,828.914459611459
14,"8/22 Blackwood Close Beecroft 2119",3,2,2,765000,2012-09-08,-33.7429722509081,151.06244840243,831.021759691678
15,"11/4 John Street Beecroft 2119",3,2,2,685000,2012-05-01,-33.7595378252489,151.055916804381,1465.95519624403
16,"11/16 Orchard Road Beecroft 2119",3,3,2,685000,2012-05-01,-33.7595378252489,151.055916804381,1465.95519624403
17,"3/22 Blackwood Close Beecroft 2119",4,2,2,750000,2012-04-01,-33.742787010848,151.062127459358,862.810251369777
18,"5/16 Orchard Road Beecroft 2119",3,2,2,652000,2012-03-01,-33.7595378252489,151.055916804381,1465.95519624403
19,"44a Cardinal Avenue Beecroft 2119",3,2,2,770000,2011-12-12,-33.7475086207257,151.054203040457,1155.09935050278
20,"7/22 Blackwood Close Beecroft 2119",4,NA,NA,1460000,2011-06-01,-33.7430556927542,151.062166016112,834.668844968068
21,"3/34 Austral Avenue Beecroft 2119",3,2,2,595000,2010-06-01,-33.755820241643,151.060607065941,869.888895387746
22,"8 Summerwood Way Beecroft 2119",3,2,2,7e+05,2010-05-28,-33.7527693546157,151.074800058769,849.814484005815
23,"67a Cardinal Avenue Beecroft 2119",4,2,1,675000,2009-05-22,-33.7468202569274,151.052730423889,1305.22084225369
24,"3/16 Orchard Road Beecroft 2119",3,2,2,610000,2009-04-28,-33.7595378252489,151.055916804381,1465.95519624403
25,"21 Summerwood Way Beecroft 2119",3,2,2,560000,2009-03-09,-33.7527976016294,151.074116179288,793.749533743661
26,"4/36 Austral Avenue Beecroft 2119",3,2,2,571300,2007-09-06,-33.7557096424306,151.060828012908,847.622474367291
27,"4/36 Austral Ave Beecroft 2119",3,2,2,571300,2007-09-06,-33.7557096424306,151.060828012908,847.622474367291
28,"1/16 Orchard Road Beecroft 2119",3,2,2,570000,2007-09-01,-33.7595378252489,151.055916804381,1465.95519624403
29,"2/22 Blackwood Close Beecroft 2119",4,2,2,719500,2007-05-28,-33.7428127013812,151.061995444383,865.967047784974
30,"44C Cardinal Avenue Beecroft 2119",3,2,1,765000,2006-06-01,-33.7473482330085,151.054167082093,1162.19912529888
31,"3/43 Hull Road Beecroft 2119",3,2,2,478000,2006-05-01,-33.7478343833926,151.057179118999,878.398905635973
32,"1/22 Blackwood Close Beecroft 2119",4,3,2,730000,2005-06-01,-33.742813581481,151.061820262606,873.646827621482
33,"4A Wandeen Avenue Beecroft 2119",3,2,2,741500,2004-09-01,-33.7497880373848,151.067904602302,139.105599908088
34,"3/37 Copeland Road Beecroft 2119",3,2,NA,1047000,2004-09-01,-33.7529685086352,151.051999019017,1383.23757848151
35,"2/34 Austral Avenue Beecroft 2119",3,2,2,1140000,2004-05-01,-33.755820241643,151.060607065941,869.888895387746
36,"19 Summerwood Way Beecroft 2119",3,2,2,810000,2003-09-01,-33.7527939974111,151.074240818189,803.960846336816
37,"7 Summerwood Way Beecroft 2119",3,NA,NA,521000,2003-07-01,-33.7532314070283,151.07436537327,836.309452016883
38,"23 Lynbrae Avenue Beecroft 2119",5,2,NA,775000,2003-05-01,-33.7586404167854,151.057220693239,1311.4050081682
39,"3 Summerwood Way Beecroft 2119",3,2,2,397000,2002-04-01,-33.7534875579893,151.074424717144,854.951407374623
40,"10/22 Blackwood Close Beecroft 2119",4,2,2,525000,2002-03-01,-33.742867686666,151.06274101467,830.044768914584
41,"4/43 Hull Road Beecroft 2119",3,NA,NA,1050000,2002-03-01,-33.7478343833926,151.057179118999,878.398905635973
42,"12 Summerwood Way Beecroft 2119",3,2,2,327500,2001-11-01,-33.7525269080664,151.074596881436,821.853909409508
