"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"8/176-178 Ray Road Epping 2121",4,2,2,1620000,2023-04-13,-33.7682438566202,151.064012381744,1741.87186694394
2,"22 Ferntree Place Epping 2121",4,2,2,1760000,2023-04-01,-33.7813333299855,151.070952178478,1404.92859902664
3,"33/1-9 Cottee Drive Epping 2121",4,2,2,1236000,2023-03-06,-33.7811506044963,151.062245560373,2058.81759873607
4,"D04/23 Ray Road Epping 2121",3,2,2,1450000,2022-11-29,-33.769034060542,151.079030572939,496.352202466121
5,"C04/23 Ray Road Epping 2121",3,2,2,1370000,2022-11-05,-33.769034060542,151.079030572939,496.352202466121
6,"3/26 Somerset Street Epping 2121",2,2,1,1200000,2022-10-31,-33.7649284786381,151.08921609404,1091.8015635349
7,"3/16 Kandy Avenue Epping 2121",3,2,2,1330000,2022-10-26,-33.7648366129793,151.080673677419,886.717871699242
8,"4/17 Derby Street Epping 2121",3,2,2,1370000,2022-09-16,-33.765915280099,151.083553950807,770.141254621186
9,"11/16 Kandy Avenue Epping 2121",3,2,2,1300000,2022-09-14,-33.7643212516626,151.080622380171,944.18145987743
10,"7/50-54 Cambridge Street Epping 2121",5,3,2,1688000,2022-08-06,-33.7667411490189,151.08305505993,671.991842442174
11,"20/38 Stanley Road Epping 2121",3,2,2,1488000,2022-05-25,-33.7733509921345,151.092744120906,992.107859730805
12,"18 Ferntree Place Epping 2121",4,2,2,1930000,2022-04-30,-33.7814938853409,151.071091066613,1407.90296805024
13,"3/163 Carlingford Road Epping 2121",2,2,2,8e+05,2022-03-28,-33.7757853901832,151.061310559074,1949.13864202229
14,"5/73A Essex Street Epping 2121",3,2,2,1280000,2022-03-18,-33.7761180679203,151.088193166576,682.862858017291
15,"D01/23 Ray Road Epping 2121",3,2,2,1310000,2022-03-17,-33.769034060542,151.079030572939,496.352202466121
16,"3/50-54 Cambridge Street Epping 2121",3,2,2,1650000,2022-02-19,-33.7664494168788,151.08332856143,707.957947099708
