"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"10/32 Cecil Street Ashfield 2131",3,2,2,1208000,2023-03-15,-33.8836923771928,151.131653669817,689.094240134251
2,"34/38 Wallace Street Ashfield 2131",3,2,2,1432000,2023-02-18,-33.8872455078583,151.131799179656,546.821786817343
3,"7/8 Cecil Street Ashfield 2131",3,1,2,1005000,2022-11-30,-33.8844710979073,151.129703117129,497.166608241338
4,"12/8 Cecil Street Ashfield 2131",3,1,3,1200000,2022-11-12,-33.8844710979073,151.129703117129,497.166608241338
5,"11/32-34 Cecil Street Ashfield 2131",3,2,2,1020000,2022-10-31,-33.8836923771928,151.131653669817,689.094240134251
6,"44/38 Wallace Street Ashfield 2131",2,1,2,1e+06,2022-09-26,-33.8869769097711,151.131551410598,527.284635024312
7,"4/101-103 Alt Street Ashfield 2131",3,2,1,943000,2022-09-24,-33.8804777077774,151.129652071339,868.41732237641
8,"5/32 Chandos Street Ashfield 2131",2,1,1,840000,2022-08-05,-33.8836589333991,151.128476928514,502.120354249597
9,"1/3-5 Loftus Street Ashfield 2131",2,1,2,1169000,2022-07-30,-33.8840227918159,151.133121508701,778.848485953302
10,"1/109 Frederick Street Ashfield 2131",2,1,1,1230000,2022-06-04,-33.8802593172902,151.123465975338,850.775133272101
11,"2/1 The Avenue Ashfield 2131",3,2,2,1280000,2022-05-30,-33.8871666341495,151.120658540689,487.103106671024
12,"22/32 Chandos Street Ashfield 2131",2,1,1,980000,2022-05-13,-33.8832307019659,151.128197475862,533.770399710335
13,"6/67-69 Chandos Street Ashfield 2131",4,1,1,1240000,2022-04-26,-33.8832925604113,151.131547387285,710.987406942946
14,"26/33-41 Hanks Street Ashfield 2131",2,1,1,1015000,2022-04-01,-33.9023824706219,151.124966419826,1644.50164218049
15,"8/8 Cecil Street Ashfield 2131",3,1,1,1100000,2022-03-26,-33.8844710979073,151.129703117129,497.166608241338
16,"7/47-51 Frederick Street Ashfield 2131",3,1,1,9e+05,2022-03-17,-33.8821216504472,151.122042309084,709.288736865146
17,"2/16 Holden Street Ashfield 2131",2,1,1,930000,2022-02-05,-33.8907175017012,151.125724982063,344.079427619416
18,"163/18-20 Knocklayde Street Ashfield 2131",3,2,2,1370000,2021-12-06,-33.8755319238992,151.12759255391,1355.80501955731
19,"2/13 Albert Parade Ashfield 2131",4,2,1,1435000,2021-11-27,-33.8825123728637,151.123856069112,600.188466656566
20,"4/32 Cecil Street Ashfield 2131",3,2,1,1300000,2021-11-20,-33.8836923771928,151.131653669817,689.094240134251
21,"42/38 Wallace St Ashfield 2131",3,2,2,1850000,2021-11-11,-33.8869766164045,151.131551159141,527.266124615634
22,"5/55-57 Chandos Street Ashfield 2131",3,2,2,1400000,2021-10-29,-33.8834443147683,151.130906842244,656.652896556495
23,"1/109 Frederick St Ashfield 2131",2,1,1,1050000,2021-09-30,-33.8802593172902,151.123465975338,850.775133272101
24,"3/18-20 Knocklayde Street Ashfield 2131",3,2,2,1420000,2021-08-21,-33.8762238500063,151.125918184931,1269.72792139927
25,"10/13 Church Street Ashfield 2131",2,2,1,965000,2021-08-09,-33.8800785196387,151.127064410191,847.486351112459
26,"13/94 Bland Street Ashfield 2131",4,1,2,1330000,2021-07-14,-33.8811387465713,151.129776542601,806.532341361452
27,"5/70 Norton Street Ashfield 2131",3,3,2,1375000,2021-06-10,-33.8902075886215,151.123950784618,338.787396527951
28,"6/55-57 Chandos Street Ashfield 2131",3,2,2,1300000,2021-05-15,-33.8834443147683,151.130906842244,656.652896556495
29,"6/101-103 Alt Street Ashfield 2131",2,1,1,830000,2021-05-01,-33.8804777077774,151.129652071339,868.41732237641
30,"12/33-41 Hanks Street Ashfield 2131",3,2,2,1200000,2021-04-30,-33.901970835357,151.125378306548,1597.14213620218
31,"34/393-399 Liverpool Road Ashfield 2131",3,2,1,1185500,2021-04-24,-33.8878865139037,151.119342665709,606.634436964378
32,"3/55-57 Chandos Street Ashfield 2131",2,2,2,1140000,2021-04-17,-33.8834443147683,151.130906842244,656.652896556495
33,"10/33-41 Hanks Street Ashfield 2131",3,2,2,1250000,2021-04-16,-33.9019288001125,151.125233131985,1592.92743496201
34,"28/33 Hanks Street Ashfield 2131",3,2,2,1335000,2021-03-27,-33.9023952949338,151.125164819474,1645.06831989885
35,"3/118 Elizabeth Street Ashfield 2131",2,1,1,970000,2021-03-27,-33.8852617209243,151.121982797571,447.820311049061
36,"G07/1 Markham Place Ashfield 2131",2,2,2,1040000,2021-03-24,-33.8871370879408,151.123135057801,261.334258177649
37,"13/3 Ormond Street Ashfield 2131",3,3,2,1625000,2021-03-17,-33.8880910742507,151.13293375407,652.010450667704
38,"11/47 Alt Street Ashfield 2131",2,2,1,790000,2021-02-27,-33.8837037346716,151.124889976869,446.925166255246
