"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"4/43 Cheltenham Road Croydon 2132",4,3,2,1600000,2022-06-26,-33.8730668899943,151.112172282819,1166.96161925866
2,"3/43 Cheltenham Road Croydon 2132",4,3,2,1600000,2022-05-25,-33.8730668899943,151.112172282819,1166.96161925866
3,"7/217-219 Croydon Road Croydon 2132",2,1,2,1268000,2022-04-03,-33.8752191950917,151.124897436763,1266.70141873511
4,"9/31-35 Croydon Avenue Croydon 2132",3,2,1,1423000,2021-10-09,-33.8891425420945,151.111134100291,755.477687641645
5,"2/46 Brighton Street Croydon 2132",4,3,2,1525000,2021-02-20,-33.8903117337685,151.111025470826,875.28727856399
6,"3/43 Cheltenham Road Croydon 2132",4,3,2,1400000,2021-02-04,-33.8730668899943,151.112172282819,1166.96161925866
7,"4/15 Australia Street Croydon 2132",2,1,1,890000,2020-10-10,-33.8761449343879,151.124569117615,1173.62426358842
8,"5/219 Croydon Road Croydon 2132",2,1,2,1e+06,2018-09-06,-33.8752191950917,151.124897436763,1266.70141873511
9,"10/457-463 Liverpool Road Croydon 2132",3,2,1,1e+06,2018-08-25,-33.8876049238665,151.116498518324,500.065407597071
10,"3/457-463 Liverpool Road Croydon 2132",3,2,2,950000,2018-04-17,-33.8881499571205,151.116254102027,554.646604745229
11,"1/46 Brighton Street Croydon 2132",4,3,2,1500000,2017-11-11,-33.8903117337685,151.111025470826,875.28727856399
12,"5/31-35 Croydon Avenue Croydon 2132",2,1,1,1e+06,2017-10-28,-33.8889681985085,151.111475746665,723.197421617533
13,"24 Webb Street Croydon 2132",4,2,2,1380000,2017-09-02,-33.8788103795977,151.113410876651,520.39228728726
14,"7/49-53 Croydon Ave Croydon 2132",2,2,1,1200000,2017-07-12,-33.8901654695581,151.11147356737,843.01361365718
15,"14/49-53 Croydon Avenue Croydon 2132",3,2,2,1430000,2017-07-12,-33.8901654695581,151.11147356737,843.01361365718
16,"131/10 Webb Street Croydon 2132",5,3,2,1488000,2017-06-30,-33.8791123795692,151.113810358156,477.4846892821
17,"7/67 Cheltenham Road Croydon 2132",4,3,1,1525000,2017-05-27,-33.8751329033985,151.111549591232,963.722565216025
18,"Lot 3/46 Brighton Street Croydon 2132",4,3,2,1520000,2017-05-26,-33.8903117337685,151.111025470826,875.28727856399
19,"5/76 Bay Street Croydon 2132",3,2,1,1080000,2016-10-01,-33.8745263888848,151.117147696725,987.62338955924
20,"5/67 Cheltenham Road Croydon 2132",4,3,1,1465000,2015-08-22,-33.8752261101619,151.111346749175,960.76497883149
21,"52 Webb Street Croydon 2132",4,2,2,1505000,2015-08-22,-33.879938248489,151.11318238597,412.204222431486
22,"4/15 Australia Street Croydon 2132",2,1,1,891000,2015-07-22,-33.8761449343879,151.124569117615,1173.62426358842
23,"9/217-219 Croydon Road Croydon 2132",2,1,2,776000,2014-12-16,-33.8752191950917,151.124897436763,1266.70141873511
24,"12 Webb Street Croydon 2132",4,2,2,1260000,2014-09-05,-33.8783878059491,151.113469382335,563.690031337365
25,"34 Webb St Croydon 2132",4,3,2,1060888,2014-05-13,-33.8791573065702,151.113335188065,486.303650365176
26,"130/10 Webb Street Croydon 2132",4,2,2,1305000,2014-04-05,-33.8790379901785,151.113819829707,485.244430309771
27,"3/27 Byron Street Croydon 2132",3,2,2,810000,2014-03-15,-33.871924227044,151.122303740644,1421.89121789656
28,"3/27 Byron St Croydon 2132",3,2,2,810000,2014-03-15,-33.871924227044,151.122303740644,1421.89121789656
29,"5/43 Cheltenham Road Croydon 2132",4,3,2,980000,2013-12-30,-33.8730668899943,151.112172282819,1166.96161925866
30,"133/10 Webb St Croydon 2132",4,2,2,1e+06,2013-11-15,-33.8792687858824,151.113744895493,462.427237845211
31,"7/67 Cheltenham Road Croydon 2132",4,3,2,885000,2013-06-22,-33.8751329033985,151.111549591232,963.722565216025
32,"7 Cheltenham Road Croydon 2132",4,3,1,860000,2012-08-27,-33.8709575840602,151.112592132349,1388.89958623018
33,"2/7 Cheltenham Road Croydon 2132",4,3,1,860000,2012-08-27,-33.8709575840602,151.112592132349,1388.89958623018
