"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"1/1-9 Mt Pleasant Avenue Burwood 2134",3,2,2,1200000,2023-03-29,-33.8742948388095,151.098330324096,643.142589683468
2,"1/15-17 Wyatt Avenue Burwood 2134",4,2,1,1350000,2022-09-29,-33.8840881706607,151.104723369286,762.493330282795
3,"2/5 Hornsey Street Burwood 2134",2,2,1,1235000,2022-06-20,-33.877315844352,151.098004016605,583.032101444184
4,"2/53 Nicholson Street Burwood 2134",3,3,1,1415000,2021-12-18,-33.8817064528734,151.096540117216,873.110118977863
5,"6/15-17 Wyatt Avenue Burwood 2134",3,2,1,1422000,2021-10-16,-33.8840881706607,151.104723369286,762.493330282795
6,"7/55-57 Park Road Burwood 2134",3,2,2,2160000,2021-06-12,-33.8724834676238,151.100387829868,642.446256066635
7,"1/5 Hornsey Street Burwood 2134",2,2,1,1150000,2021-06-10,-33.877315844352,151.098004016605,583.032101444184
8,"4/5 Hornsey Street Burwood 2134",3,2,2,1230000,2021-06-04,-33.877315844352,151.098004016605,583.032101444184
9,"1/53 Nicholson Street Burwood 2134",3,2,2,1320000,2021-02-23,-33.8817064528734,151.096540117216,873.110118977863
10,"4/6-8 Stanley Street Burwood 2134",2,2,1,977000,2021-02-22,-33.8782485406279,151.098964917985,506.589863866808
11,"4/53 Nicholson Street Burwood 2134",3,2,2,1360000,2021-01-12,-33.8817064528734,151.096540117216,873.110118977863
12,"3/53 Nicholson Street Burwood 2134",3,2,1,1250000,2020-12-01,-33.8817064528734,151.096540117216,873.110118977863
13,"9/27 Wyatt Avenue Burwood 2134",4,2,4,1630000,2020-11-09,-33.8839522581007,151.103758947506,748.162081148197
14,"7/15-17 Wyatt Avenue Burwood 2134",3,1,1,1190000,2020-04-23,-33.8840881706607,151.104723369286,762.493330282795
15,"1/60A Lucas Road Burwood 2134",3,2,1,1120000,2018-04-27,-33.8734154095284,151.111527965922,791.667074273702
