"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"6 Sevier Ave Rhodes 2138",2,2,1,1e+06,2022-10-24,-33.831649349924,151.085524536243,188.971051989333
2,"102/3 Nina Gray Avenue Rhodes 2138",3,2,2,1650000,2022-09-25,-33.8258431217753,151.085697203449,539.486573216415
3,"38 Rider Blvd Rhodes 2138",3,3,2,2200000,2022-09-25,-33.8331543625487,151.085406602866,328.657533085046
4,"4/9-11 Llewellyn Street Rhodes 2138",3,2,2,1280000,2022-02-14,-33.8290739682638,151.089343247511,265.955375520935
5,"4/13 Llewellyn Street Rhodes 2138",2,1,1,1150000,2021-11-20,-33.8289829827049,151.089949426749,317.403019799622
6,"5 Lewis Ave Rhodes 2138",3,2,2,1650000,2021-07-03,-33.8335341884911,151.083934070116,441.652092448025
7,"5/7 Cropley Street Rhodes 2138",3,2,1,1100000,2021-03-01,-33.8280685589779,151.090901191854,448.388051533871
8,"4/4 Llewellyn Street Rhodes 2138",3,1,1,873000,2020-08-05,-33.8283637696078,151.090336922133,387.092726281446
9,"7/7 Cropley Street Rhodes 2138",5,2,1,1850000,2020-05-13,-33.8280994882007,151.090641771951,427.543966298078
10,"3/21 Llewellyn Street Rhodes 2138",3,1,1,1310000,2019-06-15,-33.8289473596164,151.090303729796,347.260682699053
11,"27 Shoreline Drive Rhodes 2138",3,2,3,1700000,2019-04-12,-33.829170737336,151.084356685674,295.190083873401
12,"5 Lewis Ave Rhodes 2138",3,2,2,1605000,2018-05-12,-33.8335341884911,151.083934070116,441.652092448025
13,"103/3 Nina Gray Ave Rhodes 2138",3,2,2,1550000,2018-04-10,-33.8258517132261,151.08574640522,537.493482373647
14,"5/9-11 Llewellyn Street Rhodes 2138",3,2,1,1e+06,2017-12-01,-33.8290739682638,151.089343247511,265.955375520935
15,"6/4 Llewellyn Street Rhodes 2138",2,1,1,825000,2017-11-10,-33.8283637696078,151.090336922133,387.092726281446
16,"9/7-11 Cropley Street Rhodes 2138",3,2,1,1082000,2017-08-24,-33.8279543555472,151.090645376169,438.282860500246
17,"101/3 Nina Gray Avenue Rhodes 2138",3,2,2,1450000,2017-03-23,-33.8258345722341,151.085645738563,541.559030336289
18,"3/15 Cropley Street Rhodes 2138",3,1,1,1080000,2016-08-30,-33.8278386852834,151.09137074607,498.39801610275
19,"31 Shoreline Drive Rhodes 2138",3,2,3,1600000,2016-03-07,-33.829010936352,151.084348974323,305.416941347758
20,"7/7 Cropley Street Rhodes 2138",4,2,2,1260000,2016-02-29,-33.8280994882007,151.090641771951,427.543966298078
21,"81 Shoreline Drive Rhodes 2138",2,2,2,855000,2015-06-12,-33.8264110795345,151.086441264994,464.630970928973
22,"11L/10-16 Marquet Street Rhodes 2138",3,3,2,915000,2014-11-08,-33.8287581800617,151.084760525769,293.131310794825
23,"202/34 Shoreline Drive Rhodes 2138",3,2,2,1420000,2014-04-29,-33.8274372759403,151.083894926628,454.989678855947
24,"L13/10-16 Marquet Street Rhodes 2138",3,2,3,950000,2014-04-04,-33.8283120113557,151.084311758673,357.433896366381
25,"F03/10-16 Marquet Street Rhodes 2138",3,2,3,1230000,2013-09-03,-33.8283120113557,151.084311758673,357.433896366381
26,"03/10 Marquet Street Rhodes 2138",3,2,3,1230000,2013-09-01,-33.8283120113557,151.084311758673,357.433896366381
27,"3 Lewis Avenue Rhodes 2138",3,2,2,870000,2013-07-29,-33.8335425284847,151.08398997741,438.965390636562
28,"3 Lewis Avenue Rhodes 2138",3,2,2,896000,2013-07-29,-33.8335425284847,151.08398997741,438.965390636562
29,"6/7-11 Cropley Street Rhodes 2138",3,2,1,712000,2013-07-06,-33.8280875858982,151.090809577653,440.425110955674
30,"6/7 Cropley Street Rhodes 2138",3,2,1,712000,2013-07-06,-33.8280875858982,151.090809577653,440.425110955674
31,"101/11 Lewis Avenue Rhodes 2138",2,2,1,570000,2012-12-03,-33.8335215318173,151.083441633304,471.921986921387
32,"10/7 Cropley Street Rhodes 2138",3,1,1,627000,2012-11-03,-33.8278734701815,151.090648980388,444.519721290233
33,"10/7-11 Cropley Street Rhodes 2138",3,1,1,627000,2012-11-03,-33.8278734701815,151.090648980388,444.519721290233
34,"8/7-11 Cropley Street Rhodes 2138",3,2,1,577000,2012-08-21,-33.8280328520704,151.090644202703,432.487392450304
35,"9/7 Cropley Street Rhodes 2138",3,2,1,637000,2012-04-23,-33.8279543555472,151.090645376169,438.282860500246
36,"9/7-11 Cropley Street Rhodes 2138",3,2,1,637000,2012-04-23,-33.8279543555472,151.090645376169,438.282860500246
37,"7/15 Cropley Street Rhodes 2138",2,1,1,562500,2011-11-04,-33.8278173114303,151.091570654461,514.631923566874
38,"6/7 Cropley St Rhodes 2138",3,2,1,572000,2011-06-29,-33.8280875858982,151.090809577653,440.425110955674
39,"3/13-17 Llewellyn Street Rhodes 2138",2,1,1,530000,2011-01-01,-33.8289342000284,151.089950600215,320.510994544105
40,"5/9-11 Llewellyn Street Rhodes 2138",3,2,1,635000,2010-10-23,-33.8290739682638,151.089343247511,265.955375520935
41,"5/9 Llewellyn Street Rhodes 2138",3,2,1,635000,2010-10-23,-33.8290739682638,151.089343247511,265.955375520935
42,"8/4-8 Llewellyn Street Rhodes 2138",2,1,1,1005000,2010-09-30,-33.8283637696078,151.090336922133,387.092726281446
43,"1/15-17 Cropley Street Rhodes 2138",2,1,1,482000,2010-09-29,-33.827667401092,151.09123395341,500.405146320515
44,"1/30 Llewellyn Street Rhodes 2138",3,1,1,5050000,2010-01-01,-33.827894466849,151.091938955286,537.701527695927
45,"3/30 Llewellyn Street Rhodes 2138",3,2,1,1469500,2009-05-01,-33.827894466849,151.091938955286,537.701527695927
46,"7/7 Cropley Street Rhodes 2138",1,2,1,6e+05,2009-02-01,-33.8280994882007,151.090641771951,427.543966298078
