"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"11/8 Albert Street Berala 2141",3,2,2,825000,2022-09-09,-33.865566846852,151.034622160268,726.227521656501
2,"2/278 Park Road Berala 2141",2,1,1,610000,2022-09-09,-33.8713382062834,151.026563547098,545.941748962077
3,"6/8 Lidbury Street Berala 2141",3,2,1,692000,2022-09-03,-33.8727770437825,151.029422949548,297.961474007047
4,"13/280-286 Park Rd Berala 2141",3,3,2,808000,2022-08-19,-33.8716170302926,151.02645173251,554.005383465263
5,"4/62 Oxford Street Berala 2141",3,2,2,770000,2022-06-24,-33.8656319323301,151.033941968826,704.230410996996
6,"2/95 Graham Street Berala 2141",4,1,1,752000,2022-05-10,-33.8689429517225,151.030562134008,365.650939279774
7,"4/278 Park Road Berala 2141",3,1,2,747000,2022-02-18,-33.8713382062834,151.026563547098,545.941748962077
8,"11/280-286 Park Road Berala 2141",3,3,2,781000,2021-07-30,-33.8716170302926,151.02645173251,554.005383465263
9,"14/71-75 Dudley Street Berala 2141",3,2,2,780000,2021-04-14,-33.866876100128,151.033236464035,556.798964502744
10,"9/28-30 Clarke St Berala 2141",3,2,2,650000,2020-11-13,-33.87123548606,151.027694768751,443.621037077806
11,"5/71 Dudley Street Berala 2141",4,2,2,718000,2020-06-16,-33.866876100128,151.033236464035,556.798964502744
12,"1/19 York Street Berala 2141",3,2,1,695000,2020-03-09,-33.8729932130654,151.027946644941,434.890951147619
13,"10/28 Clarke Street Berala 2141",3,1,1,650000,2019-11-01,-33.87123548606,151.027694768751,443.621037077806
14,"3/95 Graham Street Berala 2141",4,2,1,680000,2019-09-13,-33.8689429517225,151.030562134008,365.650939279774
15,"4/76-78 Woodburn Road Berala 2141",3,2,1,640000,2019-06-28,-33.8671879069261,151.035161200462,575.116148103938
16,"3/10 Clarke Street Berala 2141",3,2,1,650000,2019-06-18,-33.8714631385503,151.029401324237,283.874498130407
17,"1/71-75 Dudley Street Berala 2141",4,2,2,670000,2019-05-06,-33.866876100128,151.033236464035,556.798964502744
18,"6/280-286 Park Rd Berala 2141",3,3,2,737500,2019-02-05,-33.8716170302926,151.02645173251,554.005383465263
