"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"4/6 Edwin Street Regents Park 2143",3,1,1,565000,2022-10-27,-33.8856601546917,151.027238038847,409.985776534367
2,"6/57 Auburn Road Regents Park 2143",2,1,1,615000,2022-02-22,-33.8882487378494,151.024724138447,587.738226290582
3,"2/65 Regent Street Regents Park 2143",2,1,1,588000,2020-06-10,-33.8817569119305,151.026670332545,267.461478314616
4,"13/20 Edwin Street Regents Park 2143",2,1,1,420000,2019-12-16,-33.8851683465229,151.02600849747,295.479869196967
5,"9/20 Edwin street Regents Park 2143",2,1,1,426000,2015-10-10,-33.8851683465229,151.02600849747,295.479869196967
6,"4/6 edwin street Regents Park 2143",3,2,1,552000,2015-09-05,-33.8856601546917,151.027238038847,409.985776534367
7,"9/6 Edwin street Regents Park 2143",2,1,1,520000,2015-08-01,-33.8856601546917,151.027238038847,409.985776534367
8,"9/6 Edwin Street Regents Park 2143",2,1,1,390000,2014-02-01,-33.8856601546917,151.027238038847,409.985776534367
9,"7/20 Edwin Street Regents Park 2143",2,1,2,350000,2013-11-29,-33.8851683465229,151.02600849747,295.479869196967
10,"4/28 Edwin street Regents Park 2143",2,2,2,387000,2012-10-31,-33.8844339660762,151.025927612104,227.692843487906
11,"3/28 Edwin Street Regents Park 2143",2,2,1,365000,2011-12-01,-33.8844339660762,151.025927612104,227.692843487906
12,"4/65 REGENT Street Regents Park 2143",2,1,2,380000,2011-09-26,-33.8817569119305,151.026670332545,267.461478314616
13,"4/65 REGENT Street Regents Park 2143",2,1,2,380000,2011-09-26,-33.8817569119305,151.026670332545,267.461478314616
14,"3/71 Regent Street Regents Park 2143",2,1,1,370000,2011-07-19,-33.8822420564863,151.026613084146,239.263935016587
15,"43/54 Amy Street Regents Park 2143",4,2,2,460000,2010-10-01,-33.8844452816455,151.027640454018,358.176108497679
16,"4/65 Regent Regents Park 2143",2,1,2,366000,2010-08-14,-33.8817569119305,151.026670332545,267.461478314616
17,"9/20 EDWIN Street Regents Park 2143",2,1,1,280000,2010-08-09,-33.8851683465229,151.02600849747,295.479869196967
18,"9/20 EDWIN St Regents Park 2143",2,1,1,280000,2010-08-09,-33.8851683465229,151.02600849747,295.479869196967
19,"8/57 Auburn Road Regents Park 2143",2,1,1,3e+05,2010-05-01,-33.8883125241326,151.024373942532,592.980438124273
20,"11/20 EDWIN STREET Regents Park 2143",2,1,1,245000,2009-10-07,-33.8851683465229,151.02600849747,295.479869196967
21,"2/6 Edwin Street Regents Park 2143",3,1,NA,3e+05,2009-02-01,-33.8856601546917,151.027238038847,409.985776534367
22,"4/6 Edwin Street Regents Park 2143",2,1,1,257500,2008-09-01,-33.8856601546917,151.027238038847,409.985776534367
23,"12/20 Edwin Street Regents Park 2143",2,1,1,470000,2003-07-01,-33.8851683465229,151.02600849747,295.479869196967
24,"15A Mary Street Regents Park 2143",3,1,NA,340000,2003-05-01,-33.883609857356,151.020192630133,375.391402341474
25,"2/57 Auburn Road Regents Park 2143",2,1,1,276000,2002-05-01,-33.8878910401314,151.02414385929,545.81717209014
26,"3/6 Edwin Street Regents Park 2143",3,1,1,227000,2001-07-01,-33.8856601546917,151.027238038847,409.985776534367
27,"4A Cutcliffe Avenue Regents Park 2143",4,1,1,242000,2000-05-01,-33.8860238454705,151.038943701907,1405.14582652237
