"address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"12/13-15 Kirkham Road Auburn 2144",4,2,2,868000,2023-04-04,-33.8720846985802,151.021277164585,2785.33708198308
"4/53 Kirkham Road Auburn 2144",4,2,2,850000,2023-02-28,-33.87161552155,151.01782868198,2877.32788990104
"7/55-57 Susan Street Auburn 2144",4,3,2,880000,2023-02-24,-33.8570242206832,151.032492234852,894.047243702101
"7/53 Kirkham Road Auburn 2144",4,2,2,788880,2022-12-15,-33.87161552155,151.01782868198,2877.32788990104
"11/17-21 Kirkham Road Auburn 2144",3,1,2,710000,2022-11-28,-33.8720158412457,151.020772993109,2796.62026797535
"4/27 Louisa Street Auburn 2144",3,2,2,811118,2022-11-16,-33.8572866999811,151.035094145236,944.509581324489
"19/17-21 Kirkham Road Auburn 2144",2,1,1,575000,2022-11-11,-33.8720158412457,151.020772993109,2796.62026797535
"34/18 Cockthorpe Road Auburn 2144",3,2,2,770000,2022-11-03,-33.8604458811974,151.036149678303,1309.08692780715
"1/53 Kirkham Road Auburn 2144",3,2,1,740000,2022-10-31,-33.87161552155,151.01782868198,2877.32788990104
"2/42 Helena Street Auburn 2144",3,2,1,865000,2022-10-29,-33.8576023624547,151.032826840427,957.634491947842
"44 Princeton Cct Auburn 2144",3,2,2,7e+05,2022-10-04,-33.8736835047014,151.017071125571,3113.05334955736
"3/5 New Street Auburn 2144",2,1,1,610000,2022-09-29,-33.864862096433,151.023547319241,1966.06938721746
"4/7 Kennington Oval Auburn 2144",3,2,2,691000,2022-09-19,-33.8724478026258,151.021767170644,2805.74323397359
"3/3 St Johns Avenue Auburn 2144",3,2,2,8e+05,2022-09-13,-33.8719751890153,151.023717723332,2694.75702399304
"21/277 Park Road Auburn 2144",3,1,1,6e+05,2022-08-29,-33.8706394489252,151.025656876632,2500.21326241141
"8/17 Kirkham Road Auburn 2144",3,2,2,678000,2022-07-29,-33.8720158412457,151.020772993109,2796.62026797535
"3/30-32 St Johns Road Auburn 2144",3,2,2,790000,2022-07-27,-33.8714475063008,151.020110990396,2764.38955490545
"1/277 Park Road Auburn 2144",3,1,1,570000,2022-07-25,-33.8706394489252,151.025656876632,2500.21326241141
"2/10-12 Hevington Road Auburn 2144",3,2,1,8e+05,2022-06-24,-33.8585786865366,151.034586118085,1077.62760884278
"4/45-47 Marion Street Auburn 2144",4,3,2,820000,2022-06-21,-33.856482749738,151.033953284395,838.648007577693
"3 Castle Street Auburn 2144",3,2,1,830000,2022-05-27,-33.8734620967291,151.01988811559,2976.91865463762
"9/21-23 Hargrave Road Auburn 2144",3,2,1,585000,2022-05-26,-33.8600562903378,151.032106751125,1232.96332852798
"6/320-322 Chisholm Road Auburn 2144",4,2,2,830000,2022-05-06,-33.871464982569,151.017474378933,2878.75897641245
"2/11 New Street Auburn 2144",3,1,2,680000,2022-04-21,-33.8652530283971,151.023540362261,2005.52180406639
"5/7-9 Helena Street Auburn 2144",3,2,2,730000,2022-04-06,-33.8573922281421,151.036245483456,984.082754260867
"1/57-59 Norval Street Auburn 2144",4,1,2,850000,2022-04-06,-33.8589897350683,151.032325602617,1113.31929527144
"8/273-275 Park Road Auburn 2144",3,2,2,650000,2022-04-05,-33.8703318330787,151.025674562448,2466.79457924359
"7/27 Louisa Street Auburn 2144",3,2,2,828000,2022-04-01,-33.8572866999811,151.035094145236,944.509581324489
"5/24-28 Norval Street Auburn 2144",4,2,2,8e+05,2022-03-22,-33.8599075115565,151.034442368445,1222.5618752164
"1/55 Northumberland Rd Auburn 2144",3,2,1,730000,2022-03-05,-33.8461776607885,151.036262247263,441.970797055811
"29/18 Cockthorpe Rd Auburn 2144",4,2,3,840000,2022-03-04,-33.8606256730206,151.036044988332,1326.42006438767
"19/28 Elsham Road Auburn 2144",4,3,2,850000,2022-03-03,-33.8607656927131,151.035717591194,1335.40025829319
"2/72-74 Water Street Auburn 2144",3,2,1,732000,2022-02-25,-33.8612766954402,151.033900478405,1369.76159602614
"2/17 Kirkham Road Auburn 2144",3,2,2,7e+05,2022-02-22,-33.8720158412457,151.020772993109,2796.62026797535
"2/64 Harrow Road Auburn 2144",3,2,1,740000,2022-02-21,-33.8574419747374,151.03055500939,964.437100430219
"3/273-275 Park Road Auburn 2144",3,2,2,660000,2022-02-18,-33.8703318330787,151.025674562448,2466.79457924359
"6/118 Harrow Road Auburn 2144",4,3,2,840000,2022-02-17,-33.860749683278,151.030010018046,1334.97555179002
"2/219 Auburn Road Auburn 2144",3,3,2,850000,2022-02-15,-33.8611436327273,151.030537072118,1369.35827160849
"6/18 Gibbons Street Auburn 2144",4,3,2,985000,2022-02-12,-33.8457433524755,151.032272042256,367.147661765297
"2/20 Kennington Oval Auburn 2144",3,3,2,780000,2022-02-10,-33.8734114281244,151.0226279921,2878.58254704074
"12/17-21 Kirkham Road Auburn 2144",2,1,1,6e+05,2022-02-08,-33.8720158412457,151.020772993109,2796.62026797535
"1/1A Raglan Road Auburn 2144",2,1,1,625000,2022-02-04,-33.8737999712461,151.024983809807,2856.05460780517
"9/17-21 Kirkham Road Auburn 2144",3,2,2,680500,2022-01-20,-33.8720158412457,151.020772993109,2796.62026797535
"2/57 MARY ST Auburn 2144",2,1,2,6e+05,2022-01-12,-33.8505286229078,151.023119339264,920.103597070674
"1/80 Harrow Rd Auburn 2144",3,2,2,7e+05,2021-12-24,-33.8583988947134,151.03039659142,1071.57029345613
"2/273 Park Road Auburn 2144",3,2,1,640000,2021-12-22,-33.8703318330787,151.025674562448,2466.79457924359
"2/21 Hargrave Road Auburn 2144",3,1,1,620000,2021-12-10,-33.8600562903378,151.032106751125,1232.96332852798
"2/53 Kirkham Road Auburn 2144",3,2,1,710500,2021-12-04,-33.87161552155,151.01782868198,2877.32788990104
"1/17-21 Kirkham Road Auburn 2144",3,2,1,711000,2021-11-23,-33.8720158412457,151.020772993109,2796.62026797535
"12A/114-120 Auburn Road Auburn 2144",3,2,1,705000,2021-11-22,-33.8578299311259,151.031899131384,987.288762362853
"27 Cockthorpe Road Auburn 2144",4,4,2,990000,2021-11-17,-33.8602434582358,151.036894075124,1304.9433823572
"4/28 Elsham Road Auburn 2144",4,2,2,9e+05,2021-11-06,-33.8605695980883,151.035382566524,1308.21011698892
"4/118 Harrow Road Auburn 2144",3,3,2,795000,2021-11-05,-33.860749683278,151.030010018046,1334.97555179002
"3/277 Park Road Auburn 2144",3,1,1,590000,2021-10-23,-33.8706394489252,151.025656876632,2500.21326241141
"2 Holly Way Auburn 2144",2,1,1,518000,2021-10-21,-33.8738286373549,151.0196344792,3023.7189930805
"5/27 Louisa Street Auburn 2144",3,2,2,750000,2021-10-20,-33.8572866999811,151.035094145236,944.509581324489
"4/40 St Johns Road Auburn 2144",3,2,2,768000,2021-10-19,-33.8713198499155,151.019171714326,2789.958153938
"6/1-3 Kennington Oval Auburn 2144",3,2,1,710300,2021-10-11,-33.8719987421632,151.021853839523,2756.32197280564
"7 Kirkham Road Auburn 2144",3,2,2,828000,2021-10-02,-33.8728033629585,151.021678071014,2845.59388157527
"3/39-41 Karrabah Road Auburn 2144",3,2,2,670000,2021-07-30,-33.8438658061642,151.032136003967,575.884112437092
"4/13 St Johns Road Auburn 2144",4,3,2,898000,2021-07-30,-33.8712719473388,151.023935652815,2614.11894785623
"3/56 Susan Street Auburn 2144",3,2,1,725000,2021-07-22,-33.8568291318867,151.033317936134,872.390992177545
"15 Castle Street Auburn 2144",3,2,1,788000,2021-07-08,-33.8738499692985,151.019828687897,3018.6591381455
"13 Castle Street Auburn 2144",3,2,2,815000,2021-06-10,-33.8738059223973,151.019833381763,3013.99265039833
"14/1-3 Kennington Oval Auburn 2144",3,2,1,715000,2021-06-08,-33.8719987421632,151.021853839523,2756.32197280564
"3/128 Auburn Road Auburn 2144",3,1,1,675000,2021-06-05,-33.8588216779096,151.031846409213,1097.6740898354
"4/45 Kirkham Road Auburn 2144",4,3,2,847500,2021-06-03,-33.8717008074148,151.018456737985,2858.06034941912
"2/35 Kirkham Avenue Auburn 2144",2,2,1,7e+05,2021-05-20,-33.8718144660219,151.019292497551,2834.1287165152
"9/13-15 Kirkham Road Auburn 2144",4,2,2,9e+05,2021-05-06,-33.8720846985802,151.021277164585,2785.33708198308
"1/69 MACQUARIE ROAD Auburn 2144",3,1,1,6e+05,2021-04-26,-33.8436909177544,151.036498868389,678.230620062844
"1/18 Gibbons Street Auburn 2144",4,3,2,925000,2021-04-20,-33.8457433524755,151.032272042256,367.147661765297
"1/35 Kirkham Avenue Auburn 2144",2,1,1,695000,2021-04-12,-33.8718144660219,151.019292497551,2834.1287165152
"3/21-23 Hargrave Road Auburn 2144",3,1,1,610000,2021-04-12,-33.8600562903378,151.032106751125,1232.96332852798
"3/219 Auburn Road Auburn 2144",3,3,2,8e+05,2021-03-31,-33.8611436327273,151.030537072118,1369.35827160849
"5/38 St Johns Road Auburn 2144",3,3,2,730000,2021-03-30,-33.8713482645673,151.019380675172,2784.051224968
"7/35-37 Elsham Road Auburn 2144",3,2,2,718000,2021-03-27,-33.8610523118922,151.034672451687,1351.62586528711
"11/273 Park road Auburn 2144",3,2,1,650000,2021-03-10,-33.8703318330787,151.025674562448,2466.79457924359
"2/45-47 Marion Street Auburn 2144",3,2,2,738000,2021-03-08,-33.856482749738,151.033953284395,838.648007577693
"6/3-5 Louisa Street Auburn 2144",4,3,2,840000,2021-03-03,-33.8558867545127,151.035424727497,801.373811281352
