"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"1/14 Gilba Road Pendle Hill 2145",3,2,1,770000,2023-04-05,-33.803017523048,150.953308479373,341.594940855371
2,"17/6 Binalong Road Pendle Hill 2145",3,1,1,715000,2023-03-20,-33.8024742080842,150.961706475803,508.81095456637
3,"4/528-530 Great Western Highway Pendle Hill 2145",3,3,2,919990,2022-11-23,-33.8107342802969,150.951000941429,1160.33203599556
4,"6/7 Wyena Road Pendle Hill 2145",3,2,1,8e+05,2022-10-19,-33.8103104074534,150.950848809886,1124.23561502253
5,"3/7 Wyena Road Pendle Hill 2145",3,2,1,750000,2022-09-07,-33.8101919711615,150.950514036673,1127.10196166968
6,"6/10 Gilba Road Pendle Hill 2145",3,1,1,708000,2021-11-05,-33.8032658369296,150.953694130738,329.959340916806
7,"1/37 Binalong Road Pendle Hill 2145",3,2,2,775000,2021-10-23,-33.799002842884,150.96395399932,746.202805174956
8,"5/10 Gilba Road Pendle Hill 2145",3,1,1,685000,2021-09-06,-33.8032658369296,150.953694130738,329.959340916806
9,"1/50a Pendle Way Pendle Hill 2145",3,1,1,7e+05,2021-06-05,-33.8071393479628,150.953792195083,690.811135821618
10,"2/37 Binalong Road Pendle Hill 2145",3,2,1,690000,2021-03-06,-33.799002842884,150.96395399932,746.202805174956
11,"3/6-8 Gilba Road Pendle Hill 2145",3,1,1,695000,2020-11-19,-33.8031015097178,150.954357809832,272.936843013447
12,"2/6 Gilba Road Pendle Hill 2145",3,1,1,681000,2020-11-16,-33.8030724664233,150.95429217953,274.836879326962
13,"16/18 Magowar Road Pendle Hill 2145",2,2,1,656500,2020-09-21,-33.8064585038491,150.950933718565,762.54458035623
14,"7/14 Gilba Road Pendle Hill 2145",2,2,2,690000,2019-11-05,-33.803017523048,150.953308479373,341.594940855371
15,"5/10 Gilba Road Pendle Hill 2145",3,1,1,655000,2018-02-14,-33.8032658369296,150.953694130738,329.959340916806
16,"2/7 Rhonda Street (also known as 2/526 GWH) Pendle Hill 2145",3,1,2,667500,2017-08-24,-33.8106690271807,150.951229767385,1144.79944736673
17,"3/40-42 Wyena Road Pendle Hill 2145",2,2,2,626100,2017-08-18,-33.8066881679961,150.950911590341,783.228353484475
18,"4/40-42 Wyena Road Pendle Hill 2145",2,2,2,631100,2017-06-23,-33.8066451269233,150.950813270617,785.514858659668
19,"2/526 Great Western Highway Pendle Hill 2145",3,1,2,5e+05,2016-05-10,-33.810659304173,150.951237227279,1143.52806587945
20,"5/7 Wyena Road Pendle Hill 2145",3,2,1,710000,2016-04-26,-33.8102673663806,150.950739006955,1124.65200085714
21,"5/7 Wyena Road Pendle Hill 2145",3,2,1,710000,2016-04-26,-33.8102673663806,150.950739006955,1124.65200085714
22,"2/37 Binalong Pendle Hill 2145",3,2,1,688000,2015-09-19,-33.799002842884,150.96395399932,746.202805174956
23,"1/50 Pendle Way Pendle Hill 2145",3,1,1,565000,2014-11-07,-33.8069233641992,150.953352484365,683.962350792637
24,"5/7-9 Magowar Road Pendle Hill 2145",2,1,1,528000,2014-07-28,-33.8054140348944,150.953269503523,539.235357146187
25,"1/7-9 Magowar Road Pendle Hill 2145",3,1,2,635000,2014-07-21,-33.8054140348944,150.953269503523,539.235357146187
26,"2/7-9 Magowar Road Pendle Hill 2145",3,2,2,625000,2014-07-01,-33.8054140348944,150.953269503523,539.235357146187
27,"2/40 Wyena Road Pendle Hill 2145",2,2,2,430000,2013-12-01,-33.8067312090689,150.951009071875,781.119809496719
28,"17/536 Great Western Highway Pendle Hill 2145",3,2,2,425000,2013-07-23,-33.8108665048195,150.950250509637,1204.73571293895
29,"7/40-42 Wyena Road Pendle Hill 2145",2,2,3,630000,2013-05-01,-33.8067905110339,150.950727188471,802.966129106643
30,"4/42 Wyena Road Pendle Hill 2145",2,2,2,369000,2013-01-14,-33.8066451269233,150.950813270617,785.514858659668
31,"12/6 Binalong Road Pendle Hill 2145",3,1,1,380000,2012-11-01,-33.8022748864266,150.961493994557,484.469646784884
32,"2/43 Magowar Road Pendle Hill 2145",2,1,1,362000,2012-10-01,-33.8043359125985,150.950927515957,606.25554771974
33,"10/6 Binalong Road Pendle Hill 2145",2,1,1,355000,2012-10-01,-33.8024531275977,150.961443870776,484.729866740149
