"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"6/1-3 Norfolk Street Blacktown 2148",4,2,2,825000,2023-04-13,-33.7629781354978,150.899382415646,891.431068330326
2,"7/25 Patricia Street Blacktown 2148",3,2,2,632000,2023-04-03,-33.7924034771474,150.903869835149,2730.40808671899
3,"4/29 Norfolk Street Blacktown 2148",2,2,1,710000,2023-03-28,-33.7648880778648,150.897144782775,965.525531586702
4,"12/28-32 Allawah Street Blacktown 2148",4,1,2,760000,2023-03-27,-33.7706472416272,150.901101795445,610.468411894543
5,"53/130 Reservoir Road Blacktown 2148",3,1,1,580000,2023-03-24,-33.788473412296,150.896854768925,2460.29566829378
6,"73 Highpoint Drive Blacktown 2148",3,2,2,710000,2023-03-17,-33.7910618278156,150.895362371064,2779.29784855183
7,"5/201 Stephen Street Blacktown 2148",2,1,1,545000,2023-03-14,-33.7674707098713,150.919172089044,1138.88643715484
8,"28B Highpoint Drive Blacktown 2148",4,3,2,8e+05,2023-03-14,-33.7902880943335,150.894513284273,2731.92406174102
9,"3/31 Irelands Road Blacktown 2148",4,2,2,760000,2023-03-08,-33.7636085803451,150.889045182098,1721.62207952619
10,"1 Ellerston Glade Blacktown 2148",2,1,1,7e+05,2023-02-24,-33.761233861447,150.900728549296,944.579940849558
11,"12/41 Patricia Street Blacktown 2148",3,2,1,682000,2023-02-24,-33.794524601565,150.903235408898,2971.48630968874
12,"70/173A Reservoir Road Blacktown 2148",3,1,1,566000,2023-02-21,-33.7962765450572,150.899264146993,3225.25051008814
13,"40/162 Walters Road Blacktown 2148",4,2,2,8e+05,2023-02-17,-33.7858800514535,150.890168860038,2520.20693539809
14,"5/120 Kildare Road Blacktown 2148",3,2,1,740000,2023-02-16,-33.7698600132809,150.894858618684,1131.62835001842
15,"43/162 Walters Road Blacktown 2148",4,2,2,8e+05,2023-02-09,-33.7856195419028,150.890222923313,2494.27887833756
16,"2/45 Bungarribee Road Blacktown 2148",3,2,1,580000,2023-02-06,-33.7780683691511,150.917671979832,1500.71640028889
17,"78/130 Reservoir Road Blacktown 2148",3,2,1,615000,2023-02-03,-33.7881576240939,150.896916292094,2425.60468813289
18,"5/53 Patrick Street Blacktown 2148",3,2,1,730000,2023-02-02,-33.7739655532753,150.904721939426,693.090906353989
19,"56A/177A RESERVOIR ROAD Blacktown 2148",3,2,1,567000,2023-02-01,-33.7974156876083,150.899935453618,3336.58930417339
20,"4/130 Aliberti Drive Blacktown 2148",4,2,2,830000,2023-01-10,-33.788811119175,150.889688660805,2809.94812524946
21,"64/5 Tenby Street Blacktown 2148",3,2,2,635000,2023-01-09,-33.7902371742717,150.909714368596,2488.83510574958
22,"1/162 Bungarribee Road Blacktown 2148",4,2,2,770000,2022-12-21,-33.7771559151714,150.902929134156,1082.46351662114
23,"4/33 Doonside Crescent Blacktown 2148",3,1,1,632000,2022-12-20,-33.7652451050306,150.892372630021,1377.36453246797
24,"43/179 Reservoir Road Blacktown 2148",3,1,1,585000,2022-12-16,-33.7979679712085,150.899000787595,3414.35587886448
25,"60/177 Reservoir Road Blacktown 2148",3,1,2,550000,2022-12-15,-33.7970729096779,150.898115826258,3336.04154657224
26,"40/173A Reservoir Road Blacktown 2148",3,1,3,650000,2022-12-12,-33.7961146066879,150.900203003967,3189.70062408393
27,"23/130 Reservoir Road Blacktown 2148",3,1,2,530000,2022-12-07,-33.7890308507667,150.897756745525,2488.33313987185
28,"69/173a Reservoir Road Blacktown 2148",3,1,2,510000,2022-12-02,-33.796277257519,150.899264146993,3225.32790344122
29,"2/36 Allawah Street Blacktown 2148",4,2,2,768000,2022-12-02,-33.7708734691939,150.90059058317,664.055205974724
30,"59/5 Tenby Street Blacktown 2148",3,2,1,655000,2022-11-24,-33.7905687623613,150.909693749114,2525.34774742212
31,"28/39 Patricia Street Blacktown 2148",3,1,1,560000,2022-11-18,-33.7934376782707,150.903878719967,2844.87727080752
32,"4/2 Chester Street Blacktown 2148",3,2,2,660000,2022-11-15,-33.7678153737298,150.893410896367,1246.76648830656
33,"1/272 Flushcombe Road Blacktown 2148",3,2,1,725000,2022-11-15,-33.7886116717889,150.906105624002,2295.17056816351
34,"47/130 Reservoir Road Blacktown 2148",3,1,2,540000,2022-11-12,-33.7886977539345,150.897025340654,2477.58994609783
