"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"4/3 Shedworth Street Marayong 2148",3,2,2,7e+05,2022-12-16,-33.7422959151409,150.899389624083,452.906047135966
2,"5/63 Breakfast Road Marayong 2148",3,2,2,750500,2022-12-10,-33.7510526989359,150.888671684493,1190.13075317566
3,"2/72 Arnott Road Marayong 2148",3,2,1,730000,2022-11-11,-33.742589114114,150.891192206597,930.522223318044
4,"2/11 Michelle Place Marayong 2148",2,1,2,529000,2022-08-22,-33.7483595515361,150.892181103533,776.071782271923
5,"1/15 Fursorb Street Marayong 2148",3,2,1,776000,2022-05-21,-33.7501747783973,150.895052240647,641.674896034003
6,"7/1 Davis Road Marayong 2148",4,2,2,805000,2022-04-13,-33.758408196158,150.896467608817,1390.34913837312
7,"13/11 Michelle Place Marayong 2148",2,1,1,544500,2022-03-30,-33.7486267666093,150.891978764391,803.047515084614
8,"29/37 Shedworth Street Marayong 2148",4,3,2,870000,2022-02-10,-33.7437173601909,150.895390282802,530.091581600642
9,"5/3 Shedworth Street Marayong 2148",4,2,2,750000,2022-02-10,-33.7422844738431,150.89940890246,453.873018482995
10,"21A Arnott Road Marayong 2148",3,1,1,6e+05,2022-02-07,-33.7393071799256,150.895671244196,884.784970138992
11,"5/37 Shedworth Street Marayong 2148",5,3,2,850000,2021-12-29,-33.74362394388,150.895826141767,502.841914952896
12,"7/34 Railway Road Marayong 2148",4,2,1,750000,2021-12-28,-33.74790386937,150.899659856642,184.310626671162
13,"21/37 Shedworth Street Marayong 2148",4,3,2,810000,2021-11-10,-33.7432248814698,150.895279893137,569.937643649403
14,"11/8 Petunia Street Marayong 2148",3,2,1,656000,2021-08-16,-33.747777218813,150.892502381882,730.525019290235
15,"4/8 Petunia Street Marayong 2148",3,2,1,655000,2021-06-26,-33.747484187478,150.892970511174,681.353901220952
16,"7/1A Davis Road Marayong 2148",4,2,2,710000,2021-04-28,-33.7590307620163,150.896579507225,1455.17074638336
17,"14/37 Shedworth Street Marayong 2148",5,3,3,750000,2021-03-05,-33.7430649966668,150.895685996346,551.885981446296
18,"2/8 Petunia Street Marayong 2148",3,2,2,620000,2021-02-28,-33.7473632785247,150.892811171195,693.430119021626
19,"1/49 Davis Road Marayong 2148",2,1,1,495000,2021-02-25,-33.7543756206307,150.89719364927,939.950155794675
20,"30/37 Shedworth Street Marayong 2148",4,3,2,745000,2020-11-27,-33.7437640473916,150.895616678007,509.731024712363
21,"6/11 Michelle Place Marayong 2148",2,1,3,485000,2020-09-25,-33.7487438198872,150.892224354154,785.952175851547
22,"4/51 Davis Road Marayong 2148",2,1,1,440000,2020-09-18,-33.7551184248901,150.89640415781,1041.52826439238
23,"13/37 Shedworth Street Marayong 2148",5,3,3,741000,2020-09-07,-33.7430890527289,150.895790686317,542.8228127126
24,"21b Arnott Road Marayong 2148",3,1,1,585000,2020-05-01,-33.7393071799256,150.895671244196,884.784970138992
25,"29a Arnott Road Marayong 2148",3,2,1,650000,2019-12-06,-33.7398335634451,150.895165647797,858.08761307304
26,"9/11 Michelle Place Marayong 2148",3,1,2,567500,2019-12-04,-33.7489893677407,150.892233238971,795.029058475844
27,"4 /11 Michelle Place Marayong 2148",2,1,1,475000,2019-11-01,-33.748507156851,150.892193844026,779.942209059615
28,"2/22 Percy Street Marayong 2148",3,1,1,580000,2019-08-27,-33.7553585245066,150.89725249023,1043.5454947723
29,"23 Arnott Road Marayong 2148",4,2,2,562000,2019-06-24,-33.7393071799256,150.895671244196,884.784970138992
30,"12/11 Michelle Place Marayong 2148",2,1,1,442500,2019-03-11,-33.7487056403182,150.891977507105,806.020893407916
31,"3/1A Paula Street Marayong 2148",4,2,1,615000,2019-02-22,-33.7557989935185,150.893155918873,1241.15141734118
32,"7/37 SHEDWORTH STREET Marayong 2148",5,3,3,751000,2018-07-23,-33.7434739497227,150.896092099555,493.768515597969
33,"17/37 Shedworth Street Marayong 2148",4,2,2,720000,2018-02-26,-33.7430069519873,150.895397323601,576.458128773391
34,"25 Arnott Road Marayong 2148",2,1,1,522000,2018-01-30,-33.7393071799256,150.895671244196,884.784970138992
35,"28/37 Shedworth Street Marayong 2148",4,3,2,760000,2017-11-07,-33.743643767081,150.895463875912,528.941379206009
36,"7/11 Michelle Place Marayong 2148",2,1,1,587000,2017-08-01,-33.7488137668692,150.892231981685,788.010615488073
37,"3/8 Petunia Street Marayong 2148",3,2,1,610000,2017-07-24,-33.747442194143,150.892900270826,686.861941096958
38,"2/50 Shedworth Street Marayong 2148",4,2,2,690000,2017-05-22,-33.7453742529011,150.895265140988,468.001295012606
39,"13/11 Michelle Place Marayong 2148",2,1,1,495000,2016-09-16,-33.7486267666093,150.891978764391,803.047515084614
40,"2 Pippita Street Marayong 2148",3,2,2,649500,2015-11-18,-33.7398335634451,150.895165647797,858.08761307304
41,"2/49-51 Davis Road Marayong 2148",2,1,2,420000,2015-07-18,-33.7543756206307,150.89719364927,939.950155794675
42,"1/15 Fursorb ST Marayong 2148",3,2,2,550000,2015-01-13,-33.7501747783973,150.895052240647,641.674896034003
43,"6/8 Petunia St Marayong 2148",3,2,2,489000,2014-09-30,-33.7475886259915,150.893105208358,671.491738487112
44,"21 Arnott Road Marayong 2148",3,1,2,440000,2014-05-28,-33.7393071799256,150.895671244196,884.784970138992
45,"21B Arnott Road Marayong 2148",3,1,1,388000,2013-09-12,-33.7393071799256,150.895671244196,884.784970138992
46,"2/1-3 Shedworth Street Marayong 2148",4,NA,NA,342500,2013-06-01,-33.7434742430893,150.896850745611,442.022628933596
47,"4/34 Railway Road Marayong 2148",3,2,2,425000,2013-03-01,-33.74790386937,150.899659856642,184.310626671162
48,"6/11 Michelle Place Marayong 2148",2,1,2,322000,2012-12-01,-33.7487438198872,150.892224354154,785.952175851547
49,"18/37 Shedworth Street Marayong 2148",4,2,2,750000,2012-07-01,-33.7433550943357,150.895037907592,579.626933295717
50,"10/37 Shedworth Street Marayong 2148",4,2,2,440000,2012-06-10,-33.743231964178,150.89608648368,511.792296912533
51,"29/37 Shedworth Street Marayong 2148",4,3,2,442500,2012-06-10,-33.7437173601909,150.895390282802,530.091581600642
52,"9/37 Shedworth Street Marayong 2148",4,3,2,425000,2012-06-10,-33.7432532123026,150.896225120358,500.720908298679
53,"21/37 Shedworth Street Marayong 2148",4,3,3,447000,2012-06-10,-33.7432248814698,150.895279893137,569.937643649403
54,"22/37 shedworth Street Marayong 2148",4,3,2,441500,2012-06-10,-33.743230581164,150.895387432955,561.636638519598
55,"23/37 Shedworth Street Marayong 2148",4,3,2,435000,2012-06-10,-33.7432574451637,150.895492122926,552.145653823863
56,"27/37 Shedworth Street Marayong 2148",4,3,2,690000,2012-06-01,-33.7435602833254,150.895572756834,525.980042834648
57,"15/8 PETUNIA STREET Marayong 2148",2,3,1,270000,2012-06-01,-33.7479123770017,150.892677479839,718.327024157233
58,"24/37 Shedworth Street Marayong 2148",4,3,3,445000,2012-05-01,-33.743288583934,150.895667639978,537.254105020903
59,"2/37 Shedworth Street Marayong 2148",5,3,1,457000,2012-04-01,-33.7437951861619,150.89609075845,471.814051501042
60,"8/37 Shedworth Street Marayong 2148",5,3,1,770000,2012-04-01,-33.743268760733,150.896297288545,494.653836813854
61,"3/37 Shedworth Street Marayong 2148",5,3,2,465000,2012-02-01,-33.743738566406,150.896007190876,481.78060428679
62,"31/37 Shedworth Street Marayong 2148",5,3,2,465000,2012-01-20,-33.7438277498557,150.895704436533,499.03844207102
63,"4/19 Osborne Road Marayong 2148",2,1,1,335000,2011-12-01,-33.7541481357786,150.895075542338,992.982280613156
64,"3/19 Osborne Road Marayong 2148",3,1,1,358500,2011-12-01,-33.7541481357786,150.895075542338,992.982280613156
65,"1/19 Osborne Road Marayong 2148",3,1,1,367000,2011-12-01,-33.7541481357786,150.895075542338,992.982280613156
66,"12/37 Shedworth Street Marayong 2148",4,2,4,435000,2011-12-01,-33.7431654537763,150.895875594996,531.305653463676
67,"31/37 Shedworth Street Marayong 2148",5,3,2,735000,2011-11-01,-33.7438277498557,150.895704436533,499.03844207102
68,"25A Arnott Road Marayong 2148",3,1,1,337000,2011-11-01,-33.7393071799256,150.895671244196,884.784970138992
69,"12/8 Petunia Street Marayong 2148",3,2,1,290000,2011-10-15,-33.7478381133395,150.892435745752,738.071516607431
70,"13/8 Petunia Marayong 2148",2,2,1,315000,2011-10-06,-33.7480494211186,150.892508081576,737.385509524551
71,"1/1A Paula street Marayong 2148",4,2,1,410000,2011-09-20,-33.7557989935185,150.893155918873,1241.15141734118
72,"13/8 Petunia Street Marayong 2148",2,2,1,560000,2011-09-01,-33.7480494211186,150.892508081576,737.385509524551
73,"5/10 Osborne Road Marayong 2148",2,1,1,335000,2011-07-01,-33.7552626774438,150.895184507079,1099.31258639265
74,"2/10 Osborne Road Marayong 2148",2,1,1,625000,2011-06-01,-33.7552626774438,150.895184507079,1099.31258639265
75,"157 Richmond Road Marayong 2148",4,2,1,402500,2011-06-01,-33.7559763964992,150.892965146756,1267.23715778732
76,"3/10 Osborne Road Marayong 2148",2,1,1,430000,2011-06-01,-33.7552626774438,150.895184507079,1099.31258639265
77,"6/10 Osborne Road Marayong 2148",2,1,1,235000,2011-06-01,-33.7552626774438,150.895184507079,1099.31258639265
78,"1/1A Davis Road Marayong 2148",4,2,1,620000,2011-06-01,-33.7586201325798,150.896149934687,1420.67927187629
79,"8/10 Osborne Road Marayong 2148",2,1,1,235000,2011-05-01,-33.7552626774438,150.895184507079,1099.31258639265
80,"1/10 Osborne Road Marayong 2148",3,1,1,275000,2011-03-01,-33.7552626774438,150.895184507079,1099.31258639265
81,"2/56 Osborne Road Marayong 2148",3,1,1,292712,2011-03-01,-33.7527407723259,150.892044059416,1040.07761495839
82,"9 11 Michelle Place Marayong 2148",1,1,2,290000,2010-10-18,-33.7489893677407,150.892233238971,795.029058475844
83,"9/8 Petunia Street Marayong 2148",3,2,1,615000,2010-09-01,-33.7476420606243,150.892641353837,714.719106597267
84,"6/37 Shedworth Street Marayong 2148",5,3,2,320000,2010-08-01,-33.743427262522,150.895993109278,504.140865616327
85,"5/19 Osborne Road Marayong 2148",2,1,1,320000,2010-06-01,-33.7541481357786,150.895075542338,992.982280613156
86,"5/8 Petunia Street Marayong 2148",3,2,1,330000,2010-06-01,-33.7475411844196,150.893044942474,675.852744665628
87,"1/63 Breakfast Road Marayong 2148",2,2,1,330000,2010-03-01,-33.7510526989359,150.888671684493,1190.13075317566
88,"2/63 Breakfast Road Marayong 2148",2,2,1,303000,2010-01-20,-33.7510526989359,150.888671684493,1190.13075317566
89,"5/11 Michelle Place Marayong 2148",2,1,1,285000,2009-12-04,-33.7485732900671,150.892201471558,781.61455519451
