"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"5/24-26 Markey Street Guildford 2161",3,2,2,690000,2023-04-04,-33.8559834397659,151.004866990729,1900.42724903555
2,"3/38-42 Wynyard Street Guildford 2161",3,2,2,680000,2023-03-30,-33.8540699769995,150.99653646862,1120.34670717233
3,"6/14-16 Markey Street Guildford 2161",3,2,2,830000,2023-03-10,-33.8560895546601,151.005681041165,1976.50158868915
4,"4/58-60 Bolton Street Guildford 2161",2,2,1,685000,2022-12-19,-33.8588167744963,150.986989816179,563.710892407743
5,"11/25-27 Henry St Guildford 2161",2,1,1,606000,2022-12-19,-33.8602951745783,150.987954740873,750.638298006347
6,"9/25 Henry Street Guildford 2161",3,1,1,655000,2022-12-02,-33.8602951745783,150.987954740873,750.638298006347
7,"7/58-60 Bolton Street Guildford 2161",3,2,2,735000,2022-12-01,-33.8588167744963,150.986989816179,563.710892407743
8,"3/511 Woodville Road Guildford 2161",3,2,1,670000,2022-10-27,-33.859157792227,150.994332530999,1068.36539898861
9,"1/14 Markey Street Guildford 2161",4,2,2,670000,2022-10-20,-33.8560895546601,151.005681041165,1976.50158868915
10,"2/19-21 Chiltern Road Guildford 2161",3,2,2,665000,2022-08-26,-33.8619583118064,150.989621230862,986.094507901834
11,"5/483 Woodville Road Guildford 2161",3,2,1,650000,2022-08-24,-33.8569616916855,150.995083549523,1031.88025197659
12,"2/511 Guildford Road Guildford 2161",2,2,1,620000,2022-08-18,-33.8510771256733,150.971403893122,1253.20407951185
13,"3/1-5 Chiltern Road Guildford 2161",3,2,3,675000,2022-07-08,-33.8622409495815,150.990981446109,1079.02383175102
14,"2/38-42 Wynyard Street Guildford 2161",4,2,2,680000,2022-06-03,-33.8540699769995,150.99653646862,1120.34670717233
15,"14/33 Bowden Street Guildford 2161",3,2,2,710000,2022-06-02,-33.8457114174244,150.971543812645,1521.52204845797
16,"8/83 Queen Street Guildford 2161",3,1,1,665000,2022-05-27,-33.8419259404027,150.966038746278,2182.22636519662
17,"10/1-5 Chiltern Road Guildford 2161",3,2,2,625000,2022-04-21,-33.8622409495815,150.990981446109,1079.02383175102
18,"8/8-12 Rosebery Road Guildford 2161",2,2,2,675000,2022-03-21,-33.8556733931674,150.989438337735,491.232576205242
19,"5/6-8 Wynyard Street Guildford 2161",4,2,1,710000,2022-03-11,-33.8544425106861,150.999257066752,1371.93381904816
20,"15/38-42 Wynyard Street Guildford 2161",2,2,1,610000,2022-02-25,-33.8540699769995,150.99653646862,1120.34670717233
