"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"1/113-115 Hector Street Sefton 2162",3,1,2,625000,2023-04-06,-33.8856273814503,151.006656694695,446.106504521694
2,"9/16 Munro Street Sefton 2162",3,2,2,815000,2023-02-27,-33.8777696824995,151.011191639589,831.363034129559
3,"2/14 Rose Street Sefton 2162",3,2,2,848000,2022-10-19,-33.8871860801648,151.013334892231,277.824068814424
4,"7/113 Hector Street Sefton 2162",2,1,1,545000,2022-08-22,-33.885741249605,151.007076208949,409.096437694267
5,"1/113-115 Hector Street Sefton 2162",3,1,2,625000,2022-06-16,-33.8856273814503,151.006656694695,446.106504521694
6,"12/16-22 Munro Street Sefton 2162",3,2,1,755000,2022-06-07,-33.8779388712151,151.011035484733,813.107411396401
7,"4/14-16 Rose Street Sefton 2162",3,2,2,855000,2022-05-20,-33.8871860801648,151.013334892231,277.824068814424
8,"3/37-39 Rose Street Sefton 2162",2,1,1,610000,2022-05-16,-33.889826128208,151.013756837237,553.416146905936
9,"3/189 Rodd Street Sefton 2162",2,1,1,540000,2022-02-26,-33.8901871367778,151.010137531445,564.712433774889
10,"4/113-119 Wellington Road Sefton 2162",2,1,1,485000,2021-07-15,-33.8858724682992,151.012866176205,148.017733078388
11,"3/16 - 18 Bulwarra Avenue Sefton 2162",3,2,3,703000,2021-03-13,-33.8921054191385,151.006553848743,889.166872774912
12,"6/37-39 Rose Street Sefton 2162",2,1,1,515000,2021-02-26,-33.8898633019486,151.013999996248,566.177597234603
13,"1/49 Batt Street Sefton 2162",3,2,2,770000,2020-10-03,-33.8920162775982,151.00897018379,789.236982957397
14,"5/14 Rose Street Sefton 2162",4,2,2,715000,2020-08-19,-33.8871860801648,151.013334892231,277.824068814424
15,"3/14 Rose Street Sefton 2162",4,3,1,750000,2020-07-23,-33.8871860801648,151.013334892231,277.824068814424
16,"8/113 Hector Street Sefton 2162",2,1,2,495000,2019-11-15,-33.885778381436,151.007292797327,389.902158482095
17,"11/189 Rodd Street Sefton 2162",2,1,2,470000,2019-10-11,-33.8904889272016,151.010319167287,594.347024367944
18,"6/187-189 Wellington Road Sefton 2162",3,2,2,680000,2019-09-03,-33.88552352967,151.007583817005,359.722036598845
19,"7/189 Rodd Street Sefton 2162",2,1,2,455000,2019-08-13,-33.8905246760186,151.010073158429,602.688199845879
20,"6/14-16 Rose Street Sefton 2162",4,2,1,7e+05,2019-08-01,-33.8871860801648,151.013334892231,277.824068814424
21,"6/14-16 Rose Street Sefton 2162",4,2,1,7e+05,2019-07-31,-33.8871860801648,151.013334892231,277.824068814424
22,"2/16 Bulwarra Avenue Sefton 2162",4,2,1,630000,2019-05-27,-33.8921054191385,151.006553848743,889.166872774912
23,"13/16 Munro Street Sefton 2162",3,2,2,640000,2019-01-21,-33.8780066808118,151.011021570773,805.631554183126
24,"1/14 Rose Street Sefton 2162",3,2,1,7e+05,2018-09-14,-33.8871860801648,151.013334892231,277.824068814424
25,"12/16-22 Munro Street Sefton 2162",3,2,2,737000,2017-11-01,-33.8779388712151,151.011035484733,813.107411396401
26,"6/113-119 Wellington Road Sefton 2162",2,1,1,437000,2017-06-19,-33.886040944553,151.012744890066,148.790743618312
27,"10/113-115 Hector Street Sefton 2162",2,1,1,540000,2017-04-06,-33.8857920020287,151.007449958011,375.808796516157
28,"3/16 Bulwarra Avenue Sefton 2162",3,2,2,635000,2017-02-11,-33.8921054191385,151.006553848743,889.166872774912
29,"1/16 Bulwarra Avenue Sefton 2162",4,2,2,705000,2016-12-21,-33.8921054191385,151.006553848743,889.166872774912
30,"8/37 Rose Street Sefton 2162",3,1,2,575000,2016-11-02,-33.889997705766,151.014084821108,583.043275377765
31,"4/189 Rodd Street Sefton 2162",3,1,2,647500,2016-10-19,-33.8902758173134,151.010117498697,574.751028092853
32,"4/16 Bulwarra Avenue Sefton 2162",3,2,2,650000,2016-10-04,-33.8921054191385,151.006553848743,889.166872774912
33,"6/113 Hector Street Sefton 2162",2,1,2,535000,2016-09-15,-33.8857301016737,151.007001945287,415.728408062759
34,"2/187 WELLINGTON ROAD Sefton 2162",4,2,2,772000,2016-05-14,-33.885181673749,151.007747515574,343.204734904679
35,"113-115 Hector Street Sefton 2162",3,1,1,578000,2016-04-07,-33.885778381436,151.007292797327,389.902158482095
36,"6/113 Wellington Road Sefton 2162",2,1,1,435000,2015-12-04,-33.886040944553,151.012744890066,148.790743618312
37,"16/113 Wellington Road Sefton 2162",2,1,1,450000,2015-06-27,-33.8861012104368,151.013166835072,184.831552353909
38,"3/37-39 Rose Street Sefton 2162",2,1,1,475000,2014-09-23,-33.889826128208,151.013756837237,553.416146905936
39,"9/187 Wellington Road Sefton 2162",3,2,2,598000,2014-08-30,-33.8854740764412,151.007117531731,402.25622588904
40,"9/37 Rose Street Sefton 2162",3,1,2,436000,2014-02-07,-33.8901063771407,151.014074343729,593.671346835318
41,"9/37-39 Rose Street Sefton 2162",3,1,2,436000,2014-02-07,-33.8901063771407,151.014074343729,593.671346835318
42,"3/113-119 Wellington Road Sefton 2162",2,1,2,332000,2013-12-14,-33.8858652179529,151.012795768218,141.942076204691
43,"2/187 Wellington Road Sefton 2162",4,2,2,542000,2013-09-06,-33.885181673749,151.007747515574,343.204734904679
44,"1/187 Wellington Road Sefton 2162",4,2,2,539800,2013-09-06,-33.8851927797707,151.007826808378,335.858752784114
45,"5/187 Wellington Road Sefton 2162",3,2,2,525000,2013-09-06,-33.8853768882739,151.007703175306,347.612422377165
46,"4/187 Wellington Road Sefton 2162",3,2,2,525000,2013-09-06,-33.8853223220842,151.007711724847,346.598978446204
