"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"LOT 1/8 - 10 Gurrawillie Street Villawood 2163",4,3,2,675000,2020-11-18,-33.8884979318308,150.989458202845,1500.83013938974
2,"LOT 2/8 - 10 Gurrawillie Street Villawood 2163",4,3,2,650000,2020-11-18,-33.8884979318308,150.989458202845,1500.83013938974
3,"1 - 3/8 - 10 Gurrawillie Street Villawood 2163",4,3,2,710000,2020-11-06,-33.8883870392518,150.989428866184,1491.64945414843
4,"3/974 Woodville Road Villawood 2163",3,1,1,515000,2020-09-30,-33.8887875265855,150.972913164167,926.111963953549
5,"4/974 Woodville Road Villawood 2163",3,1,1,535000,2019-09-26,-33.8887161127705,150.972880307107,919.529570657454
6,"4/974 Woodville Road Villawood 2163",3,1,1,525000,2017-04-29,-33.8887161127705,150.972880307107,919.529570657454
7,"6/974 Woodville Road Villawood 2163",3,1,1,490000,2017-03-16,-33.8885005721303,150.972841750352,897.992077838797
8,"9/974 Woodville Road Villawood 2163",3,1,1,490000,2015-04-25,-33.8884405996131,150.972537654905,901.436115097066
9,"13/974 Woodville Road Villawood 2163",3,1,1,390000,2013-08-01,-33.8890216750507,150.97274753776,955.681518043066
10,"11/974 Woodville Road Villawood 2163",3,1,1,590000,2012-12-01,-33.88876896067,150.972664724557,931.613173711398
11,"12/974 Woodville Road Villawood 2163",3,1,1,350000,2012-01-01,-33.8888860139478,150.972710405929,942.503516306848
12,"13 974 Woodville Road Villawood 2163",3,1,1,651000,2010-10-18,-33.8890216750507,150.97274753776,955.681518043066
13,"13/974 Woodville Road Villawood 2163",3,1,1,712000,2010-06-01,-33.8890216750507,150.97274753776,955.681518043066
14,"3/36A Goonaroi Street Villawood 2163",3,2,1,725000,2010-05-01,-33.8914909837262,150.990592777259,1788.51641493835
15,"5/974 Woodville Road Villawood 2163",2,1,2,244000,2009-09-01,-33.8886590320098,150.972851808636,914.358005356443
16,"2/36A Goonaroi Street Villawood 2163",3,2,1,715000,2008-07-01,-33.8914909837262,150.990592777259,1788.51641493835
17,"1/36A Goonaroi Street Villawood 2163",3,2,1,286000,2008-06-01,-33.8914909837262,150.990592777259,1788.51641493835
