"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"2/24 Railway Parade Fairfield 2165",3,1,1,6e+05,2023-02-23,-33.8754512061716,150.95299189489,491.706546574826
2,"2/24 Railway Parade Fairfield 2165",3,1,1,6e+05,2023-02-23,-33.8754512061716,150.95299189489,491.706546574826
3,"5/83 Smart Street Fairfield 2165",3,1,1,550000,2022-12-01,-33.8667920715487,150.953950784613,676.836760750147
4,"10/45-49 Harris Street Fairfield 2165",3,1,1,530000,2022-11-11,-33.8725871936756,150.952452435602,404.46867734261
5,"4/30-32 Wrentmore Street Fairfield 2165",2,1,1,510000,2022-10-14,-33.8700213254755,150.950769936177,618.175441911102
6,"9/30 Wrentmore St Fairfield 2165",2,1,1,440000,2022-10-06,-33.8700213254755,150.950769936177,618.175441911102
7,"2/3-5 Lyndon Street Fairfield 2165",3,2,1,635000,2022-08-26,-33.8774693169992,150.953710140173,634.819398989506
8,"3/1 Lackey Street Fairfield 2165",3,1,1,593000,2022-06-04,-33.8741474011327,150.951368487883,540.845830843162
9,"2/25-27 Station Street Fairfield 2165",3,1,1,595000,2022-05-30,-33.8682854752374,150.951580717671,665.560826918813
10,"2/85 SMART ST Fairfield 2165",3,1,1,540000,2022-03-30,-33.8666720846047,150.953873252009,691.935324742369
11,"2/66-70 Harris St Fairfield 2165",3,1,2,613000,2022-03-14,-33.8719550724476,150.951169417683,524.622649177632
12,"10/3-5 Lyndon Street Fairfield 2165",3,2,1,650000,2022-03-08,-33.8774693169992,150.953710140173,634.819398989506
13,"1/71-73 Hamilton Road Fairfield 2165",3,1,1,670000,2022-01-13,-33.873378654883,150.949175362917,715.325997302249
14,"4/26 York Street Fairfield 2165",2,1,2,535000,2021-12-13,-33.8754599652604,150.951049807924,633.827274769965
15,"2/22 Hardy St Fairfield 2165",3,1,1,535000,2021-12-01,-33.8681678771359,150.950358133274,759.831637293827
16,"9/32-33 Railway Parade Fairfield 2165",2,1,2,557000,2021-11-23,-33.8764954236692,150.952150854725,629.048538196875
17,"12/32 Railway Parade Fairfield 2165",2,1,1,585000,2021-11-18,-33.876369317936,150.951942648251,632.486547814449
18,"4/56 Harris Street Fairfield 2165",4,1,1,655000,2021-10-31,-33.8718650508075,150.952307680134,421.227168429697
19,"5/57-59 Station Street Fairfield 2165",3,1,1,650000,2021-10-25,-33.8671674550824,150.949491612124,892.432592429804
20,"6/32-33 Railway Parade Fairfield 2165",2,1,2,560000,2021-10-22,-33.8762634544988,150.952037782852,617.958526244682
21,"6/32-33 Railway Parade Fairfield 2165",2,1,2,560000,2021-10-22,-33.8762634544988,150.952037782852,617.958526244682
22,"5/81 Smart Street Fairfield 2165",2,1,1,520000,2021-10-05,-33.86691314814,150.954029323046,661.592959639921
23,"6/45-49 Harris Street Fairfield 2165",3,1,2,6e+05,2021-09-09,-33.8725871936756,150.952452435602,404.46867734261
24,"4/85 Smart Street Fairfield 2165",3,1,1,510000,2021-05-12,-33.8666720846047,150.953873252009,691.935324742369
25,"7/8 Lyndon Street Fairfield 2165",4,2,1,670000,2021-05-05,-33.8770467433506,150.953014106933,626.98053617489
26,"2/47-49 Nelson Street Fairfield 2165",3,1,1,592000,2021-04-29,-33.8695656852189,150.950443209592,667.912971321397
27,"2/26 York Street Fairfield 2165",2,2,2,595000,2021-01-29,-33.8755301636995,150.951162795979,629.375874222052
28,"7/28 Railway Parade Fairfield 2165",2,1,1,590000,2020-11-14,-33.8757906313407,150.952699198831,537.47255272494
29,"1/24 Railway Parade Fairfield 2165",3,1,1,540000,2020-10-14,-33.8754512061716,150.95299189489,491.706546574826
30,"1/22-24 HARDY STREET Fairfield 2165",3,1,1,495000,2020-10-05,-33.8681678771359,150.950358133274,759.831637293827
31,"6/47-49 Nelson Street Fairfield 2165",3,1,1,590000,2020-07-06,-33.8695656852189,150.950443209592,667.912971321397
32,"2/18 Hedges Street Fairfield 2165",3,1,1,490000,2020-07-04,-33.8618857245249,150.956079033649,1170.83317582378
33,"3/31 Olive St Fairfield 2165",3,2,2,615000,2020-06-12,-33.8788869901928,150.949462443101,993.204544714277
34,"6/59-61 Railway Parade Fairfield 2165",3,3,1,535000,2020-06-03,-33.8801818685048,150.949054747331,1126.30138303356
35,"6/31 Olive Street Fairfield 2165",3,2,1,653100,2020-05-18,-33.8788869901928,150.949462443101,993.204544714277
36,"11/36-38 Wrentmore Street Fairfield 2165",3,2,1,538500,2019-12-10,-33.8700204034662,150.950274230424,659.962473501191
37,"14/14-16 York St Fairfield 2165",2,1,2,465000,2019-11-23,-33.8748805662034,150.951725054044,546.859545334311
38,"8/3-5 Lyndon Street Fairfield 2165",3,2,1,583000,2019-11-15,-33.8774693169992,150.953710140173,634.819398989506
39,"5/71-73 Smart Street Fairfield 2165",2,1,1,408000,2019-11-05,-33.8674206723773,150.954298549776,599.864666310575
40,"6/5 Fairlight Avenue Fairfield 2165",3,1,1,520000,2019-11-01,-33.8761309366096,150.95379177991,502.269989385819
41,"3/81 Smart street Fairfield 2165",2,1,1,370000,2019-10-15,-33.86691314814,150.954029323046,661.592959639921
42,"4/10-12 Fairlight Avenue Fairfield 2165",3,1,1,555000,2019-08-16,-33.8753592566938,150.954740359892,382.886075824003
43,"3/1 Lackey Street Fairfield 2165",3,1,1,545000,2019-08-06,-33.8741474011327,150.951368487883,540.845830843162
44,"6/56-58 Harris Street Fairfield 2165",4,1,1,460000,2019-05-13,-33.8718650508075,150.952307680134,421.227168429697
45,"7/28 Railway Parade Fairfield 2165",2,1,1,410000,2019-03-11,-33.8757906313407,150.952699198831,537.47255272494
46,"4/16 Hardy Street Fairfield 2165",3,1,2,476000,2019-01-25,-33.8683911710365,150.95077747989,714.010423571039
47,"3/32-34 HARDY STREET Fairfield 2165",3,1,1,565000,2018-12-07,-33.8677977742012,150.949666039529,835.616908583355
48,"3/71-73 Smart Street Fairfield 2165",3,1,1,455000,2018-10-15,-33.8673592749365,150.954409945269,602.281081240848
49,"2/26 York Street Fairfield 2165",2,2,2,491000,2018-07-02,-33.8755301636995,150.951162795979,629.375874222052
50,"2/3-5 Lyndon Street Fairfield 2165",3,2,1,610000,2018-05-21,-33.8774693169992,150.953710140173,634.819398989506
51,"4/85 Smart Street Fairfield 2165",3,1,1,430000,2018-04-03,-33.8666720846047,150.953873252009,691.935324742369
52,"6/71-73 Hamilton Road Fairfield 2165",2,2,1,535000,2018-01-12,-33.8736177905805,150.948944609123,740.868275692776
53,"11/32-33 Railway Parade Fairfield 2165",2,2,1,544000,2017-11-22,-33.8764121494612,150.952010457847,631.409349022975
54,"3/57 Nelson Street Fairfield 2165",3,1,1,595000,2017-10-13,-33.8695619133625,150.949699818599,729.458794659967
55,"6/71-73 Smart Street Fairfield 2165",2,1,1,480000,2017-07-13,-33.8674520626047,150.954240044092,598.781228972854
56,"2/59-61 Railway Parade Fairfield 2165",3,1,1,585000,2017-05-05,-33.8801818685048,150.949054747331,1126.30138303356
57,"7/32-34 Hardy Street Fairfield 2165",3,1,1,530000,2017-03-13,-33.8677977742012,150.949666039529,835.616908583355
58,"12/30-32 Wrentmore Street Fairfield 2165",2,1,1,5e+05,2017-03-09,-33.8700213254755,150.950769936177,618.175441911102
59,"3/8-10 Lyndon Street Fairfield 2165",3,1,1,635000,2017-02-17,-33.8770467433506,150.953014106933,626.98053617489
60,"4/10 Harold Street Fairfield 2165",3,1,2,565000,2016-10-22,-33.8739509712318,150.949772657338,674.427944790857
61,"7/41-43 Station Street Fairfield 2165",3,1,1,565000,2016-09-12,-33.8677672640736,150.950609171274,770.729167056874
62,"2/26 York Street Fairfield 2165",2,1,2,490000,2016-07-22,-33.8755301636995,150.951162795979,629.375874222052
63,"9/59-61 railway parade Fairfield 2165",2,1,1,485000,2016-01-27,-33.8801818685048,150.949054747331,1126.30138303356
64,"6/28-30 Hardy Street Fairfield 2165",3,2,1,560000,2015-09-09,-33.8679458824303,150.949943396705,805.25337448398
65,"5/66-70 Harris Street Fairfield 2165",2,1,2,470000,2015-08-07,-33.871776621729,150.951230102662,521.246819999438
66,"8/5 Fairlight Avenue Fairfield 2165",3,1,1,465000,2015-05-25,-33.8761309366096,150.95379177991,502.269989385819
67,"4/8-10 Lyndon Street Fairfield 2165",2,1,2,489000,2015-05-16,-33.8770467433506,150.953014106933,626.98053617489
68,"2/20 Hampton Street Fairfield 2165",2,1,1,530000,2015-02-25,-33.8765132352135,150.947437375294,981.550260577471
69,"32 Stanbrook Street Fairfield 2165",4,2,2,542000,2014-12-30,-33.863462989155,150.941348760827,1741.25646089577
70,"2/8-10 Lyndon Street Fairfield 2165",4,3,1,590000,2014-12-18,-33.8770467433506,150.953014106933,626.98053617489
71,"16/66 Harris Street Fairfield 2165",3,1,2,436000,2014-09-13,-33.8719812658951,150.951522714902,491.838654059334
72,"16/66 Harris Street Fairfield 2165",3,1,2,436000,2014-09-13,-33.8719812658951,150.951522714902,491.838654059334
73,"5/59 Station Street Fairfield 2165",3,1,1,468000,2014-09-01,-33.8671674550824,150.949491612124,892.432592429804
74,"6/30 Wrentmore Street Fairfield 2165",2,1,1,371000,2014-08-25,-33.8700213254755,150.950769936177,618.175441911102
