"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"20/26-30 St Johns Road Cabramatta 2166",2,1,1,485000,2023-02-27,-33.890009649978,150.930747916424,923.641794341782
2,"21/90 Longfield Street Cabramatta 2166",3,1,1,635000,2023-02-22,-33.8941728993758,150.946080009894,650.968035332512
3,"17/32 St Johns Rd Cabramatta 2166",3,2,1,650000,2022-12-14,-33.8897559297689,150.930270231762,976.035742919479
4,"7/77 Hughes Street Cabramatta 2166",2,1,1,575000,2022-12-07,-33.8921630028133,150.930591761568,828.682114335185
5,"3/18 Levuka St Cabramatta 2166",3,2,1,720000,2022-10-22,-33.8971328427536,150.943553201362,500.739134649671
6,"2/258 Cabramatta Road West Cabramatta 2166",3,1,1,805000,2022-10-18,-33.896120141212,150.932891588161,593.482515623587
7,"6/9 Myall Street Cabramatta 2166",2,1,1,6e+05,2022-09-16,-33.8970195613322,150.93328553761,596.215268880787
8,"8/70 Mcburney Road Cabramatta 2166",2,1,1,430000,2022-08-18,-33.8916157064455,150.930688740188,842.532135336393
9,"8/14-16 Hill Street Cabramatta 2166",3,2,1,671000,2022-06-29,-33.8908039610324,150.935167610149,556.631102638728
10,"6/90-94 Longfield Street Cabramatta 2166",3,1,1,660000,2022-06-27,-33.8944096462309,150.946324510009,672.048205898617
11,"5/102 Longfield St Cabramatta 2166",3,1,1,590000,2022-06-01,-33.8940445305286,150.945095220089,561.74328187022
12,"4/61-63 Hughes Street Cabramatta 2166",3,1,1,678000,2022-04-05,-33.8924905675894,150.931809149185,710.464872682518
13,"7/34 Longfield Street Cabramatta 2166",3,1,1,745000,2022-03-14,-33.8958670915551,150.951394387964,1148.46878741618
14,"12/26-30 St Johns Road Cabramatta 2166",2,2,1,585000,2022-02-25,-33.8897634734818,150.93057776379,952.051770987616
15,"15/96-100 Longfield Street Cabramatta 2166",2,1,1,5e+05,2022-02-04,-33.8940127212061,150.945759318278,623.119167767417
16,"3/12-18 St. Johns Road Cabramatta 2166",2,1,1,560000,2022-01-20,-33.8898495556274,150.93235933731,815.647812194695
17,"14/26-30 St Johns Road Cabramatta 2166",2,1,1,517000,2022-01-20,-33.8898435206571,150.930563514554,948.1062375617
18,"3/12-18 St. Johns Road Cabramatta 2166",2,1,1,560000,2022-01-20,-33.8898495556274,150.93235933731,815.647812194695
19,"14/14-16 Hill St Cabramatta 2166",3,2,1,690000,2022-01-17,-33.8906492730093,150.935061746712,576.109085938021
20,"13/12-18 St John Road Cabramatta 2166",2,1,1,535000,2022-01-13,-33.8902228855948,150.932300999263,793.435908697299
21,"1/25 Longfield Street Cabramatta 2166",3,1,1,595000,2021-11-24,-33.8953094435368,150.952381859977,1233.70490166525
22,"22/12-18 St Johns Road Cabramatta 2166",2,1,1,530000,2021-11-10,-33.8900552056218,150.932092541331,820.118198225711
23,"8/66-68 Cumberland Street Cabramatta 2166",3,2,1,590000,2021-11-09,-33.8970630634097,150.941764503225,369.344501535438
24,"4/57 Hill Street Cabramatta 2166",2,1,1,610000,2021-11-04,-33.8941469573854,150.933243376637,539.709602195107
25,"25/90 Longfield Street Cabramatta 2166",3,2,1,590000,2021-10-18,-33.8943733944997,150.945995017395,641.784376125905
26,"8/70 Mcburney Road Cabramatta 2166",2,1,1,430000,2021-10-09,-33.8916157064455,150.930688740188,842.532135336393
