"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"6/63 Canterbury Road Glenfield 2167",2,1,1,487500,2023-02-17,-33.9737257100519,150.898955441499,565.931497762473
2,"3/53 Trafalgar Street Glenfield 2167",2,1,1,545000,2022-12-19,-33.9733802918221,150.89902199381,561.854799349608
3,"56 Mellish Parade Glenfield 2167",3,2,1,720000,2022-11-23,-33.9645542735069,150.89247053065,856.93199640312
4,"37 Sovereign Circuit Glenfield 2167",3,2,1,805000,2022-10-10,-33.9609778411505,150.8839548523,1510.74692123079
5,"5/63 Canterbury Road Glenfield 2167",2,1,1,525000,2022-09-26,-33.9737257100519,150.898955441499,565.931497762473
6,"15/6 Jacquinot Place Glenfield 2167",2,1,1,505000,2022-09-06,-33.9762167278566,150.898319255048,655.063382703717
7,"87B Mary Ann Drive Glenfield 2167",3,2,1,727000,2022-08-08,-33.9624950494443,150.89306874708,1084.22671988351
8,"13/225 Harrow Road Glenfield 2167",2,1,1,535000,2022-07-27,-33.9791897470035,150.892514200365,776.073533140377
9,"23/6 Jacquinot Place Glenfield 2167",2,1,1,565000,2022-06-22,-33.975828184735,150.89833291755,627.577436959867
10,"28 Mellish Parade Glenfield 2167",3,2,1,695000,2022-06-08,-33.9645542735069,150.89247053065,856.93199640312
11,"16/4 Jacquinot Place Glenfield 2167",2,1,1,555000,2022-05-25,-33.9772992506518,150.897808210411,712.163534648281
12,"2/2 Baldwin Avenue Glenfield 2167",4,2,1,725000,2022-04-20,-33.9736641030636,150.89614968323,323.814226419203
13,"3/88 Belmont Road Glenfield 2167",3,2,2,840000,2022-04-08,-33.9752819780145,150.904658320781,1120.11099507266
14,"13/201-207 Harrow Road Glenfield 2167",2,1,1,561000,2022-04-06,-33.9798848163243,150.893485830581,852.361025765159
15,"28/73 Sovereign Circuit Glenfield 2167",3,2,4,750000,2022-03-31,-33.9606100432391,150.886103804636,1446.09044696158
16,"3/201-207 Harrow Road Glenfield 2167",2,1,1,535000,2022-03-24,-33.9799270611163,150.893845917142,859.102091542055
17,"27/5 Jacquinot Place Glenfield 2167",3,1,1,682000,2022-02-28,-33.9779099142076,150.898447330528,802.042563897179
18,"40/65 Fawcett Street Glenfield 2167",2,1,2,6e+05,2022-02-11,-33.9782852558318,150.892411773509,676.477773247102
19,"18/6 Jacquinot Place Glenfield 2167",2,1,1,581000,2022-01-28,-33.976624088351,150.898668361315,709.571277968854
20,"10/18 Belmont Road Glenfield 2167",2,1,1,525000,2022-01-13,-33.9740117844073,150.894316477186,227.709929121971
21,"2/201-207 Harrow Road Glenfield 2167",2,1,1,510000,2021-12-24,-33.9799867821764,150.893813730634,865.495738111998
22,"30/65 Fawcett Street Glenfield 2167",2,1,1,566000,2021-12-23,-33.978705524457,150.892573879516,721.920556458006
23,"4/5-9A Glenfield Road Glenfield 2167",3,2,2,679000,2021-12-02,-33.9643057919873,150.900583207095,1121.18330709774
24,"14/5-9A Glenfield Road Glenfield 2167",3,2,2,638000,2021-10-26,-33.9643057919873,150.900583207095,1121.18330709774
25,"9/18 Belmont Road Glenfield 2167",2,1,1,520000,2021-10-26,-33.9740350022791,150.894370624281,232.451351339255
26,"4/2 Baldwin Avenue Glenfield 2167",3,2,1,725000,2021-10-15,-33.9736641030636,150.89614968323,323.814226419203
27,"25/196-200 Harrow Road Glenfield 2167",2,1,1,474000,2021-10-01,-33.9817626140927,150.896337102585,1102.05673728078
28,"20/73 Sovereign Circuit Glenfield 2167",3,2,1,685000,2021-09-22,-33.9606100432391,150.886103804636,1446.09044696158
29,"20/5A-9 Glenfield Road Glenfield 2167",3,2,2,650000,2021-09-15,-33.9605216560701,150.888933702786,1359.3156316573
30,"18/73 Sovereign Circuit Glenfield 2167",3,2,1,692000,2021-09-10,-33.9606100432391,150.886103804636,1446.09044696158
31,"3/5-9A Glenfield Road Glenfield 2167",3,2,2,638000,2021-08-31,-33.9643057919873,150.900583207095,1121.18330709774
32,"17/73 Sovereign Circuit Glenfield 2167",3,2,2,660000,2021-08-28,-33.9606100432391,150.886103804636,1446.09044696158
33,"2/5A-9 Glenfield Road Glenfield 2167",3,2,2,638000,2021-08-11,-33.9605216560701,150.888933702786,1359.3156316573
34,"21/5A-9 Glenfield Road Glenfield 2167",3,2,2,650000,2021-07-07,-33.9605216560701,150.888933702786,1359.3156316573
35,"2 Northampton Drive Glenfield 2167",3,2,1,695000,2021-07-01,-33.9619845077218,150.889011905943,1201.70492620903
36,"5/225 Harrow Road Glenfield 2167",2,1,1,550000,2021-06-29,-33.9796846564765,150.892330720505,832.307650162327
37,"19/225 Harrow Road Glenfield 2167",2,1,1,560000,2021-06-21,-33.9797657513897,150.892586703828,839.652263241319
38,"10/73 Sovereign Circuit Glenfield 2167",3,2,NA,611000,2021-06-16,-33.9606100432391,150.886103804636,1446.09044696158
