"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"10/7-9 Atkinson Street Liverpool 2170",2,1,1,535000,2023-04-12,-33.9312883438223,150.923937368637,833.676972151927
2,"10/150 Moore Street Liverpool 2170",2,1,1,5e+05,2023-03-26,-33.9219956630478,150.915704914795,1093.4557818501
3,"17/7 Boundary Road Liverpool 2170",2,1,1,526500,2023-03-18,-33.935727567382,150.913532409311,1792.10812312182
4,"6/209-213 Memorial Avenue Liverpool 2170",3,2,2,725000,2023-02-27,-33.9227214520437,150.903991540384,2151.94373914264
5,"4/3-5 Smith Crescent Liverpool 2170",4,2,2,775000,2023-02-21,-33.9248621062957,150.908809542148,1700.72711411671
6,"4/25 Grimson Crescent Liverpool 2170",2,2,2,695000,2022-12-15,-33.9147557522705,150.916683418172,1440.96822534125
7,"9/209-213 Memorial Avenue Liverpool 2170",3,2,1,710000,2022-12-14,-33.9227214520437,150.903991540384,2151.94373914264
8,"15/7 Boundary Road Liverpool 2170",2,1,1,475000,2022-11-23,-33.9356099692805,150.913612791762,1777.59422533164
9,"2/25 Flowerdale Road Liverpool 2170",3,2,1,7e+05,2022-11-22,-33.9178305277218,150.909552430226,1783.37313379331
10,"3/58-60 Hoxton Park Road Liverpool 2170",3,1,1,651000,2022-11-05,-33.9283709805125,150.911776987329,1495.48532882498
11,"1/25 Grimson Crescent Liverpool 2170",3,2,2,850000,2022-10-31,-33.9147557522705,150.916683418172,1440.96822534125
12,"1/3-5 Atkinson Street Liverpool 2170",2,1,2,535000,2022-09-28,-33.9313942072594,150.92414138416,838.112457599321
13,"3/102 Flowerdale Road Liverpool 2170",3,2,2,742500,2022-09-24,-33.9237455529737,150.907654934985,1807.36209982525
14,"3/37 Mayberry Cr Liverpool 2170",3,2,1,642000,2022-09-15,-33.9202509699018,150.912964200095,1391.2554089523
15,"4/46 Reilly Street Liverpool 2170",2,1,2,7e+05,2022-09-10,-33.9340861392832,150.910150227561,1915.05163985193
16,"5/2 Calabro Ave Liverpool 2170",2,1,1,505000,2022-09-07,-33.9281868300998,150.906996536491,1916.30149318094
