"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"7/13 Liberty Street Belmore 2192",2,1,1,8e+05,2023-02-08,-33.9243511035686,151.09280866156,881.03407653696
2,"9/13 Liberty Street Belmore 2192",3,2,2,862000,2022-11-25,-33.9244739403596,151.092890552754,896.629539831304
3,"1/48 Platts Avenue Belmore 2192",2,2,1,782000,2022-08-25,-33.9256854606446,151.096086320978,1163.81224899003
4,"8/6-12 Anderson st Belmore 2192",2,2,1,790000,2022-05-01,-33.9193425811452,151.092367270539,411.982773693499
5,"4/29-31 Garden Street Belmore 2192",2,1,1,675000,2022-04-01,-33.9270774852145,151.091360268691,1126.54882357314
6,"2/45 Cecilia Street Belmore 2192",3,2,1,860000,2021-12-23,-33.9114878577699,151.089484901675,639.044863369324
7,"7/101 Bridge Road Belmore 2192",3,2,2,840000,2020-09-23,-33.9185042231896,151.083937674334,466.558812722923
8,"4/62-64 Chapel Street Belmore 2192",3,2,2,771000,2020-09-12,-33.9291245555175,151.089427485638,1329.56326792523
9,"2/33 Anderson Street Belmore 2192",2,1,1,740000,2020-03-26,-33.922066196763,151.092924750919,666.216423918216
10,"8/6-12 Anderson St Belmore Belmore 2192",2,2,1,710000,2020-03-12,-33.9193425811452,151.092367270539,411.982773693499
11,"1/14 Hugh St Belmore 2192",2,1,1,670000,2019-05-20,-33.9090270567262,151.080101780165,1209.47645475785
12,"1 /19A HARP STREET Belmore 2192",4,2,2,670000,2018-10-09,-33.9264824119985,151.093966872941,1141.26379701288
13,"3/19a Harp Street Belmore 2192",3,1,1,735000,2017-09-30,-33.9263840922743,151.094079274262,1135.83181727525
14,"17/13 Liberty Street Belmore 2192",2,1,1,745000,2017-03-01,-33.9250720310607,151.093240748669,970.647442257366
15,"4/101 Bridge Road Belmore 2192",3,3,1,795000,2017-01-20,-33.9183477749668,151.084340089506,425.833315672481
16,"2/7 Reginald Avenue Belmore 2192",2,1,1,635000,2016-11-10,-33.9207658283043,151.091887909496,492.78986576086
17,"5/13 liberty st Belmore 2192",2,1,1,745000,2016-03-12,-33.9242692123746,151.092763399283,871.005621229724
18,"1/14 Hugh st Belmore 2192",2,1,1,715000,2015-10-08,-33.9090270567262,151.080101780165,1209.47645475785
19,"6/101-105 Bridge Road Belmore 2192",3,2,2,925000,2015-08-29,-33.9184486511715,151.084076646289,452.434798630983
20,"3/14 Hugh St Belmore 2192",2,1,1,7e+05,2015-08-01,-33.9090270567262,151.080101780165,1209.47645475785
21,"3/10 Pelman Ave Belmore 2192",3,1,2,790000,2015-06-06,-33.911913071718,151.088515199296,588.299975595307
22,"13/101-105 Bridge Road Belmore 2192",3,2,2,780000,2015-03-19,-33.9183745132379,151.083611366844,491.226951862744
23,"1-5/45 CECELIA STREET Belmore 2192",4,2,2,760000,2015-02-06,-33.9114878577699,151.089484901675,639.044863369324
24,"12/101-105 Bridge Road Belmore 2192",4,1,2,795500,2014-12-12,-33.9184198174246,151.083502234464,502.294216144931
25,"1/48 Lucerne Street Belmore 2192",3,2,2,655000,2014-12-05,-33.9112698444683,151.079898686651,1049.48970299576
26,"1/33 Anderson Street Belmore 2192",2,1,1,7e+05,2014-09-13,-33.922066196763,151.092924750919,666.216423918216
27,"1/42 Lucerne Street Belmore 2192",3,2,2,680000,2014-08-08,-33.9110847301367,151.080342927519,1031.36637777363
28,"3/62 Chapel Street Belmore 2192",3,2,2,7e+05,2014-07-26,-33.9291245555175,151.089427485638,1329.56326792523
29,"19/13 Liberty Street Belmore 2192",2,2,1,565000,2014-07-18,-33.9251501084888,151.093286430041,980.30872240087
30,"2/56 Benaroon Road Belmore 2192",4,2,2,740000,2014-03-22,-33.9132187207757,151.079283622596,978.927639331377
31,"1/56 Benaroon Road Belmore 2192",3,2,2,710000,2014-02-15,-33.915721976159,151.081499713977,688.234690915669
