"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"15/4-8 Third Avenue Campsie 2194",2,1,1,750000,2023-03-31,-33.9087129449047,151.097700340253,572.03886969712
2,"2/8 Thorncraft Parade Campsie 2194",3,3,2,1105000,2023-02-10,-33.9168871445194,151.098091607493,880.813105967084
3,"5/31-35 Loftus Street Campsie 2194",4,2,2,1290000,2022-12-30,-33.9147122082835,151.096731643703,791.965461453556
4,"2/19 Fletcher Street Campsie 2194",2,2,2,850000,2022-10-15,-33.9181955176956,151.101135076536,896.080954457418
5,"1/3 Loch Street Campsie 2194",4,3,2,1350000,2022-10-14,-33.9106870926501,151.095784153368,718.099483861772
6,"3/49-53 Frederick Street Campsie 2194",2,1,1,8e+05,2022-08-19,-33.9077719505447,151.109016160997,583.631842120251
7,"4/85 Second Avenue Campsie 2194",3,3,2,915000,2022-07-13,-33.9028442296678,151.094747311945,1169.87934626233
8,"3/5 Oswald St Campsie 2194",4,2,2,1080000,2022-07-12,-33.9105292614133,151.109332158747,534.446733008339
9,"2/49-53 Frederick Street Campsie 2194",2,1,1,829000,2022-06-17,-33.907750450963,151.109066033321,588.818552404633
10,"9/3-9 Second Avenue Campsie 2194",4,2,2,1210000,2022-03-26,-33.90860687192,151.097079995599,630.098207884234
11,"15/5-11 Harcourt Avenue Campsie 2194",2,1,1,811000,2022-03-26,-33.9105254895568,151.097145625901,591.77176520709
12,"3/8 Marlowe Street Campsie 2194",3,2,2,1180000,2022-03-12,-33.9152663778119,151.103371033027,542.061988164392
13,"18/5-9 Hill street Campsie 2194",3,3,2,980000,2022-02-26,-33.9133033360882,151.10631408687,412.012697906997
14,"3/4-8 Third Avenue Campsie 2194",2,1,1,740000,2022-02-22,-33.9085089712909,151.09755516569,592.405275139326
15,"8/68 Second Avenue Campsie 2194",3,2,1,870000,2021-11-20,-33.9037300711049,151.094246660869,1135.70950580062
16,"4/16 Nicholas Avenue Campsie 2194",3,1,1,928000,2021-11-20,-33.9193194051829,151.105031404227,1002.38759223803
17,"4/11 Seventh Avenue Campsie 2194",2,1,1,815000,2021-11-06,-33.9039801870957,151.101878467529,731.044922458084
