"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"9/155 Cooper Road Yagoona 2199",3,2,2,639000,2023-03-25,-33.8983895834062,151.026368248754,971.127129870222
2,"5/41 Powell Street Yagoona 2199",3,1,2,7e+05,2023-03-08,-33.9029619534979,151.035066568775,1074.69053077277
3,"4/2A Lloyd Avenue Yagoona 2199",3,2,2,810000,2023-01-06,-33.9018538658981,151.036391999124,1238.84932273177
4,"10/118 Rookwood Road Yagoona 2199",3,1,2,681000,2022-09-10,-33.8979753916608,151.03686322972,1520.16566339312
5,"11/118 Rookwood Road Yagoona 2199",3,1,2,630000,2022-09-03,-33.8979753916608,151.03686322972,1520.16566339312
6,"8/203-209 William Street Yagoona 2199",3,1,1,694000,2022-07-18,-33.9107014257045,151.020624465784,547.3416788911
7,"3/41-45 Powell St Yagoona 2199",3,1,1,770000,2022-07-15,-33.9029619534979,151.035066568775,1074.69053077277
8,"10/26 Brunker Road Yagoona 2199",3,1,2,645000,2022-06-02,-33.8980707358094,151.036286638601,1473.34492327203
9,"2/35 Powell Street Yagoona 2199",4,2,2,940000,2022-05-07,-33.902538374021,151.035049804968,1093.73796256125
10,"17/155-171 Cooper Road Yagoona 2199",2,1,2,688886,2022-04-12,-33.8983895834062,151.026368248754,971.127129870222
11,"9/57 Powell Street Yagoona 2199",3,1,2,725000,2022-03-05,-33.9040392795131,151.035331604553,1053.91024674461
12,"2/90 Dutton Street Yagoona 2199",4,2,2,865000,2022-01-21,-33.9105642139495,151.022148966334,454.407208706966
13,"9/203 William Street Yagoona 2199",3,1,1,663000,2021-12-23,-33.9106375136928,151.020634021154,541.384929665918
14,"1/11 Rookwood Road Yagoona 2199",2,1,1,565000,2021-12-20,-33.9049691259418,151.03679919198,1159.29307837328
15,"6/8 Ritchie Road Yagoona 2199",3,1,2,713000,2021-12-18,-33.9038942306786,151.023771954246,348.936884517745
16,"10/48 Powell Street Yagoona 2199",3,1,2,645000,2021-12-18,-33.9032530150857,151.033399911147,921.805418593885
17,"1/277 Cooper Road Yagoona 2199",3,1,2,875000,2021-12-17,-33.905739045658,151.02538262076,160.355997524193
18,"4/88 Rookwood Road Yagoona 2199",3,1,2,666500,2021-12-15,-33.9003088715953,151.036383030487,1326.09131169192
19,"14/83 Little Road Yagoona 2199",4,1,2,780000,2021-12-09,-33.910610482055,151.026168088907,433.802059906091
20,"Unit 2/1 Quarry Cl Yagoona 2199",2,2,2,686500,2021-11-26,-33.8986997976427,151.027052212053,950.931078528554
21,"9/149 Auburn Road Yagoona 2199",2,1,1,627000,2021-11-06,-33.8974068471684,151.022254997409,1084.58439415358
22,"3/57-59 Powell Street Yagoona 2199",3,1,2,7e+05,2021-10-07,-33.9040392795131,151.035331604553,1053.91024674461
23,"1/112 Dutton Street Yagoona 2199",3,2,2,870000,2021-10-01,-33.9090989315459,151.022449289925,302.390799313093
24,"5/13-15 Brodie Street Yagoona 2199",2,1,1,657000,2021-09-11,-33.9008396137044,151.015252755496,1092.5940765487
25,"2/125 Brunker Road Yagoona 2199",3,2,2,718000,2021-07-07,-33.8977732201562,151.023528208501,1027.85108429098
26,"10/88 Rookwood Road Yagoona 2199",3,1,1,650000,2021-06-30,-33.9002844802571,151.035759416891,1280.3144172513
27,"6/41 Powell Street Yagoona 2199",3,1,2,690000,2021-06-21,-33.9029619534979,151.035066568775,1074.69053077277
28,"4/125 Brunker Road Yagoona 2199",3,2,2,720000,2021-05-08,-33.8977732201562,151.023528208501,1027.85108429098
29,"21/149 Auburn Road Yagoona 2199",3,2,1,675000,2021-04-09,-33.8970507001025,151.021990296907,1128.27603190413
30,"2/1 Farah Place Yagoona 2199",3,2,2,790000,2021-03-29,-33.9041054127291,151.014497043106,976.481667153934
31,"3/1 Farah Place Yagoona 2199",5,2,2,810000,2021-03-06,-33.9041054127291,151.014497043106,976.481667153934
32,"1/121 Brunker Rd Yagoona 2199",3,3,2,735000,2021-02-11,-33.897828037803,151.023957361944,1019.1044109967
33,"12/88 Rookwood Road Yagoona 2199",3,1,1,585000,2021-02-04,-33.9001161297318,151.035788166819,1293.44631050168
34,"2/41 Powell Street Yagoona 2199",5,2,2,736000,2021-02-01,-33.9029619534979,151.035066568775,1074.69053077277
35,"2/65 Woodbine Street Yagoona 2199",5,2,1,930000,2020-12-08,-33.9065911918444,151.030421066578,550.002412993775
36,"3/34 Saltash Street Yagoona 2199",3,2,2,692000,2020-12-01,-33.9098440827382,151.008823332847,1481.89904681337
37,"13/155 Cooper Road Yagoona 2199",3,1,2,646000,2020-11-14,-33.8983895834062,151.026368248754,971.127129870222
38,"3/65 Woodbine Street Yagoona 2199",4,3,2,859000,2020-11-13,-33.9065911918444,151.030421066578,550.002412993775
39,"5/231-233 Cooper Road Yagoona 2199",3,2,2,660000,2020-10-29,-33.9027398330638,151.025432744541,479.211907405692
40,"4/2A Houston Road Yagoona 2199",3,2,2,645000,2020-10-24,-33.8992289471902,151.027751933331,913.285170304682
41,"1/656 Hume Highway Yagoona 2199",4,2,2,680000,2020-08-06,-33.9058703062618,151.016404931907,756.590173415769
42,"21/155 Cooper Road Yagoona 2199",2,1,2,565000,2020-08-06,-33.8983895834062,151.026368248754,971.127129870222
43,"22/1 Quarry Close Yagoona 2199",3,2,2,633500,2020-05-04,-33.8986863865977,151.027396121541,960.781433451848
44,"11/52-54 Powell Street Yagoona 2199",3,1,3,616000,2020-05-01,-33.9034456731302,151.0338766738,952.323967620281
45,"21B Terpentine Pl Yagoona 2199",3,2,1,7e+05,2020-03-06,-33.8997364714275,151.027082135448,840.452503044709
46,"7/57-59 Powell Street Yagoona 2199",3,2,2,535000,2019-12-11,-33.9040392795131,151.035331604553,1053.91024674461
47,"2/279 Marion Street Yagoona 2199",3,3,2,645000,2019-11-20,-33.915748295335,151.009424231485,1700.15348533455
48,"17/83 Little Road Yagoona 2199",3,1,2,640000,2019-10-18,-33.9102416783153,151.025984609046,389.40090966469
49,"3/1A Boardman Street Yagoona 2199",2,1,1,510000,2019-08-09,-33.8972613373293,151.037286012916,1602.28708380609
50,"3/54-56 Rookwood Road Yagoona 2199",3,2,1,634000,2019-08-05,-33.9029547450612,151.03626509711,1176.62233854363
51,"8/160 Cooper Road Yagoona 2199",2,2,1,400500,2019-05-22,-33.9035179251356,151.024103626154,386.156101565695
52,"1/28 Rookwood Road Yagoona 2199",2,1,1,480000,2019-04-10,-33.904849390455,151.035993858723,1089.18677564185
53,"8/2A Houston Road Yagoona 2199",2,2,1,530000,2019-04-08,-33.8988251909142,151.027845223913,958.578395363686
54,"4/121 Brunker Road Yagoona 2199",3,1,3,618000,2019-03-22,-33.897828037803,151.023957361944,1019.1044109967
55,"1/57-59 Powell Street Yagoona 2199",3,2,2,705000,2019-03-14,-33.9040392795131,151.035331604553,1053.91024674461
56,"7/160 Cooper Road Yagoona 2199",2,1,1,428000,2018-12-18,-33.9034630236698,151.024111337505,392.179037858904
57,"4/13 Brodie Street Yagoona 2199",3,2,2,685000,2018-11-26,-33.9008396137044,151.015252755496,1092.5940765487
58,"2/46 Powell Street Yagoona 2199",3,1,2,605000,2018-06-18,-33.903024189129,151.033774666038,964.209501175888
59,"2/90 Dutton Street Yagoona 2199",4,2,2,804000,2018-04-05,-33.9105642139495,151.022148966334,454.407208706966
60,"9/57-59 POWELL STREET Yagoona 2199",3,1,2,607000,2018-03-29,-33.9040392795131,151.035331604553,1053.91024674461
61,"1/65 Woodbine Street Yagoona 2199",5,2,1,830000,2018-03-27,-33.9065911918444,151.030421066578,550.002412993775
62,"9/2a Houston Road Yagoona 2199",2,2,1,655000,2018-02-07,-33.8989546494088,151.027713544214,941.028822583428
63,"1/13-15 Brodie Street Yagoona 2199",4,2,2,8e+05,2017-10-25,-33.9008396137044,151.015252755496,1092.5940765487
64,"1/35 Powell Street Yagoona 2199",4,2,2,749999,2017-09-06,-33.902538374021,151.035049804968,1093.73796256125
65,"8/11 Rookwood Road Yagoona 2199",2,1,1,575000,2017-08-29,-33.9049691259418,151.03679919198,1159.29307837328
66,"10/48 Powell Street Yagoona 2199",3,1,1,655000,2017-06-05,-33.9032530150857,151.033399911147,921.805418593885
67,"1 Quarry Close Yagoona 2199",2,2,2,6e+05,2017-03-19,-33.8984893699635,151.027490334132,984.275563884455
68,"3/223 william Street Yagoona 2199",3,2,1,680000,2017-03-11,-33.9093890711243,151.020355155235,466.911600454002
69,"13/149 Auburn Road Yagoona 2199",2,1,1,519950,2017-03-08,-33.8977385190771,151.02218475706,1049.65417738617
70,"4/245 Cooper road Yagoona 2199",3,3,3,640000,2017-02-13,-33.9037437336071,151.025197632157,365.371776782232
71,"3/11 Rookwood road Yagoona 2199",2,1,1,515000,2017-01-16,-33.9049691259418,151.03679919198,1159.29307837328
72,"5/53 Powell Street Yagoona 2199",2,1,1,6e+05,2016-11-30,-33.9034276101289,151.03542103946,1084.64843911378
73,"2/12 Arnold Avenue Yagoona 2199",4,2,3,760000,2016-11-04,-33.9026244561666,151.028601355398,615.505113213662
74,"2/41 Powell Street Yagoona 2199",5,2,2,713000,2016-09-28,-33.9029619534979,151.035066568775,1074.69053077277
75,"15/26 Brunker Rd Yagoona 2199",3,1,2,495000,2016-09-07,-33.8984015695278,151.036226372717,1444.64464020634
76,"8/57-59 Powell Street Yagoona 2199",3,1,2,560000,2016-08-26,-33.9040392795131,151.035331604553,1053.91024674461
77,"1/245 Cooper Road Yagoona 2199",4,2,2,860000,2016-08-09,-33.9037437336071,151.025197632157,365.371776782232
78,"16/4 Wilkins Street Yagoona 2199",1,1,NA,190000,2016-08-01,-33.9071948984206,151.017284277369,665.792569612612
79,"3/13-15 Brodie Street Yagoona 2199",3,2,2,648168,2016-07-29,-33.9008396137044,151.015252755496,1092.5940765487
80,"19/155 Cooper Rd Yagoona 2199",2,1,2,499000,2016-07-15,-33.8983895834062,151.026368248754,971.127129870222
81,"8/128 Cooper Road Yagoona 2199",3,2,2,580000,2016-07-13,-33.8982407627153,151.025146921643,973.908329495992
82,"3/245 Cooper road Yagoona 2199",4,3,2,780000,2016-06-17,-33.9037437336071,151.025197632157,365.371776782232
83,"1/5 Suncroft Avenue Yagoona 2199",3,2,2,705000,2016-05-25,-33.912451608997,151.004931196107,1906.75451740673
84,"4/13-15 Brodie Street Yagoona 2199",3,2,2,640000,2016-04-27,-33.9008396137044,151.015252755496,1092.5940765487
85,"2/245 Cooper Road Yagoona 2199",4,3,2,870000,2016-04-08,-33.9037437336071,151.025197632157,365.371776782232
86,"18/155 Cooper Road Yagoona 2199",2,1,2,483000,2016-04-07,-33.8983895834062,151.026368248754,971.127129870222
87,"3/123 Brunker Road Yagoona 2199",4,3,2,8e+05,2016-03-18,-33.8978007127986,151.023742449947,1023.28327565617
88,"2/123 Brunker Road Yagoona 2199",4,2,1,830000,2016-03-16,-33.8978007127986,151.023742449947,1023.28327565617
89,"1/123 Brunker Road Yagoona 2199",4,2,1,830000,2016-03-14,-33.8978007127986,151.023742449947,1023.28327565617
