"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"5/52 Little Road Bankstown 2200",3,1,2,816000,2023-04-01,-33.9130461792988,151.023854264535,1134.09204719561
2,"8/53 Stacey Street Bankstown 2200",3,2,2,720000,2023-03-28,-33.9276050422004,151.038311454951,1132.83091675557
3,"1/53 Stacey Street Bankstown 2200",3,2,2,660000,2022-12-17,-33.928737898324,151.038149432763,1249.81096960863
4,"2/2-4 Myrtle Road Bankstown 2200",2,2,2,595000,2022-12-03,-33.9135082317113,151.041273535714,782.43200672834
5,"4/26 De Witt Street Bankstown 2200",2,1,1,587000,2022-11-28,-33.9271967596967,151.034018160326,1037.45976566702
6,"4/317-321 Stacey Street Bankstown 2200",3,2,2,655000,2022-11-25,-33.9135767537698,151.042739782037,888.169020302662
7,"2/48 Little Road Bankstown 2200",3,2,2,790000,2022-11-12,-33.9134062239497,151.023799530707,1120.1069727667
8,"3/58 Oxford Avenue Bankstown 2200",4,2,2,795000,2022-10-31,-33.9251099172631,151.025492675149,1166.87864873682
9,"1/3 Highland Avenue Bankstown 2200",5,3,2,925000,2022-10-26,-33.9166223182886,151.022494216926,1132.06010770029
10,"12/543 Chapel Road Bankstown 2200",3,2,2,701000,2022-07-25,-33.9077053144144,151.036399626656,1145.39926000265
11,"1/38 Dutton Street Bankstown 2200",3,2,2,870000,2022-06-24,-33.9145305305321,151.02133726283,1285.75076677782
12,"2/28 Cambridge Avenue Bankstown 2200",3,1,2,752000,2022-05-28,-33.9217066131168,151.027772888089,764.359056569823
13,"13/24-36 Eldridge Road Bankstown 2200",3,1,2,620000,2022-05-18,-33.9328158199474,151.024977355741,1886.45469235648
14,"9/168 Mimosa Road Bankstown 2200",3,1,2,685000,2022-04-30,-33.9095406578433,151.041792878435,1139.88824282756
15,"5/369 Stacey Street Bankstown 2200",2,2,2,520000,2022-04-29,-33.909839682239,151.042359662728,1144.71581298954
16,"8/323 Stacey Street Bankstown 2200",2,1,1,614000,2022-03-22,-33.9133234526558,151.04277238764,906.223373910161
17,"2/94 The Avenue Bankstown 2200",3,2,2,9e+05,2022-03-19,-33.9127285889875,151.012769197585,2101.74868515678
18,"18/24-36 Eldridge Road Bankstown 2200",3,1,2,680000,2022-02-24,-33.9330899920003,151.024893033795,1917.03722436686
19,"3/34 Prairie Vale Road Bankstown 2200",2,1,1,650000,2022-02-19,-33.9160154265892,151.044723862337,953.492913010031
20,"10/10-12 Claribel Street Bankstown 2200",3,2,3,830000,2021-12-06,-33.9348441986064,151.023271806083,2160.16834744396
21,"4/76 Marshall Street Bankstown 2200",4,2,2,905000,2021-11-26,-33.9307073941132,151.033425475952,1431.10204761952
22,"19/168 Mimosa Road Bankstown 2200",3,2,2,695000,2021-11-01,-33.909463376696,151.042823265792,1204.17955013791
23,"4/59 Chelmsford Avenue Bankstown 2200",2,1,1,595000,2021-10-06,-33.9219446591669,151.026207483851,901.20352557226
24,"3/28 Cambridge Avenue Bankstown 2200",2,1,2,745000,2021-09-22,-33.9217066131168,151.027772888089,764.359056569823
25,"14/24-36 Eldridge Road Bankstown 2200",3,2,2,671500,2021-09-14,-33.9328679553852,151.024959921383,1892.32901232841
26,"6/94 The Avenue Bankstown 2200",3,2,2,777500,2021-09-09,-33.9127285889875,151.012769197585,2101.74868515678
27,"1/17 Dellwood Street Bankstown 2200",4,2,2,745000,2021-08-05,-33.9261162066488,151.032692981433,933.24524644395
28,"9/323 Stacey Street Bankstown 2200",2,1,1,460000,2021-07-16,-33.9133548847928,151.042813291327,907.401038198434
29,"10/323 Stacey Street Bankstown 2200",2,1,1,555000,2021-06-29,-33.9133586985587,151.042880849467,912.357592869579
30,"1/31 Highland Avenue Bankstown 2200",3,3,2,751000,2021-06-26,-33.9143988508333,151.022964357875,1147.66964402228
31,"4/10-12 Marcella Street Bankstown 2200",3,2,2,730000,2021-06-12,-33.9269791235807,151.03822235532,1063.95024103825
32,"13/543 -545 Chapel Rd Bankstown 2200",3,2,2,738000,2021-03-05,-33.9077371656465,151.036393256409,1141.80605037761
33,"6/543-545 Chapel Road Bankstown 2200",3,2,2,710000,2021-02-20,-33.907715917522,151.036077845393,1140.41844377945
34,"3/34 Prairie Vale Road Bankstown 2200",2,1,1,577000,2021-02-01,-33.9160154265892,151.044723862337,953.492913010031
35,"5/32 De Witt Street Bankstown 2200",3,2,2,680000,2021-01-11,-33.9273947821592,151.034573042316,1057.87065469794
36,"1/24 Little Road Bankstown 2200",4,2,2,772500,2020-12-18,-33.9151922817878,151.023435839928,1078.92667457339
37,"10/2-4 Myrtle Road Bankstown 2200",2,1,1,640000,2020-12-10,-33.9138765744464,151.041289712787,758.742518976927
38,"3/171 William Street Bankstown 2200",3,2,2,675000,2020-11-28,-33.9135771309554,151.019802201083,1453.56490656263
39,"3/62 Marshall Street Bankstown 2200",3,2,2,710000,2020-11-24,-33.929632750307,151.033640471768,1310.31653909385
40,"6/73-75 Reynolds Avenue Bankstown 2200",3,2,1,565000,2020-11-10,-33.9093797253023,151.030825828682,1011.39363162361
41,"2/23 Pringle Avenue Bankstown 2200",3,2,2,723000,2020-10-21,-33.9196908073126,151.023679418035,1033.28587675941
42,"2/52 Chertsey Ave Bankstown 2200",4,3,2,812000,2020-10-20,-33.9238156675938,151.025767517754,1052.86542526102
43,"9/36-38 Chertsey Avenue Bankstown 2200",3,1,2,630000,2020-09-21,-33.9240493550543,151.02671056568,1004.03947052442
44,"2/41 Highland Avenue Bankstown 2200",4,2,2,825000,2020-07-29,-33.9138521411986,151.023064102523,1161.19500281025
45,"7/72-74 Meredith Street Bankstown 2200",2,1,2,624950,2020-07-23,-33.9125899103994,151.031676424216,651.136323741824
