"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"1/19-21 Hannam Street Turrella 2205",3,2,2,1020000,2016-08-11,-33.9314153715649,151.138513838471,239.584513240037
2,"84A Turrella Street Turrella 2205",4,3,2,9e+05,2014-10-25,-33.930180381951,151.144822561715,424.939637220107
3,"11/19 Hannam Street Turrella 2205",3,2,2,5e+05,2011-10-01,-33.9310013474575,151.137640611798,274.481929138225
4,"10/19 Hannam Street Turrella 2205",3,2,2,675000,2011-08-01,-33.931063205903,151.137607251824,280.540534418379
5,"6/19 Hannam Street Turrella 2205",3,2,2,685000,2011-06-25,-33.9312155050837,151.138134305895,249.758534986828
6,"5/19 Hannam Street Turrella 2205",3,3,2,685000,2010-11-01,-33.9312595100753,151.138221142412,246.726840768452
7,"7/19 Hannam Street Turrella 2205",3,2,2,685000,2010-09-01,-33.9311762358673,151.138061718614,252.36667721499
8,"4/19 Hannam Street Turrella 2205",3,3,2,6e+05,2010-09-01,-33.9312892658316,151.138277133525,245.046667872085
9,"3/19 Hannam Street Turrella 2205",3,3,2,6e+05,2010-07-01,-33.9313308819809,151.138353241206,243.083797409465
10,"2/19 Hannam Street Turrella 2205",3,2,2,695000,2010-05-01,-33.9313677623548,151.138435300038,240.637711287611
11,"8/19 Hannam Street Turrella 2205",3,2,2,675000,2010-03-01,-33.9311440912686,151.138003464387,254.581680523513
12,"9/19 Hannam Street Turrella 2205",3,2,2,650000,2009-12-01,-33.9310667682118,151.137852338673,261.347595254547
13,"12/19 Hannam Street Turrella 2205",3,3,2,599500,2009-11-01,-33.9309347113273,151.137673887954,268.257100462073
