"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"3/110-112 Slade Road Bardwell Park 2207",3,3,2,1045000,2021-12-20,-33.9331733081179,151.122497194969,284.24281579513
2,"1/110-112 Slade Road Bardwell Park 2207",4,1,2,1115000,2021-12-08,-33.9331733081179,151.122497194969,284.24281579513
3,"5/160-162 Slade Road Bardwell Park 2207",2,2,2,960000,2021-12-01,-33.9342328225888,151.119624297656,569.791778293838
4,"3/142-148 Slade Road Bardwell Park 2207",4,2,1,1075000,2021-10-14,-33.9341435134104,151.120693493225,482.166217749945
5,"2/150 Slade Road Bardwell Park 2207",3,1,1,1022000,2021-04-10,-33.934332525327,151.120537506007,506.319296138322
6,"1/160 Slade Road Bardwell Park 2207",3,2,2,1006000,2021-02-27,-33.9346813801372,151.120013385601,568.362744475124
7,"4/134-136 Slade Road Bardwell Park 2207",4,3,2,1280000,2020-10-17,-33.9338247915422,151.121139326655,427.987476231134
8,"4/110 Slade Road Bardwell Park 2207",3,2,2,850000,2018-12-11,-33.9331733081179,151.122497194969,284.24281579513
9,"4/142 Slade Road Bardwell Park 2207",3,2,1,923000,2017-07-01,-33.9341435134104,151.120693493225,482.166217749945
10,"8/142-148 Slade Road Bardwell Park 2207",2,1,1,860000,2017-06-17,-33.9341435134104,151.120693493225,482.166217749945
11,"2/160-162 Slade Road Bardwell Park 2207",3,2,2,955000,2016-09-24,-33.9345600101792,151.119915820248,567.515249278058
12,"6/142-148 Slade Road Bardwell Park 2207",3,2,1,760000,2015-04-25,-33.9341435134104,151.120693493225,482.166217749945
13,"5/142 Slade Road Bardwell Park 2207",5,2,1,735000,2015-01-22,-33.9341435134104,151.120693493225,482.166217749945
14,"1/160-162 Slade Road Bardwell Park 2207",3,2,1,7e+05,2014-12-31,-33.9346813801372,151.120013385601,568.362744475124
15,"10/160 Slade Road Bardwell Park 2207",3,2,2,766000,2014-04-05,-33.9345659613305,151.119538634605,596.463043633009
16,"4/142-148 Slade Road Bardwell Park 2207",3,2,1,675000,2014-03-20,-33.9341435134104,151.120693493225,482.166217749945
17,"5/160-162 Slade Road Bardwell Park 2207",2,2,2,568000,2013-11-18,-33.9342328225888,151.119624297656,569.791778293838
18,"5/160 Slade Road Bardwell Park 2207",2,2,2,568000,2013-11-18,-33.9342328225888,151.119624297656,569.791778293838
19,"3/142 Slade Road Bardwell Park 2207",5,2,1,615000,2012-04-30,-33.9341435134104,151.120693493225,482.166217749945
20,"2/110 Slade Road Bardwell Park 2207",3,3,2,625000,2012-04-24,-33.9331733081179,151.122497194969,284.24281579513
21,"6/142 Slade Road Bardwell Park 2207",3,2,1,584000,2012-03-21,-33.9341435134104,151.120693493225,482.166217749945
22,"6/142-148 Slade Road Bardwell Park 2207",3,2,1,584000,2012-03-21,-33.9341435134104,151.120693493225,482.166217749945
23,"4/110 Slade Road Bardwell Park 2207",3,3,2,635000,2012-03-10,-33.9331733081179,151.122497194969,284.24281579513
24,"4/110-112 Slade Road Bardwell Park 2207",3,3,2,635000,2012-03-10,-33.9331733081179,151.122497194969,284.24281579513
