"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"6/28 Canonbury Grove Bexley North 2207",3,2,1,840000,2016-08-20,-33.9460772061469,151.114926324745,959.367686126827
2,"3/3 Canonbury Grove Bexley North 2207",2,2,1,807000,2016-05-04,-33.9461544453847,151.113685132523,959.294453978785
3,"3/77 Laycock Street Bexley North 2207",2,1,1,685000,2016-04-28,-33.9426447748871,151.108811307283,715.932957867814
4,"3/19 Alston Street Bexley North 2207",2,NA,NA,490000,2012-08-01,-33.9465206088249,151.11033429909,1042.41274924449
5,"5/28 Canonbury Grove Bexley North 2207",3,2,1,590000,2012-05-30,-33.9460772061469,151.114926324745,959.367686126827
6,"3/11 Canonbury Grove Bexley North 2207",3,2,1,508000,2011-10-08,-33.9457108331591,151.114267171879,912.384187730145
7,"3/11-13 Canonbury Grove Bexley North 2207",3,2,1,508000,2011-10-08,-33.9457108331591,151.114267171879,912.384187730145
8,"2/17 Barnsbury Grove Bexley North 2207",2,1,1,755000,2010-04-01,-33.9402149449756,151.116439845002,401.676831250061
9,"3/14 New Illawarra Road Bexley North 2207",3,2,2,561000,2009-09-01,-33.9453185600905,151.113850004558,866.652702992042
10,"2/3 Canonbury Grove Bexley North 2207",2,1,1,425000,2008-05-01,-33.9461544453847,151.113685132523,959.294453978785
11,"3/37 Barnsbury Grove Bexley North 2207",3,1,1,395000,2007-10-01,-33.9386523905856,151.118395426831,466.735937111001
12,"2/27 Barnsbury Grove Bexley North 2207",2,1,1,735000,2007-06-01,-33.9397944668028,151.11714895401,418.575197393236
13,"4/37 Barnsbury Grove Bexley North 2207",3,1,1,375500,2007-05-01,-33.9386523905856,151.118395426831,466.735937111001
14,"6/37 Barnsbury Grove Bexley North 2207",3,1,1,375000,2007-03-01,-33.9386523905856,151.118395426831,466.735937111001
15,"7 Homedale Avenue Bexley North 2207",3,2,1,622000,2006-12-01,-33.944813131329,151.114596580674,815.904759813602
16,"2/14 New Illawarra Road Bexley North 2207",3,NA,NA,5e+05,2006-11-01,-33.9453185600905,151.113850004558,866.652702992042
17,"4/18 Canonbury Grove Bexley North 2207",3,2,2,425000,2005-10-01,-33.9465659968306,151.114461129119,1008.71548579031
18,"3/59 Canonbury Grove Bexley North 2207",2,1,1,411000,2004-04-01,-33.9430877584699,151.118307668305,759.531001320584
