"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"2/74 Morgan Street Kingsgrove 2208",4,2,2,1715000,2022-12-16,-33.9444041363636,151.094932719644,707.588095816509
2,"1/333 Stoney Creek Road Kingsgrove 2208",3,2,2,950000,2022-11-05,-33.9512026561197,151.093420875768,1384.61800642379
3,"107/11A Mashman Avenue Kingsgrove 2208",2,2,2,930000,2022-03-30,-33.9410927816951,151.100115669472,104.255804234791
4,"6/2B St Elmo Parade Kingsgrove 2208",3,2,1,1220000,2022-03-21,-33.9499752102187,151.098222365183,1091.49561215881
5,"10/29-31 Morgan Street Kingsgrove 2208",3,2,2,1210000,2022-02-05,-33.944254603211,151.098451274959,482.801148974194
6,"3/167 Bexley Road Kingsgrove 2208",2,1,1,1090000,2021-07-23,-33.9288864675578,151.108751209038,1474.76481154708
7,"3/324-326 William Street Kingsgrove 2208",2,2,1,685000,2021-05-17,-33.9295649407103,151.098890151409,1223.44683996562
8,"102/11A Mashman Avenue Kingsgrove 2208",3,2,2,930000,2021-04-17,-33.9410927816951,151.100115669472,104.255804234791
9,"1/123 Kingsgrove Road Kingsgrove 2208",2,1,2,779500,2021-03-13,-33.9312108112179,151.098540877504,1048.99436687328
10,"1/2-4 Waycott Avenue Kingsgrove 2208",3,2,2,1e+06,2020-02-24,-33.9462710376579,151.105786613704,791.262371069829
11,"1/333-339 Stoney Creek Road Kingsgrove 2208",3,3,2,899000,2018-08-20,-33.9512026561197,151.093420875768,1384.61800642379
12,"1/22 Ada Street Kingsgrove 2208",4,3,2,1075000,2018-07-21,-33.9305294463087,151.093565044502,1293.84537501915
13,"2/29-31 Morgan Street Kingsgrove 2208",3,2,2,1150000,2017-08-21,-33.944254603211,151.098451274959,482.801148974194
14,"106/11A Mashman Avenue Kingsgrove 2208",3,2,2,1085000,2016-12-12,-33.9410927816951,151.100115669472,104.255804234791
15,"4/167 Bexley Road Kingsgrove 2208",2,1,1,896500,2016-11-11,-33.9288864675578,151.108751209038,1474.76481154708
16,"103/11A Mashman Avenue Kingsgrove 2208",3,2,2,930000,2016-07-01,-33.9410927816951,151.100115669472,104.255804234791
17,"107/11A Mashman Avenue Kingsgrove 2208",2,2,2,880000,2016-02-24,-33.9410927816951,151.100115669472,104.255804234791
18,"105/11A Mashman Avenue Kingsgrove 2208",3,2,2,772500,2014-04-08,-33.9410927816951,151.100115669472,104.255804234791
19,"2/4 Elizabeth Street Kingsgrove 2208",3,1,1,660000,2014-03-24,-33.9468167833736,151.107316897766,925.259271993164
20,"2/167 Bexley Road Kingsgrove 2208",3,2,2,652500,2011-08-01,-33.9288864675578,151.108751209038,1474.76481154708
21,"2/4 Waycott Avenue Kingsgrove 2208",3,2,3,607500,2011-04-30,-33.9462710376579,151.105786613704,791.262371069829
22,"1/11 Berith Street Kingsgrove 2208",4,3,5,886000,2010-09-25,-33.9422007435664,151.104995864958,425.92215180581
23,"1/29 Morgan Street Kingsgrove 2208",4,2,2,7e+05,2010-03-03,-33.944254603211,151.098451274959,482.801148974194
24,"1/167 Bexley Road Kingsgrove 2208",3,2,2,587000,2010-02-25,-33.9288864675578,151.108751209038,1474.76481154708
25,"4 Waycott Avenue Kingsgrove 2208",3,2,3,562000,2008-11-01,-33.9462710376579,151.105786613704,791.262371069829
26,"3/7 Narramore Street Kingsgrove 2208",2,1,1,380000,2008-03-01,-33.9481370169428,151.103827679112,899.599899820788
27,"3/5 Mabel Street Kingsgrove 2208",2,1,1,380000,2007-02-01,-33.9454097132876,151.105594584302,703.474124976559
28,"5/123 Kingsgrove Road Kingsgrove 2208",2,1,1,365000,2007-01-01,-33.9312108112179,151.098540877504,1048.99436687328
29,"2/26A Edward Street Kingsgrove 2208",3,2,2,465000,2006-12-01,-33.9436110825947,151.105079097257,523.372872429095
30,"6/118 Staples Street Kingsgrove 2208",2,1,1,360000,2006-11-01,-33.9400907251705,151.10782995406,640.218651728254
31,"1/128 Staples Street Kingsgrove 2208",3,NA,NA,387500,2006-10-01,-33.939498124616,151.107700286018,635.61620301691
32,"2/7 Narramore Street Kingsgrove 2208",3,1,1,385000,2005-12-01,-33.9481370169428,151.103827679112,899.599899820788
33,"2/126 Staples Street Kingsgrove 2208",3,2,NA,435000,2005-07-01,-33.939652477363,151.107735657649,636.284161908629
34,"4/26A Edward Street Kingsgrove 2208",3,NA,NA,627500,2005-04-01,-33.9436110825947,151.105079097257,523.372872429095
35,"4/5 Narramore Street Kingsgrove 2208",3,NA,NA,457000,2004-08-01,-33.9480418823417,151.103462144315,879.86278629163
36,"8/29 Morgan Street Kingsgrove 2208",3,NA,NA,490000,2004-07-01,-33.944254603211,151.098451274959,482.801148974194
37,"51 Panorama Road Kingsgrove 2208",3,2,2,650000,2004-04-01,-33.9328075218633,151.101315958007,849.015596756548
38,"3/118 Staples Street Kingsgrove 2208",3,NA,NA,440000,2004-02-01,-33.9400907251705,151.10782995406,640.218651728254
39,"11/29 Morgan Street Kingsgrove 2208",3,2,NA,490000,2003-06-01,-33.944254603211,151.098451274959,482.801148974194
40,"9/11 Berith Street Kingsgrove 2208",4,2,NA,495500,2002-08-01,-33.9422007435664,151.104995864958,425.92215180581
41,"1/268 Stoney Creek Road Kingsgrove 2208",2,NA,NA,285000,2002-05-01,-33.9488762588933,151.104361438707,993.13057417605
42,"1/5 Narramore Street Kingsgrove 2208",3,NA,NA,1132500,2001-12-01,-33.9480418823417,151.103462144315,879.86278629163
43,"4/29-31 Morgan Street Kingsgrove 2208",3,NA,NA,420000,2001-11-01,-33.944254603211,151.098451274959,482.801148974194
