"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"5/58 Forrest Road East Hills 2213",3,1,2,775000,2022-03-25,-33.9574642730679,150.984822675113,481.225671610279
2,"3/20 Monie Avenue East Hills 2213",3,2,2,950000,2021-12-13,-33.9605434909279,150.983978114549,151.584419535357
3,"2A Park Road East Hills 2213",3,2,2,855000,2021-05-28,-33.9555786801295,150.991554600648,939.899121869034
4,"9/6 Lehn Road East Hills 2213",3,1,2,8e+05,2021-04-07,-33.9584057703421,150.988969034976,548.014502960596
5,"2/69 Lucas Road East Hills 2213",4,2,2,760000,2019-07-13,-33.9635109780186,150.993075748437,801.064819011278
6,"1/6-8 Lehn Road East Hills 2213",3,2,2,695000,2019-05-13,-33.9590716706398,150.988940704143,497.963156857589
7,"1/5-7 Monie Avenue East Hills 2213",4,2,1,980000,2017-08-12,-33.9589438047069,150.984327304635,317.693974571179
8,"12/6-8 Lehn Road East Hills 2213",4,2,2,837000,2017-05-26,-33.9586607897462,150.989114796272,539.143639861047
9,"8/6 Lehn Road East Hills 2213",3,1,2,599500,2016-03-12,-33.9585312474326,150.988890161267,533.155486174945
10,"1/672 Henry Lawson Drive East Hills 2213",3,2,2,775000,2015-06-10,-33.9648386714816,150.991281602062,700.09611998338
11,"2A Park Road East Hills 2213",3,2,2,730000,2015-03-02,-33.9555786801295,150.991554600648,939.899121869034
12,"1/22 Monie Avenue East Hills 2213",3,2,2,549000,2013-09-11,-33.9606952452849,150.983858169515,141.762322780072
13,"1/22 Monie Avenue East Hills 2213",3,2,2,549000,2013-09-11,-33.9606952452849,150.983858169515,141.762322780072
14,"6/12 Browning Street East Hills 2213",3,2,2,575000,2013-08-12,-33.9636013768444,150.991380089424,653.207288127691
15,"6/12-14 Browning Street East Hills 2213",3,2,2,575000,2013-08-12,-33.9636013768444,150.991380089424,653.207288127691
16,"3/12 Browning Street East Hills 2213",3,2,1,550000,2012-12-05,-33.9636013768444,150.991380089424,653.207288127691
17,"3/12-14 Browning Street East Hills 2213",3,2,1,550000,2012-12-05,-33.9636013768444,150.991380089424,653.207288127691
18,"2/674A Henry Lawson Drive East Hills 2213",3,2,2,497000,2012-08-09,-33.9649262623698,150.991449994497,718.422512372821
19,"2/674A Henry Lawson Drive East Hills 2213",3,2,2,497000,2012-08-09,-33.9649262623698,150.991449994497,718.422512372821
20,"8/6-8 Lehn Road East Hills 2213",3,1,2,865000,2011-04-01,-33.9585312474326,150.988890161267,533.155486174945
21,"8/6 Lehn Road East Hills 2213",3,1,2,599500,2011-03-01,-33.9585312474326,150.988890161267,533.155486174945
22,"2/10 Forrest Road East Hills 2213",2,1,1,396000,2011-02-01,-33.9616086212739,150.988101591816,319.029764601062
23,"8/65 Lucas Road East Hills 2213",3,2,1,512000,2010-09-01,-33.9632078883998,150.993156214707,800.930679336101
24,"2/6 Lehn Road East Hills 2213",3,1,2,477700,2010-07-21,-33.9590554935667,150.988740376657,484.515011587416
25,"2/6 Lehn Road East Hills 2213",3,1,2,477700,2010-07-21,-33.9590554935667,150.988740376657,484.515011587416
26,"2/6 Lehn Road East Hills 2213",3,1,2,477700,2010-07-07,-33.9590554935667,150.988740376657,484.515011587416
27,"1/6-8 Lehn Road East Hills 2213",3,2,2,445000,2010-01-08,-33.9590716706398,150.988940704143,497.963156857589
28,"3/1 Childs Street East Hills 2213",4,2,2,485000,2009-10-16,-33.9555786801295,150.991554600648,939.899121869034
29,"11c Broe Avenue East Hills 2213",3,1,1,365000,2009-10-03,-33.9615343157023,150.985390884329,73.6352612190753
30,"2/1 Childs Street East Hills 2213",4,2,2,495000,2009-08-28,-33.9555786801295,150.991554600648,939.899121869034
31,"3/14 Cook Crescent East Hills 2213",3,2,2,3220000,2009-02-01,-33.9634555317291,150.984371812541,187.774680326653
32,"3/53 Maclaurin Avenue East Hills 2213",3,2,1,392000,2008-10-01,-33.9621873078692,150.982981757719,160.657704825103
33,"9/6-8 Lehn Road East Hills 2213",3,1,2,368000,2008-09-26,-33.9584057703421,150.988969034976,548.014502960596
34,"2/672 Henry Lawson Drive East Hills 2213",3,1,1,365000,2008-09-01,-33.9648386714816,150.991281602062,700.09611998338
35,"3/22 Monie Avenue East Hills 2213",3,1,2,350000,2008-07-01,-33.9606952452849,150.983858169515,141.762322780072
36,"5/65 Lucas Road East Hills 2213",3,2,2,1221000,2008-04-01,-33.9632078883998,150.993156214707,800.930679336101
37,"5/69 Lucas Road East Hills 2213",3,2,1,539000,2008-03-01,-33.9635109780186,150.993075748437,801.064819011278
38,"6/69 Lucas Road East Hills 2213",3,2,2,795000,2007-09-01,-33.9635109780186,150.993075748437,801.064819011278
39,"11/6 Lehn Road East Hills 2213",4,2,2,465000,2007-09-01,-33.9585332590894,150.989124938375,549.112546067157
40,"1/10 Forrest Road East Hills 2213",3,2,1,385000,2005-10-01,-33.9616086212739,150.988101591816,319.029764601062
41,"2/69 Lucas Road East Hills 2213",5,NA,NA,480000,2005-08-01,-33.9635109780186,150.993075748437,801.064819011278
42,"3/32 Cook Crescent East Hills 2213",3,NA,NA,380000,2005-07-01,-33.9625525912096,150.982705322552,199.084088248742
43,"2/32 Cook Crescent East Hills 2213",3,NA,NA,395000,2004-11-01,-33.9625525912096,150.982705322552,199.084088248742
44,"2/53 Maclaurin Avenue East Hills 2213",3,2,1,435000,2004-04-01,-33.9621873078692,150.982981757719,160.657704825103
45,"3/92 Park Road East Hills 2213",3,1,2,320000,2002-07-01,-33.9612653823389,150.98412002017,75.9235907480536
46,"12/6 Lehn Road East Hills 2213",4,NA,NA,562000,2001-08-01,-33.9586607897462,150.989114796272,539.143639861047
