"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"4/20 Lambeth Street Panania 2213",4,2,2,1070000,2023-03-06,-33.9580965200244,150.998283257241,424.806017688593
2,"6/18 Woodburn Avenue Panania 2213",3,2,2,865000,2022-11-08,-33.9547791303856,151.003565113527,499.37294364664
3,"1/91 Picnic Point Road Panania 2213",3,2,2,890000,2022-08-29,-33.9642429277134,151.002301290167,1172.09529474182
4,"100/169 Horsley Road Panania 2213",2,2,2,775000,2022-07-20,-33.9487751312315,150.992754218631,792.256986682358
5,"84/169 Horsley Road Panania 2213",2,2,2,780000,2022-06-16,-33.9490276779742,150.991661218457,839.947560859073
6,"41/169 Horsley Road Panania 2213",3,2,2,9e+05,2022-05-25,-33.9502524416662,150.991727854587,746.488428567291
7,"57/169 Horsley Road Panania 2213",2,2,2,770000,2022-04-13,-33.9496093401451,150.991013129703,842.443062317363
8,"7/55 Weston Street Panania 2213",2,1,1,765000,2022-04-12,-33.9554317034573,151.01122960961,1210.79487846939
9,"60/169 Horsley Road Panania 2213",2,2,2,7e+05,2022-03-30,-33.9494614414635,150.99091556435,859.726632059022
10,"2/25 Anderson Avenue Panania 2213",4,2,2,1230000,2022-03-01,-33.9521050937251,150.999292019289,262.733919288774
11,"17/169 Horsley Road Panania 2213",3,2,2,849000,2022-02-05,-33.9493925422194,150.992333782368,767.218110069905
12,"8/169-179 Horsley Road Panania 2213",3,2,3,837000,2021-09-03,-33.9496743837137,150.992726642169,719.401051727599
13,"3/34 Eddie Avenue Panania 2213",3,2,2,1030000,2021-09-03,-33.9587822854327,150.996710644568,519.353821710641
14,"1/31 Picnic Point Road Panania 2213",5,3,2,1055000,2021-06-23,-33.9599261218495,151.003315332813,786.638586541307
15,"40/169 Horsley Road Panania 2213",3,2,2,8e+05,2021-05-06,-33.950209610141,150.991793317251,744.55799962346
16,"12/134 Tower Street Panania 2213",2,1,1,625000,2021-04-14,-33.9563398407569,151.002894812731,491.132890692977
17,"3/31 Picnic Point Road Panania 2213",4,3,2,1010000,2021-04-07,-33.9599261218495,151.003315332813,786.638586541307
18,"92/169 Horsley Road Panania 2213",2,2,1,695000,2021-02-19,-33.9488187590376,150.992195564784,822.309536973896
19,"7/31 Picnic Point Road Panania 2213",4,2,2,1e+06,2021-02-17,-33.9599261218495,151.003315332813,786.638586541307
20,"3/70 Ramsay Road Panania 2213",4,2,2,955000,2020-10-13,-33.9661035844898,151.003819252832,1414.96525523192
21,"1/2 Bell Street Panania 2213",3,1,2,840000,2020-09-11,-33.9602324804106,151.005203105046,926.375945522496
22,"6/31 Hodgkinson Crescent Panania 2213",4,2,2,870000,2020-07-28,-33.9553639776797,151.006632973909,788.826079914989
23,"4/63-65 Picnic Point Road Panania 2213",4,2,1,861000,2020-01-15,-33.9624196961347,151.002750392539,999.030212146027
24,"80/169 Horsley Road Panania 2213",2,2,1,575000,2019-12-20,-33.9491296019168,150.992056928106,806.004959137211
25,"12/169 Horsley Rd Panania 2213",2,2,1,615000,2019-10-24,-33.9493145486104,150.992735694625,747.920517853623
26,"Unit 4/34 Eddie Ave Panania 2213",3,2,2,845000,2019-10-11,-33.9587822854327,150.996710644568,519.353821710641
27,"6/169 Horsley Road Panania 2213",2,2,1,580000,2019-05-29,-33.9496011677895,150.992827560284,718.782097680238
28,"57/169 Horsley Road Panania 2213",2,2,2,575000,2019-02-27,-33.9496093401451,150.991013129703,842.443062317363
29,"52/169 Horsley Road Panania 2213",2,2,1,630000,2018-08-29,-33.9498514933278,150.991212702818,811.362975036335
30,"7/134 Tower Street Panania 2213",2,1,1,605000,2018-03-09,-33.9563101688196,151.002670596821,471.328547908221
31,"98 / 169 Horsley Road Panania 2213",2,2,2,686800,2018-02-27,-33.9487829264015,150.992637291082,798.476442384777
32,"12/134 Tower Street Panania 2213",2,1,1,615000,2018-02-09,-33.9563398407569,151.002894812731,491.132890692977
33,"10/134 Tower Street Panania 2213",2,1,1,6e+05,2018-01-19,-33.9563356917148,151.002801689786,483.32562443661
34,"2/18-20 Woodburn Avenue Panania 2213",4,2,2,970000,2017-05-06,-33.9547791303856,151.003565113527,499.37294364664
35,"64/169 Horsley Road Panania 2213",3,2,2,716000,2017-04-19,-33.9497216995571,150.991508500181,798.947374739406
36,"64/169 Horsley Road Panania 2213",3,2,3,760000,2017-01-31,-33.9497216995571,150.991508500181,798.947374739406
37,"46/169 Horsley Rd Panania 2213",2,2,1,585000,2017-01-30,-33.9501037047944,150.99142803391,778.575665099142
38,"82 / 169 Horsley Road Panania 2213",3,2,2,738000,2017-01-19,-33.9490895364196,150.991564910389,841.610026554847
39,"98/169 Horsley Road Panania 2213",2,2,1,650500,2016-12-08,-33.9487829264015,150.992637291082,798.476442384777
40,"5/25 Victor Avenue Panania 2213",4,2,2,855000,2016-05-16,-33.9634111914613,151.007506619677,1331.49894098746
41,"94/169 Horsley Road Panania 2213",3,2,2,702000,2016-03-23,-33.9488016180456,150.99238642072,811.982746090155
42,"45/169 Horsley Road Panania 2213",2,2,2,6e+05,2016-02-06,-33.9501536609373,150.991485114671,771.027705014339
43,"1/11 Wyalong Street Panania 2213",3,1,1,736000,2015-10-02,-33.9509549708809,151.004347228913,678.466012480263
44,"106/169 Horsley Road Panania 2213",2,2,1,595000,2015-06-09,-33.949050895846,150.992718344085,770.920135685831
45,"75/169 Horsley Road Panania 2213",3,2,2,7e+05,2015-05-26,-33.9492315258594,150.991442450784,839.196706803196
46,"73/169 Horsley Road Panania 2213",2,2,1,616000,2015-05-08,-33.9493538178268,150.991339437194,837.302662162129
47,"2/7-9 Homelea Avenue Panania 2213",3,2,2,685000,2015-03-30,-33.9507336467275,150.992939207234,625.36121102088
48,"1/169 Horsley Road Panania 2213",3,2,2,610000,2014-11-10,-33.9494528500128,150.993090752043,714.594001676428
49,"169 Horsley Road Panania 2213",2,2,2,502000,2014-11-07,-33.9497237950329,150.99125838419,816.770518634331
50,"34/169 Horsley Road Panania 2213",3,3,2,630000,2014-09-25,-33.9500977536431,150.991936061062,741.897032783203
51,"51/169 Horsley Road Panania 2213",2,2,1,469950,2014-05-09,-33.9498944086721,150.991257965095,805.141319014021
52,"5 / 31 Picnic Point Road Panania 2213",4,2,2,775000,2014-04-17,-33.9599261218495,151.003315332813,786.638586541307
53,"40/169 Horsley Dr Panania 2213",3,2,2,539000,2014-04-09,-33.950209610141,150.991793317251,744.55799962346
54,"7 / 31 Picnic Point Road Panania 2213",4,2,2,743000,2014-03-14,-33.9599261218495,151.003315332813,786.638586541307
55,"9/134 Tower Street Panania 2213",2,1,1,485000,2014-03-04,-33.9563294891065,151.002758187709,479.461985901442
56,"13/169 Horsley Road Panania 2213",2,2,1,450000,2014-02-28,-33.9493317734214,150.992702250831,748.591341444285
57,"9/134 Tower Street Panania 2213",2,1,1,485000,2014-02-24,-33.9563294891065,151.002758187709,479.461985901442
58,"6 / 31 Picnic Point Road Panania 2213",4,2,2,780000,2014-02-13,-33.9599261218495,151.003315332813,786.638586541307
59,"41/169 Horsley Road Panania 2213",3,2,4,455000,2014-01-31,-33.9502524416662,150.991727854587,746.488428567291
60,"2/177 Bransgrove Road Panania 2213",3,2,1,562000,2014-01-28,-33.9459843765693,150.997809763531,924.266735620668
61,"2/177 Bransgrove Road Panania 2213",3,2,1,562000,2014-01-17,-33.9459843765693,150.997809763531,924.266735620668
62,"11/169 Horsley Road Panania 2213",2,2,2,455000,2014-01-14,-33.9492729324611,150.992810880296,746.715253158382
