"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"2/9 Mona Street Allawah 2218",3,2,2,1075000,2022-05-14,-33.9708006773008,151.112963869755,189.854716881649
2,"1/7 Mona Street Allawah 2218",3,2,1,9e+05,2022-04-22,-33.9705371083555,151.113273916353,149.053241629395
3,"1/9 NORMAN STREET Allawah 2218",3,2,1,861000,2021-11-27,-33.9732607658828,151.116933539099,456.160490148141
4,"1/9 Norman Street Allawah 2218",3,2,1,861000,2021-11-27,-33.9732607658828,151.116933539099,456.160490148141
5,"10/9 Mona Street Allawah 2218",3,2,2,965000,2021-10-30,-33.9708006773008,151.112963869755,189.854716881649
6,"6/63 Illawarra Street Allawah 2218",2,1,2,760000,2021-10-09,-33.9734051860745,151.115557482054,425.036575505269
7,"4/1-7 Norman Street Allawah 2218",2,1,1,683000,2020-09-03,-33.9731041919315,151.117203268743,454.125773383634
8,"8/9 Mona Street Allawah 2218",3,2,2,821000,2020-08-12,-33.9708006773008,151.112963869755,189.854716881649
9,"3/9 Mona Street Allawah 2218",3,2,2,860000,2020-07-13,-33.9708006773008,151.112963869755,189.854716881649
10,"4/63 Illawarra Street Allawah 2218",2,1,1,718000,2019-10-11,-33.9734051860745,151.115557482054,425.036575505269
11,"3/9 Mona Street Allawah 2218",3,2,2,905000,2017-01-09,-33.9708006773008,151.112963869755,189.854716881649
12,"3/63 Illawarra Street Allawah 2218",2,1,2,670000,2015-10-17,-33.9734051860745,151.115557482054,425.036575505269
13,"2/9 Mona Street Allawah 2218",3,2,2,965000,2015-07-26,-33.9708006773008,151.112963869755,189.854716881649
14,"13/1-7 Norman Street Allawah 2218",2,1,1,650000,2015-05-30,-33.9731041919315,151.117203268743,454.125773383634
15,"10/1-7 NORMAN ST Allawah 2218",3,1,2,725000,2014-08-02,-33.9731041919315,151.117203268743,454.125773383634
16,"1/131 St Georges Pde Allawah 2218",3,1,2,718000,2014-06-26,-33.9751220513019,151.111694179062,659.031821633029
17,"11/1 Norman Street Allawah 2218",3,1,1,655000,2014-02-26,-33.9731041919315,151.117203268743,454.125773383634
18,"11/1 Norman Street Allawah 2218",3,1,1,655000,2014-02-01,-33.9731041919315,151.117203268743,454.125773383634
19,"12/1 Norman Street Allawah 2218",2,1,1,575000,2014-01-20,-33.9731041919315,151.117203268743,454.125773383634
20,"3/63 Illawarra Street Allawah 2218",2,1,2,520000,2013-05-17,-33.9734051860745,151.115557482054,425.036575505269
21,"6/63 Illawarra Street Allawah 2218",2,1,2,517000,2013-02-22,-33.9734051860745,151.115557482054,425.036575505269
22,"5/63 Illawarra Street Allawah 2218",2,1,2,507000,2012-10-15,-33.9734051860745,151.115557482054,425.036575505269
23,"2/9 Norman Street Allawah 2218",2,1,1,490000,2011-07-01,-33.9732607658828,151.116933539099,456.160490148141
24,"1/40 Woids Avenue Allawah 2218",2,1,2,528000,2011-04-01,-33.9707176126403,151.111343647871,314.920756837374
25,"4/9 Mona Street Allawah 2218",3,2,2,630000,2010-12-03,-33.9708006773008,151.112963869755,189.854716881649
26,"15/1 Norman Street Allawah 2218",2,1,1,487000,2010-11-12,-33.9731041919315,151.117203268743,454.125773383634
27,"15/1-7 Norman Street Allawah 2218",2,1,1,487000,2010-11-12,-33.9731041919315,151.117203268743,454.125773383634
28,"1/77 Noble Street Allawah 2218",2,2,2,8e+05,2010-11-06,-33.973460632364,151.114244205465,421.036390449987
29,"11/69-71 Noble Street Allawah 2218",3,2,2,490500,2010-10-09,-33.973002519446,151.11389920633,373.686420400219
30,"5A Allawah 2218",2,2,1,520000,2010-09-10,-33.9727571409999,151.114387488,342.173211934497
31,"1/131 St Georges Parade Allawah 2218",3,2,2,555000,2010-08-01,-33.9751220513019,151.111694179062,659.031821633029
32,"12/9 Mona Street Allawah 2218",3,2,2,925000,2010-07-31,-33.9708006773008,151.112963869755,189.854716881649
33,"71A Bellevue Parade Allawah 2218",4,3,1,786500,2010-02-01,-33.9725372400007,151.110796225774,467.919154795535
34,"3/77 Noble Street Allawah 2218",2,2,1,438000,2009-07-01,-33.973460632364,151.114244205465,421.036390449987
35,"7/1 Norman Street Allawah 2218",3,2,1,425000,2009-05-04,-33.9731041919315,151.117203268743,454.125773383634
36,"8/9 Mona Street Allawah 2218",3,2,2,490000,2009-03-03,-33.9708006773008,151.112963869755,189.854716881649
37,"10/9 Mona Street Allawah 2218",3,2,2,565000,2009-02-10,-33.9708006773008,151.112963869755,189.854716881649
38,"4/9 Mona Street Allawah 2218",3,2,2,566000,2009-02-09,-33.9708006773008,151.112963869755,189.854716881649
39,"4/9 Mona Street Allawah 2218",3,2,2,566000,2009-02-09,-33.9708006773008,151.112963869755,189.854716881649
40,"4/1 Norman Street Allawah 2218",2,1,1,422500,2009-02-01,-33.9731041919315,151.117203268743,454.125773383634
41,"3/9 Mona Street Allawah 2218",3,2,2,562000,2009-01-23,-33.9708006773008,151.112963869755,189.854716881649
42,"11/9 Mona Street Allawah 2218",3,2,2,498000,2009-01-09,-33.9708006773008,151.112963869755,189.854716881649
43,"2/9 Mona Street Allawah 2218",3,2,2,555000,2008-12-16,-33.9708006773008,151.112963869755,189.854716881649
44,"4/63 Illawarra Street Allawah 2218",2,1,2,395000,2008-12-01,-33.9734051860745,151.115557482054,425.036575505269
45,"1/9 Mona Street Allawah 2218",3,2,2,530000,2008-12-01,-33.9708006773008,151.112963869755,189.854716881649
46,"13/9 Mona Street Allawah 2218",3,2,2,877000,2008-12-01,-33.9708006773008,151.112963869755,189.854716881649
47,"5/9 Mona Street Allawah 2218",3,2,2,552000,2008-11-11,-33.9708006773008,151.112963869755,189.854716881649
48,"7/9 Mona Street Allawah 2218",3,2,2,540000,2008-11-01,-33.9708006773008,151.112963869755,189.854716881649
49,"6/9 Mona Street Allawah 2218",3,2,2,5e+05,2008-10-01,-33.9708006773008,151.112963869755,189.854716881649
50,"17/1 Norman Street Allawah 2218",3,2,1,450000,2007-12-01,-33.9731041919315,151.117203268743,454.125773383634
51,"5/9 Norman Street Allawah 2218",2,1,2,385000,2007-10-01,-33.9732607658828,151.116933539099,456.160490148141
52,"1/1 Norman Street Allawah 2218",2,1,1,375000,2007-06-01,-33.9731041919315,151.117203268743,454.125773383634
53,"11/1 Norman Street Allawah 2218",3,1,1,450000,2006-07-01,-33.9731041919315,151.117203268743,454.125773383634
54,"7/77 Noble Street Allawah 2218",2,2,2,404000,2006-06-01,-33.973460632364,151.114244205465,421.036390449987
55,"1/63 Illawarra Street Allawah 2218",2,2,2,782000,2006-06-01,-33.9734051860745,151.115557482054,425.036575505269
56,"4/9 Norman Street Allawah 2218",2,1,2,680000,2006-04-01,-33.9732607658828,151.116933539099,456.160490148141
57,"1/9 Norman Street Allawah 2218",2,2,1,388000,2006-03-07,-33.9732607658828,151.116933539099,456.160490148141
58,"9/1 Norman Street Allawah 2218",3,1,NA,335000,2005-12-01,-33.9731041919315,151.117203268743,454.125773383634
59,"13/1 Norman Street Allawah 2218",2,1,1,352000,2004-11-01,-33.9731041919315,151.117203268743,454.125773383634
60,"12/1 Norman Street Allawah 2218",2,NA,NA,770000,2004-09-01,-33.9731041919315,151.117203268743,454.125773383634
61,"3/131 St Georges Parade Allawah 2218",2,NA,NA,475000,2003-11-01,-33.9751220513019,151.111694179062,659.031821633029
62,"5/1 Norman Street Allawah 2218",3,NA,NA,448000,2003-09-01,-33.9731041919315,151.117203268743,454.125773383634
63,"2/1 Norman Street Allawah 2218",2,NA,NA,292000,2001-12-01,-33.9731041919315,151.117203268743,454.125773383634
