"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"2/55 Carrington Avenue Hurstville 2220",3,2,2,935000,2022-07-20,-33.9624879248266,151.097491798502,728.75779366259
2,"4/60 Woniora Road Hurstville 2220",3,2,2,860000,2022-07-11,-33.9704098291557,151.103758025497,333.661112365118
3,"4/12 Hillcrest Avenue Hurstville 2220",3,2,2,1080000,2022-06-02,-33.9696428850152,151.100870962767,260.084194580201
4,"8/53-57 West Street Hurstville 2220",3,2,1,1118000,2022-04-26,-33.9715215209739,151.105421330363,516.056905190015
5,"1/109A Bassett Street Hurstville 2220",4,2,2,1300000,2022-04-02,-33.9564557205683,151.087780944578,1833.36305901964
6,"6/32 West Street Hurstville 2220",2,1,2,775000,2022-01-21,-33.970572815263,151.105484865189,435.705047759068
7,"1/67a Gloucester Road Hurstville 2220",3,2,2,1100000,2021-12-11,-33.9601443446987,151.094162255104,1126.50065645295
8,"9/98 Woniora Road Hurstville 2220",3,1,2,9e+05,2021-08-23,-33.9721069130917,151.105216979564,562.4469842314
9,"7/1A Bassett Street Hurstville 2220",3,1,1,1e+06,2021-06-22,-33.9632679866456,151.093377625148,960.944663510008
10,"3/65 Hudson Street Hurstville 2220",3,2,2,1100000,2021-04-23,-33.9639082383196,151.106066988365,540.156377014334
11,"3/63 Hudson Street Hurstville 2220",3,2,1,1150000,2021-04-17,-33.9639918058943,151.106144185693,537.636508409376
12,"5/57A-61 Millett Street Hurstville 2220",3,2,1,930000,2021-03-29,-33.9591122390512,151.091643577019,1371.00313216108
13,"2/94 Woniora Road Hurstville 2220",2,2,2,772000,2021-03-19,-33.9718969464171,151.105032996789,533.840704686874
14,"3/109A Bassett Street Hurstville 2220",4,2,1,1075000,2020-11-28,-33.9564557205683,151.087780944578,1833.36305901964
15,"3/5 Romani Avenue Hurstville 2220",3,2,2,868000,2020-11-16,-33.9587782621192,151.108847349467,1155.93030354085
16,"2/4 Romani Ave Hurstville 2220",4,3,1,990000,2020-11-11,-33.95820510758,151.108342339801,1188.47527692517
17,"16/1A Bassett Street Hurstville 2220",2,1,1,720000,2020-07-20,-33.9632781706579,151.092919637958,997.048436647938
18,"2/63 Hudson Street Hurstville 2220",3,2,1,915000,2020-07-18,-33.9639918058943,151.106144185693,537.636508409376
19,"4/53 West Street Hurstville 2220",3,2,2,975000,2020-02-26,-33.9715215209739,151.105421330363,516.056905190015
20,"4/82 Woniora Rd Hurstville 2220",3,1,2,863000,2020-02-25,-33.9714218601451,151.104628318504,469.724093423887
21,"12/53-57 West Street Hurstville 2220",3,2,1,942500,2020-01-27,-33.9715215209739,151.105421330363,516.056905190015
22,"5/29 Empress Street Hurstville 2220",2,1,2,728000,2019-11-26,-33.9705364378032,151.106159524576,476.677750807963
23,"5/37 Forest Road Hurstville 2220",2,2,1,810000,2019-09-12,-33.9647439140662,151.111743129376,926.157854804404
24,"6/54 - 56 West Street Hurstville 2220",2,1,2,775000,2019-08-30,-33.9716848423573,151.106435037733,586.722585433544
