"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"1/3 Victoria Avenue Penshurst 2222",3,2,2,790000,2023-03-20,-33.9654192440051,151.087601907126,164.905742653328
2,"1/528 Penshurst St Penshurst 2222",4,3,2,1580000,2022-04-28,-33.9658673405488,151.088738996111,49.8370667455945
3,"3/27 Ocean Street Penshurst 2222",3,1,1,860000,2021-12-09,-33.9656300488699,151.082323403602,633.094086388149
4,"1/9 Ocean Street Penshurst 2222",3,2,1,955000,2021-11-15,-33.966513208098,151.083066543137,563.165958694534
5,"2/528 Forest Road Penshurst 2222",2,2,2,920000,2021-04-06,-33.9624001243908,151.084861276245,575.953222878705
6,"10 Nicholson Street Penshurst 2222",4,3,2,3850000,2020-12-22,-33.9561938699131,151.078993692565,1452.40710861414
7,"9/186 Penshurst Street Penshurst 2222",2,2,2,890000,2020-12-16,-33.9558325679767,151.08073679315,1387.20702222936
8,"1/32-34 Rosebery Street Penshurst 2222",3,3,2,1120500,2020-08-29,-33.9582982305243,151.079704561774,1235.29329003566
9,"3/83-87 Arcadia St Penshurst 2222",3,2,2,970000,2019-12-13,-33.9555675741078,151.081508431156,1373.82378051182
10,"3/97 Cambridge Street Penshurst 2222",3,2,2,805000,2019-02-14,-33.9570090099969,151.084728003985,1097.12551019951
11,"5/104 Arcadia Street Penshurst 2222",3,1,2,960000,2018-05-29,-33.9544742386576,151.081729797219,1469.93586831888
12,"2/623-627 King Georges Road Penshurst 2222",3,2,2,750680,2018-05-02,-33.9591148374412,151.088385195978,787.047233744766
13,"2/102 Cambridge Street Penshurst 2222",3,2,2,947750,2017-12-01,-33.9542380366261,151.083456469273,1427.13794825383
14,"6/59-61 Inverness Avenue Penshurst 2222",3,2,2,875000,2017-11-03,-33.9589032362955,151.080160118211,1158.03670390772
15,"1/115 Penshurst st Penshurst 2222",3,2,2,960000,2016-07-19,-33.9586337581084,151.081800875758,1077.88156218055
16,"9/35 Arcadia Street Penshurst 2222",3,2,2,1e+06,2015-09-05,-33.9604814648444,151.08569192285,707.878820699273
17,"2/9 Ocean Street Penshurst 2222",3,1,2,750000,2015-04-10,-33.966513208098,151.083066543137,563.165958694534
18,"6/104 Arcadia Street Penshurst 2222",3,1,2,880000,2015-03-21,-33.9544742386576,151.081729797219,1469.93586831888
19,"4/27 Ocean Street Penshurst 2222",3,1,1,750000,2014-10-18,-33.9656300488699,151.082323403602,633.094086388149
20,"4/27 Ocean Street Penshurst 2222",3,1,1,595000,2013-12-03,-33.9656300488699,151.082323403602,633.094086388149
21,"1/100 Cambridge Street Penshurst 2222",3,2,2,7e+05,2013-10-19,-33.9543879469644,151.083580269983,1407.41946178205
22,"1/100 Cambridge Street Penshurst 2222",3,2,2,7e+05,2013-10-15,-33.9543879469644,151.083580269983,1407.41946178205
23,"1/100 Cambridge Street Penshurst 2222",3,2,2,7e+05,2013-10-15,-33.9543879469644,151.083580269983,1407.41946178205
24,"8/114-116 Cambridge Street Penshurst 2222",2,1,1,533000,2013-09-03,-33.9533130517012,151.083273995241,1529.23408632974
