"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"6/43 Rosa Street Oatley 2223",3,2,1,1215000,2023-03-25,-33.9833706403074,151.082380065267,423.476239487806
2,"3/22 Wonoona Parade East Oatley 2223",3,1,1,946000,2022-10-22,-33.9794256137588,151.082584751343,357.977231662271
3,"13/2A Rosa Street Oatley 2223",4,2,2,1300000,2022-08-27,-33.9783880598742,151.083264775147,469.556424738258
4,"2/65 Mulga Road Oatley 2223",3,2,2,1160000,2022-08-26,-33.9806088451206,151.076308549883,253.756720517076
5,"18/2a Rosa Street Oatley 2223",3,2,2,1450000,2022-05-10,-33.9787498228153,151.08325589033,447.515805276076
6,"4/2a Rosa Street Oatley 2223",3,2,2,1400000,2022-03-30,-33.9784750221197,151.083000074645,443.93084925647
7,"2/15 Mi Mi Street Oatley 2223",2,1,1,1138000,2022-03-10,-33.973864556278,151.075484189706,834.478031924244
8,"1/5 Myall Street Oatley 2223",4,2,2,1570000,2022-01-31,-33.9724316699302,151.074580704362,1014.0485129132
9,"5/37 Wonoona Parade East Oatley 2223",2,1,2,880000,2021-10-15,-33.9786235913535,151.081117499192,304.135073957781
10,"166 Hurstville Road Oatley 2223",2,1,2,939000,2021-06-05,-33.9779763407903,151.082831346934,466.038154563342
11,"1/33 Rosa Street Oatley 2223",3,1,2,1215000,2021-04-21,-33.9826801391238,151.082387022247,375.267645282692
12,"6/43 Rosa Street Oatley 2223",3,2,1,926000,2021-02-13,-33.9833706403074,151.082380065267,423.476239487806
13,"19 Wonoona Parade East Oatley 2223",2,2,1,910000,2020-11-24,-33.9789111744514,151.083176513707,432.379821282792
14,"1/14 River Road Oatley 2223",4,2,2,1550000,2020-11-06,-33.9795927489081,151.077796756792,173.456501454224
15,"2/22 Wonoona Parade East Oatley 2223",3,1,1,816100,2020-06-19,-33.9794256137588,151.082584751343,357.977231662271
16,"21 Wonoona Parade East Oatley 2223",3,2,2,1180000,2020-05-30,-33.9789388766414,151.083032847886,419.25586788049
17,"3/148 Hurstville Road Oatley 2223",2,2,1,910000,2020-02-25,-33.9779970021816,151.083729719316,529.636298058658
18,"17 Wonoona Parade East Oatley 2223",3,2,2,1175000,2020-02-22,-33.9789452049783,151.08325589033,437.089085441773
19,"1/81 Gungah Bay Road Oatley 2223",3,3,1,1085000,2020-01-29,-33.978618352664,151.07202891776,690.457411252323
20,"9/47-67 Mulga Road Oatley 2223",3,3,2,950000,2019-03-30,-33.9805842861443,151.076040328981,278.641353051504
21,"16/2a Rosa Street Oatley 2223",3,2,2,1050000,2018-11-22,-33.9786691469972,151.083253375759,451.857056216677
22,"1/47-67 Mulga Road Oatley 2223",2,2,2,910000,2018-11-16,-33.9806088451206,151.076308549883,253.756720517076
23,"3/2 Oatley Parade Oatley 2223",2,1,1,655000,2018-10-13,-33.9788686362928,151.079248502422,210.459700640912
24,"4/2 Oatley Parade Oatley 2223",2,2,1,682000,2018-08-11,-33.9788686362928,151.079248502422,210.459700640912
25,"2/6 Oatley Parade Oatley 2223",3,2,2,940000,2018-08-10,-33.9791836282141,151.079253028649,175.594934397936
26,"1/27 Waratah Street Oatley 2223",3,3,2,1422000,2018-08-04,-33.9774558246031,151.077667340207,388.578125966248
27,"3/162 Hurstville Road Oatley 2223",2,2,1,805000,2018-06-15,-33.9784737648342,151.081728288476,354.060473942036
28,"5/148 Hurstville Road Oatley 2223",2,1,2,9e+05,2018-05-12,-33.9779970021816,151.083729719316,529.636298058658
29,"3/12 Yarran Road Oatley 2223",3,2,2,1070000,2017-11-14,-33.9867476671872,151.07610797094,720.619647957456
30,"2/81 Gungah Bay Road Oatley 2223",3,1,1,1030000,2017-10-30,-33.978618352664,151.07202891776,690.457411252323
31,"2/52 Oatley Avenue Oatley 2223",2,1,2,865000,2017-10-09,-33.9833247493875,151.0804207954,313.005757602987
32,"2/15 Gungah Bay Road Oatley 2223",4,2,2,1532000,2017-08-19,-33.9718955214936,151.073363484383,1117.05392223278
33,"1/52 Oatley Avenue Oatley 2223",3,2,2,980000,2017-07-22,-33.9833247493875,151.0804207954,313.005757602987
34,"168 Hurstville Road (aka 2/35 Wonoona Pde East) Oatley 2223",2,1,2,950000,2017-06-17,-33.9786142455314,151.081306594927,316.15341314887
35,"2/162 Hurstville Road Oatley 2223",2,2,1,880000,2017-06-16,-33.9784737648342,151.081728288476,354.060473942036
36,"4/16-18 River Road Oatley 2223",3,2,2,1755000,2017-06-03,-33.9798615984525,151.077743699345,156.257022264025
37,"2/11 Blanche Street Oatley 2223",2,1,1,1071000,2017-05-15,-33.9782250318575,151.086530364624,745.443320765908
38,"4/6 Oatley Parade Oatley 2223",3,2,2,1055000,2017-03-13,-33.9791836282141,151.079253028649,175.594934397936
39,"12/2A Rosa Street Oatley 2223",3,2,2,1100000,2016-10-20,-33.978316226964,151.083168969994,466.857784460175
40,"2/2 Oatley Parade Oatley 2223",3,1,1,750000,2016-07-06,-33.9788686362928,151.079248502422,210.459700640912
41,"3/78 Oatley Ave Oatley 2223",3,2,1,990000,2016-06-16,-33.9857511427187,151.079395521003,557.381919876694
42,"1/65 Mulga Road Oatley 2223",2,2,2,9e+05,2016-05-28,-33.9806088451206,151.076308549883,253.756720517076
43,"5/2 Oatley Parade Oatley 2223",2,1,1,635000,2016-05-16,-33.9788686362928,151.079248502422,210.459700640912
44,"2/7-9 Woronora Parade Oatley 2223",3,2,2,1100000,2016-04-11,-33.9749064687523,151.07685421178,681.639624732597
45,"2/14 River Road Oatley 2223",3,2,3,1280000,2015-11-07,-33.9795927489081,151.077796756792,173.456501454224
46,"1/35 Rosa Street Oatley 2223",3,1,2,886000,2015-10-22,-33.9828012995342,151.08238584878,383.053795685158
47,"4/38 Wonoona Parade Oatley 2223",2,1,1,735000,2015-10-03,-33.9791979193591,151.080855899994,240.128228740921
48,"10/2a Rosa Street Oatley 2223",3,2,2,1101000,2015-08-29,-33.9781990060481,151.083267289718,481.855054489195
49,"2/1-5 Ada Street Oatley 2223",3,2,2,1080000,2015-08-22,-33.9785900637408,151.083735754287,494.829325730877
50,"8/148 Hurstville Road Oatley 2223",3,2,2,1035000,2015-08-05,-33.9779970021816,151.083729719316,529.636298058658
51,"5/8 Oatley Parade Oatley 2223",2,1,1,650000,2015-05-11,-33.979337645685,151.079263506028,158.672087842755
52,"2/13 Mi Mi Street Oatley 2223",2,1,1,852500,2015-04-28,-33.9736872790259,151.075726929622,844.243157091212
53,"2/85 Gungah Bay Road Oatley 2223",3,2,2,990000,2015-03-18,-33.9789763018391,151.071958258316,684.022638565853
54,"19/2a Rosa Street Oatley 2223",3,2,2,940000,2015-03-06,-33.9788670437312,151.083259746005,441.474227031582
55,"1/19-21 Ada St Oatley 2223",3,2,3,1100000,2015-03-02,-33.9807149181053,151.083694599142,428.564396915983
56,"1/8 Louisa Street Oatley 2223",3,2,2,967000,2014-11-08,-33.9780369838597,151.085852436296,696.720088182191
57,"150B Hurstville Road Oatley 2223",2,1,1,695000,2014-10-07,-33.9781334595653,151.083141225895,476.932604308234
58,"5/2A Rosa Street Oatley 2223",3,2,2,855000,2014-08-23,-33.9785430831735,151.08299881736,439.552165631606
59,"3/50 Woronora Parade Oatley 2223",2,1,1,810000,2014-03-01,-33.9769816603404,151.07554965237,529.820075607528
60,"4/2a Rosa Street Oatley 2223",3,2,2,855000,2014-02-21,-33.9784750221197,151.083000074645,443.93084925647
61,"1/27 Waratah Street Oatley 2223",3,3,2,1080000,2014-02-05,-33.9774558246031,151.077667340207,388.578125966248
