"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"13/17 Binya Place Como 2226",2,1,1,840000,2023-03-15,-34.0038955323416,151.064559217107,314.902351383573
2,"16/55-61 Cremona Road Como 2226",3,3,2,1160000,2021-12-17,-34.0012929514057,151.067152158854,336.612222294077
3,"3/11-13 Wollun Street Como 2226",2,1,1,985000,2021-11-02,-34.0068593733045,151.066121436221,336.262038513547
4,"4/11-13 Wollun Street Como 2226",2,1,1,970000,2021-06-25,-34.0068593733045,151.066121436221,336.262038513547
5,"9/26 Wollun Street Como 2226",4,3,2,1450000,2021-04-26,-34.0076356213575,151.065030028608,463.570836128997
6,"7/26 Wollun Street Como 2226",4,3,2,1340000,2021-03-09,-34.0076356213575,151.065030028608,463.570836128997
7,"2/26 Wollun Street Como 2226",3,3,2,1230000,2020-10-09,-34.0076356213575,151.065030028608,463.570836128997
8,"8/26 Wollun Street Como 2226",4,3,2,1400000,2020-03-11,-34.0076356213575,151.065030028608,463.570836128997
9,"6/26 Wollun Street Como 2226",4,3,2,1290000,2019-12-04,-34.0076356213575,151.065030028608,463.570836128997
10,"5/26 Wollun Street Como 2226",4,3,2,1330000,2019-11-14,-34.0076356213575,151.065030028608,463.570836128997
11,"4/26 Wollun Street Como 2226",4,3,2,1300000,2019-09-16,-34.0076356213575,151.065030028608,463.570836128997
12,"1/26 Wollun Street Como 2226",4,3,2,1400000,2019-05-01,-34.0076356213575,151.065030028608,463.570836128997
13,"3/26 Wollun Street Como 2226",3,3,2,1200000,2019-04-17,-34.0076356213575,151.065030028608,463.570836128997
14,"2/17 Binya Place Como 2226",3,1,2,872000,2018-03-23,-34.0041787149404,151.06530512267,243.772855373537
15,"10/17 Binya Place Como 2226",3,1,1,830000,2017-05-20,-34.0036921035516,151.064928020847,285.170622389996
16,"4/30 Wollun Street Como 2226",4,3,2,1250000,2017-04-13,-34.0074106929858,151.064709169355,461.984276536482
17,"3/30 Wollun Street Como 2226",4,3,2,1285000,2017-04-10,-34.0074106929858,151.064709169355,461.984276536482
18,"2/30 Wollun Street Como 2226",4,3,2,1295000,2017-03-07,-34.0074106929858,151.064709169355,461.984276536482
19,"1/30 Wollun Street Como 2226",4,3,2,1350000,2017-01-12,-34.0074106929858,151.064709169355,461.984276536482
20,"5/30 Wollun Street Como 2226",4,3,2,1205000,2016-12-20,-34.0074106929858,151.064709169355,461.984276536482
21,"6/30 Wollun Street Como 2226",4,3,2,1320000,2016-12-15,-34.0074106929858,151.064709169355,461.984276536482
22,"1/17 Binya Place Como 2226",2,1,2,805000,2016-07-12,-34.0041263699551,151.065505031061,225.597938558558
23,"2/17 Binya Place Como 2226",2,1,2,665000,2014-07-25,-34.0041787149404,151.06530512267,243.772855373537
24,"1/38-40 Wollun Street Como 2226",3,2,2,690000,2014-03-28,-34.0070609999853,151.063896795299,487.752396401983
25,"57B Wolger Street Como 2226",3,2,1,725000,2013-11-23,-34.003491315061,151.061446932639,605.54384196087
26,"5/11-13 Wollun Street Como 2226",2,1,1,625000,2013-11-01,-34.0068593733045,151.066121436221,336.262038513547
27,"5/11 Wollun Street Como 2226",2,1,1,625000,2013-11-01,-34.0068593733045,151.066121436221,336.262038513547
28,"1/55 Cremona Road Como 2226",3,2,2,1060000,2013-09-01,-34.0007423441861,151.067548036141,391.5688528117
29,"2/5a Binya Place Como 2226",3,2,2,599000,2013-07-18,-34.003030603753,151.066098218349,217.528888155298
