"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"6/89-91 Jannali Avenue Jannali 2226",3,1,1,912500,2023-02-15,-34.0220326716183,151.0631384007,695.293727606434
2,"41/28-32 Railway Crescent Jannali 2226",2,1,2,735000,2022-11-03,-34.0146041680195,151.065510646936,169.033510323299
3,"10/50-54 Ninth Avenue Jannali 2226",3,2,2,970000,2022-08-30,-34.0169610334639,151.07485102074,957.768657998544
4,"7/42-48 Ninth Avenue Jannali 2226",2,1,1,925000,2022-04-14,-34.016425346032,151.075201971026,984.562737747602
5,"2/32 Roberts Street Jannali 2226",3,2,2,1410000,2021-12-18,-34.0189376119612,151.066490659056,382.860080227377
6,"29/135-139 Sutherland Road Jannali 2226",3,2,2,1384000,2021-10-15,-34.0200247448031,151.060358793968,600.574966705385
7,"19/42-48 Ninth Avenue Jannali 2226",3,2,2,1240000,2021-09-18,-34.0162112303154,151.074956465082,960.790713599491
8,"4/42-48 Ninth Avenue Jannali 2226",3,2,2,1150000,2021-09-07,-34.016400242232,151.07492981063,959.329344590281
9,"7/99-101 Soldiers Road Jannali 2226",3,2,2,1120000,2021-06-26,-34.0159283410832,151.060764561901,349.357547956152
10,"1/2 Sutherland Road Jannali 2226",4,2,1,1250000,2021-05-29,-34.0088933678385,151.064708163526,779.820840236587
11,"9/12 Lenna Place Jannali 2226",2,1,1,802500,2021-05-22,-34.0211469978193,151.066091512826,601.42931167479
12,"13/12 Lenna Place Jannali 2226",2,1,2,770000,2021-04-21,-34.021320670853,151.06619854973,622.569464226615
13,"14/12 Lenna Place Jannali 2226",2,1,2,815000,2021-03-30,-34.0212618298928,151.066267113698,617.811196987756
14,"27/28-32 Railway Crescent Jannali 2226",2,1,2,730000,2021-03-24,-34.0144330095567,151.065601590586,189.679742226751
15,"37/28-32 Railway Crescent Jannali 2226",2,1,2,660000,2020-11-26,-34.0146341333234,151.065727319133,177.664910594391
16,"5/28-30 Roberts Street Jannali 2226",3,2,2,992000,2020-11-21,-34.0186698520643,151.06654916474,359.523041661286
17,"10/42-48 Ninth Avenue Jannali 2226",3,2,2,835000,2020-11-04,-34.0164825944307,151.075416128652,1004.68136463852
18,"8/50-54 Ninth Avenue Jannali 2226",3,2,2,790000,2020-10-23,-34.0169610334639,151.07485102074,957.768657998544
19,"1/12 Lenna Place Jannali 2226",3,1,1,830000,2020-09-16,-34.0211083991551,151.065876349372,592.842898365542
20,"7/50-54 Ninth Avenue Jannali 2226",2,1,1,718000,2020-06-04,-34.0169610334639,151.07485102074,957.768657998544
21,"36/28-32 Railway Crescent Jannali 2226",2,1,2,595000,2020-05-27,-34.01463702508,151.065776604724,180.229335826356
22,"26/135-139 Sutherland Road Jannali 2226",3,2,1,935000,2020-05-14,-34.0197432804945,151.060297103161,580.789445892504
23,"8 Roberts Street Jannali 2226",3,2,1,910000,2020-02-04,-34.0169212613334,151.066831215782,239.316669325374
24,"1/112 Railway Crescent Jannali 2226",3,2,2,970000,2019-12-06,-34.0184205742639,151.065498576996,294.182917977111
25,"8/16-18 Soldiers Road Jannali 2226",3,1,2,976000,2019-10-31,-34.0099142417358,151.06202251793,705.712368115709
26,"15/12 Lenna Place Jannali 2226",2,1,2,675000,2019-09-26,-34.0211894521588,151.066345233035,611.937856848812
27,"33/28-32 Railway Crescent Jannali 2226",2,1,2,617000,2019-07-24,-34.0146650625461,151.065934268323,187.402334339386
28,"28/135-139 Sutherland Road Jannali 2226",3,2,1,892500,2018-11-20,-34.0198918497283,151.060327445651,591.23687932559
29,"3/100 Wattle Road Jannali 2226",3,1,1,823000,2018-10-13,-34.0196033865305,151.067449213503,491.656963024468
30,"12/135-139 Sutherland Road Jannali 2226",3,2,1,845000,2018-09-19,-34.0203595599254,151.060652831132,613.251580205636
31,"2/91-95 Wattle Road Jannali 2226",2,1,1,810000,2018-06-08,-34.0159697057754,151.06767971584,288.837962786067
32,"2/38B Toronto Parade Jannali 2226",3,2,2,840000,2018-05-19,-34.0226862312839,151.064164901582,756.566679181653
33,"4/42-48 Ninth Avenue Jannali 2226",3,2,2,943000,2018-04-04,-34.016400242232,151.07492981063,959.329344590281
34,"32/139 Sutherland Road Jannali 2226",3,2,1,895000,2017-12-13,-34.0202664369812,151.060401709313,618.942379108739
35,"3/112 Railway Crescent Jannali 2226",3,2,1,1050000,2017-10-31,-34.0184205742639,151.065498576996,294.182917977111
36,"9/99-101 Soldiers Road Jannali 2226",3,2,2,1030000,2017-07-20,-34.0159283410832,151.060764561901,349.357547956152
37,"36/135-139 Sutherland Road Jannali 2226",3,2,1,920000,2016-12-24,-34.0206498671419,151.06040891775,652.62611845201
38,"2/100 Wattle Road Jannali 2226",3,1,1,851000,2016-11-03,-34.0196033865305,151.067449213503,491.656963024468
39,"31/135-139 Sutherland Road Jannali 2226",3,2,1,927000,2016-09-10,-34.0201879404579,151.060391231934,612.705026632734
40,"1/12 Lenna Place Jannali 2226",3,1,1,757500,2016-08-25,-34.0211083991551,151.065876349372,592.842898365542
41,"11/99-101 Soldiers Road Jannali 2226",3,2,2,820000,2016-06-22,-34.0159283410832,151.060764561901,349.357547956152
42,"8/42-48 Ninth Avenue Jannali 2226",3,2,2,823000,2016-05-26,-34.0164496535512,151.075274893583,991.443384920043
43,"5/12 Lenna Place Jannali 2226",2,1,1,732500,2016-05-06,-34.021328382204,151.065876349372,616.8250085322
44,"10/20-22 Toronto Parade Jannali 2226",2,1,1,710000,2016-04-19,-34.0215352056648,151.065523638886,633.986811316402
45,"3/12 Lenna Place Jannali 2226",2,1,1,745000,2016-03-09,-34.0214171465586,151.065766378802,624.611184658498
46,"30/24 Toronto Parade (Access via Wattle road) Jannali 2226",2,1,1,715000,2015-12-01,-34.022238992165,151.065123067733,707.916104418555
47,"10/99 Soldiers Road Jannali 2226",2,1,1,759000,2015-11-21,-34.0159283410832,151.060764561901,349.357547956152
48,"4/24 Toronto Parade Jannali 2226",2,1,1,7e+05,2015-11-05,-34.0202570911591,151.065259692755,489.70890963916
49,"3/20-22 Toronto Parade Jannali 2226",2,1,1,6e+05,2015-09-30,-34.0215961421009,151.065044864577,636.018178726741
50,"6/89 Jannali Avenue Jannali 2226",3,1,1,710000,2015-09-11,-34.0220326716183,151.0631384007,695.293727606434
51,"11/12 Lenna Place Jannali 2226",2,1,2,760000,2015-09-10,-34.0214461060341,151.066037449551,632.730690881235
52,"9/12 Lenna Place Jannali 2226",2,1,2,745000,2015-09-08,-34.0211469978193,151.066091512826,601.42931167479
53,"1/100 Wattle Road Jannali 2226",3,1,1,856000,2015-08-25,-34.0196033865305,151.067449213503,491.656963024468
54,"1/42 Ninth Avenue Jannali 2226",2,1,1,810000,2015-08-04,-34.016371240847,151.074691429303,937.185048301053
55,"1/24 Toronto Parade (access via Wattle Road) Jannali 2226",3,1,2,825000,2015-07-11,-34.0218268958953,151.064755018365,660.337883906721
56,"5/99-101 Soldiers Road Jannali 2226",2,1,1,792000,2015-06-16,-34.0159283410832,151.060764561901,349.357547956152
57,"26/28-32 Railway Crescent Jannali 2226",2,1,2,581000,2015-02-18,-34.0144281480529,151.065549371329,187.733378403956
58,"7/99-101 Soldiers Road Jannali 2226",3,2,2,811000,2014-12-17,-34.0159283410832,151.060764561901,349.357547956152
59,"12/99-101 Soldiers Road Jannali 2226",2,1,1,630000,2014-11-04,-34.0159283410832,151.060764561901,349.357547956152
60,"7/42-48 Ninth Avenue Jannali 2226",2,1,1,625000,2014-10-22,-34.016425346032,151.075201971026,984.562737747602
61,"36/139 Sutherland Road Jannali 2226",3,2,1,680000,2014-07-15,-34.0206498671419,151.06040891775,652.62611845201
62,"16/135-139 Sutherland Rd Jannali 2226",3,2,1,702000,2014-07-14,-34.0200100764725,151.060619387338,584.098575408662
63,"1/99-101 Soldiers Road Jannali 2226",3,2,2,865000,2014-06-16,-34.0159283410832,151.060764561901,349.357547956152
64,"15/12-14 Lenna Place Jannali 2226",2,1,2,542000,2014-05-12,-34.0211894521588,151.066345233035,611.937856848812
65,"17b Warrigal Street Jannali 2226",3,2,1,781000,2014-04-16,-34.0108872130564,151.064039036196,559.725448095602
66,"35/28-32 Railway Crecent Jannali 2226",2,1,2,555000,2014-04-15,-34.0146438144216,151.065836535332,183.174294058706
67,"6/89 Jannali Avenue Jannali 2226",3,1,1,710000,2014-02-16,-34.0220326716183,151.0631384007,695.293727606434
68,"12/12 Lenna Place Jannali 2226",2,1,2,542000,2013-12-06,-34.0213911207492,151.06610500769,628.150638544952
69,"12/12-14 Lenna Place Jannali 2226",2,1,2,542000,2013-12-06,-34.0213911207492,151.06610500769,628.150638544952
70,"5/42 Ninth Avenue Jannali 2226",3,2,2,640000,2013-11-08,-34.0164010385128,151.075006672682,966.414583037267
71,"10/42-48 Ninth Avenue Jannali 2226",3,2,2,649950,2013-10-29,-34.0164825944307,151.075416128652,1004.68136463852
72,"28/139 Sutherland Road Jannali 2226",3,2,1,470000,2013-10-03,-34.0198918497283,151.060327445651,591.23687932559
73,"29/135 Sutherland Road Jannali 2226",3,2,1,665000,2013-09-17,-34.0200247448031,151.060358793968,600.574966705385
74,"29/135-139 Sutherland Road Jannali 2226",3,2,1,665000,2013-09-17,-34.0200247448031,151.060358793968,600.574966705385
75,"18/12 Lenna Place Jannali 2226",2,1,1,535000,2013-09-11,-34.0213524801756,151.066413713184,631.119805138808
76,"14/12-14 Lenna Place Jannali 2226",2,1,2,547500,2013-08-29,-34.0212618298928,151.066267113698,617.811196987756
77,"14/12 Lenna Place Jannali 2226",2,1,2,547500,2013-08-29,-34.0212618298928,151.066267113698,617.811196987756
78,"8/50-54 Ninth Avenue Jannali 2226",3,2,2,616000,2013-08-02,-34.0169610334639,151.07485102074,957.768657998544
79,"8/50 Ninth Avenue Jannali 2226",3,2,2,616000,2013-08-02,-34.0169610334639,151.07485102074,957.768657998544
80,"1/24 Toronto Pde (access via wattle road) Jannali 2226",3,1,2,535000,2013-07-23,-34.0218268958953,151.064755018365,660.337883906721
81,"9/85 Jannali Avenue Jannali 2226",2,1,2,550000,2013-06-19,-34.0217820527133,151.063317857247,664.877853547414
82,"12/99 Soldiers Road Jannali 2226",2,1,1,549950,2013-04-26,-34.0159283410832,151.060764561901,349.357547956152
83,"12/153-157 Wattle Road Jannali 2226",2,1,1,518500,2013-02-21,-34.0217044781995,151.065855981347,657.565820642062
84,"5/12 Lenna Place Jannali 2226",2,1,1,515000,2013-02-20,-34.021328382204,151.065876349372,616.8250085322
85,"33/28 Railway Crescent Jannali 2226",2,1,2,455000,2013-02-01,-34.0146650625461,151.065934268323,187.402334339386
86,"33/28-32 Railway Crescent Jannali 2226",2,1,2,455000,2013-02-01,-34.0146650625461,151.065934268323,187.402334339386
87,"20/135 Sutherland Road Jannali 2226",2,1,1,710000,2013-02-01,-34.0196794523018,151.060783588821,545.952872817407
88,"10/139 Sutherland Road Jannali 2226",3,2,2,499950,2013-01-01,-34.020318656238,151.060914597968,595.638680052291
89,"26/135-139 Sutherland Road Jannali 2226",3,2,1,615000,2012-10-26,-34.0197432804945,151.060297103161,580.789445892504
90,"28/24 Toronto Parade Jannali 2226",2,1,1,455000,2012-10-26,-34.0222783032908,151.06528265917,713.523153342855
91,"26/139 Sutherland Road Jannali 2226",3,2,1,615000,2012-10-26,-34.0197432804945,151.060297103161,580.789445892504
92,"2/2 Carol Avenue Jannali 2226",4,1,2,630000,2012-10-01,-34.0219640238313,151.060138852829,788.526315471397
93,"17/12 Lenna Place Jannali 2226",2,1,1,490000,2012-09-29,-34.0214219661529,151.066321093154,636.318578457948
94,"9/50-54 Ninth Avenue Jannali 2226",2,1,1,532500,2012-09-19,-34.0169610334639,151.07485102074,957.768657998544
95,"7/89-91 Jannali Avenue Jannali 2226",2,1,1,485000,2012-09-05,-34.0220326716183,151.0631384007,695.293727606434
96,"42/28 Railway Crescent Jannali 2226",2,1,2,580000,2012-09-01,-34.0145983425968,151.065452644166,166.852908125857
97,"9/139 Sutherland Road Jannali 2226",3,2,1,574000,2012-09-01,-34.0202314006259,151.060915939073,587.567620108812
98,"26/135 Sutherland Road Jannali 2226",2,2,1,615000,2012-09-01,-34.0197432804945,151.060297103161,580.789445892504
99,"2/20 Toronto Parade Jannali 2226",2,1,1,449000,2012-08-31,-34.0200938116853,151.065403107119,473.718646741229
100,"9/42-48 Ninth Avenue Jannali 2226",2,1,1,537000,2012-08-17,-34.0164574906307,151.07534789996,998.220907745053
101,"3/50 Ninth Avenue Jannali 2226",3,2,2,583000,2012-08-04,-34.0169610334639,151.07485102074,957.768657998544
102,"37/28 Railway Crescent Jannali 2226",2,1,2,467000,2012-07-17,-34.0146341333234,151.065727319133,177.664910594391
103,"1/10 Lenna Place Jannali 2226",3,2,1,850000,2012-07-01,-34.0207724943854,151.066404157815,569.00353738593
