"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"9/23-29 Hotham Road Gymea 2227",3,2,2,1130000,2023-03-09,-34.0313001228642,151.080803345461,586.092562644768
2,"16/13-17 Moani Avenue Gymea 2227",2,1,1,805000,2023-02-06,-34.0340587748373,151.081250184719,398.835064877455
3,"2/24 Kenna Place Gymea 2227",3,3,1,1305000,2023-02-03,-34.0376436310064,151.08070988724,534.938212603708
4,"7/63 Manchester Road Gymea 2227",3,2,2,1390000,2023-02-02,-34.0339562641615,151.088497513481,298.875814284579
5,"8/52-56 Manchester Road Gymea 2227",3,1,1,1115000,2023-01-31,-34.0347099229855,151.089025238105,329.713670292741
6,"6/1 Tathra Place Gymea 2227",2,2,2,9e+05,2023-01-31,-34.0434872005337,151.078822450283,1136.55702731929
7,"4/641-643 Kingsway Gymea 2227",3,1,2,920000,2022-12-13,-34.0327755892802,151.092230980793,667.509199549968
8,"7/649-653 Kingsway Gymea 2227",3,2,2,1180000,2022-12-02,-34.032551918194,151.09150929893,615.715819806931
9,"25/78a Hotham Road Gymea 2227",3,2,2,1010000,2022-12-02,-34.0364127904346,151.081389827226,412.007313480219
10,"47/1-9 Warburton Street Gymea 2227",3,2,2,807500,2022-11-26,-34.032986226507,151.084760693407,220.827640817661
11,"5/11-13 Nyinya Avenue Gymea 2227",3,2,2,1170000,2022-11-22,-34.034362828375,151.089676344343,393.510500542632
12,"2/168 Forest Road Gymea 2227",3,2,2,1250000,2022-11-18,-34.0426428914269,151.08831755402,903.106261016292
13,"1/6-10 Ruby Road Gymea 2227",3,2,2,1100000,2022-11-10,-34.0245768306891,151.089984211647,1221.04236415666
14,"1/63 Milburn Road Gymea 2227",4,3,2,1480000,2022-11-09,-34.0318006063028,151.085324208758,343.472463909215
15,"5/24 Kenna Place Gymea 2227",4,3,1,1305000,2022-10-28,-34.0376436310064,151.08070988724,534.938212603708
16,"5/56-58 Hotham Road Gymea 2227",2,1,1,806000,2022-10-27,-34.0344531433817,151.080810805355,431.317078298686
17,"6/753 Kingsway Gymea 2227",2,1,1,820000,2022-09-08,-34.0313500370976,151.079351348374,687.06855604305
