"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"3/19 Burke Road Cronulla 2230",3,2,1,1548000,2022-12-23,-34.0482773743795,151.153603024387,853.674804474678
2,"5/18-22 Kurnell Road Cronulla 2230",3,2,1,1610000,2022-12-22,-34.0451568756463,151.150987786777,1180.11130957328
3,"1/40 Trevellyan Street Cronulla 2230",3,2,3,4400000,2022-12-15,-34.0660983901779,151.149777859053,1163.21922380922
4,"5/11-13 Marlo Road Cronulla 2230",3,2,2,1970000,2022-10-05,-34.04762287347,151.156041739115,996.183007323213
5,"1/32 Seaview Street Cronulla 2230",3,2,3,2080000,2022-07-29,-34.0458678705831,151.153031546228,1108.77773235761
6,"2/12 Wilshire Avenue Cronulla 2230",3,3,2,3300000,2022-07-08,-34.0650637280499,151.152287987597,1039.35240369868
7,"10/21-25 Wyanbah Road Cronulla 2230",3,3,3,1800000,2022-06-02,-34.0453575384083,151.153667565041,1173.63307616872
8,"2/7-11 Berry Street Cronulla 2230",4,2,1,1810000,2022-03-18,-34.0409862501738,151.158658736925,1770.45076891408
9,"4/6-8 Judd Street Cronulla 2230",3,2,2,1797500,2022-03-09,-34.0444973875044,151.152215316497,1254.16427240377
10,"97a Nicholson Parade Cronulla 2230",3,1,1,2125000,2022-02-07,-34.064542750858,151.148470868891,1018.45552861548
11,"5/46-48 Elouera Road Cronulla 2230",3,2,2,2880000,2021-11-30,-34.0434765974262,151.156372740472,1437.66522548146
12,"3/3-7 Seaview Street Cronulla 2230",3,2,2,1720000,2021-11-19,-34.0444866167589,151.15265997646,1258.13067596446
13,"1/3 Hume Road Cronulla 2230",3,2,2,2585000,2021-11-11,-34.0440459381994,151.158668376114,1460.20165952703
14,"2/3 Hume Road Cronulla 2230",3,2,2,2450000,2021-11-11,-34.0440459381994,151.158668376114,1460.20165952703
15,"6/33 Connels Road Cronulla 2230",3,2,2,1850000,2021-10-27,-34.0533575620751,151.145054237519,652.854636619975
16,"2/7 Hume Road Cronulla 2230",4,3,2,2330000,2021-07-23,-34.044018361738,151.158199157174,1443.94717887124
17,"4/32 Seaview Street Cronulla 2230",3,2,2,2e+06,2021-07-16,-34.0458678705831,151.153031546228,1108.77773235761
