"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"5/14 First Avenue Loftus 2232",2,1,1,870000,2022-10-24,-34.0372911300684,151.050984222,870.016258980832
2,"7/153-155 Loftus Avenue Loftus 2232",4,2,2,1200000,2022-04-01,-34.0488854814548,151.050625644182,424.190681644762
3,"2/25-29 Loftus Avenue Loftus 2232",3,2,1,1045000,2021-11-01,-34.0388808837342,151.051293849503,692.876633619355
4,"4/211-213 Loftus Avenue Loftus 2232",3,2,2,920000,2021-03-02,-34.052672299581,151.046416420045,950.91924961247
5,"12/149-151 Loftus Avenue Loftus 2232",4,2,2,880000,2020-12-19,-34.0486790770891,151.050699237292,400.565910310453
6,"7/6-8 First Avenue Loftus 2232",3,2,2,910000,2020-11-17,-34.037188577483,151.051659887215,882.234314372611
7,"1/35 National Avenue Loftus 2232",3,1,1,825000,2019-07-05,-34.0397690721041,151.049534404208,613.465085736908
8,"2/155 Loftus Avenue Loftus 2232",4,2,2,845000,2018-08-08,-34.0490164067824,151.050575939496,439.231341880018
9,"6/6 First Avenue Loftus 2232",3,2,2,895000,2017-05-20,-34.037188577483,151.051659887215,882.234314372611
10,"9/40-42 First Avenue Loftus 2232",2,1,2,795000,2017-05-17,-34.0370493959808,151.048485995759,930.958114505175
11,"1/95 Loftus Avenue Loftus 2232",4,2,2,780000,2015-04-02,-34.044385489097,151.050382149895,109.907222601505
12,"3/8 Second Avenue Loftus 2232",2,1,1,680000,2015-02-21,-34.0380781069575,151.050784062152,783.119730050945
13,"2/213 Loftus Avenue Loftus 2232",3,2,2,750000,2014-03-17,-34.052672299581,151.046416420045,950.91924961247
14,"2/211-213 Loftus Avenue Loftus 2232",3,2,2,750000,2014-03-17,-34.052672299581,151.046416420045,950.91924961247
15,"9/112 National Avenue Loftus 2232",3,2,3,662000,2013-09-18,-34.0486576613265,151.050067409431,409.055455433935
16,"2/10 First Avenue Loftus 2232",3,2,2,625000,2013-06-07,-34.0371393757114,151.05132100687,886.756601252021
17,"2/10-12 First Avenue Loftus 2232",3,2,2,625000,2013-06-07,-34.0371393757114,151.05132100687,886.756601252021
18,"4/10 First Avenue Loftus 2232",3,2,2,615000,2013-05-07,-34.0371393757114,151.05132100687,886.756601252021
19,"6/6 First Avenue Loftus 2232",3,2,2,580000,2013-05-01,-34.037188577483,151.051659887215,882.234314372611
20,"4/211-213 Loftus Avenue Loftus 2232",3,2,2,560000,2012-08-07,-34.052672299581,151.046416420045,950.91924961247
21,"4/213 Loftus Avenue Loftus 2232",3,2,2,560000,2012-08-07,-34.052672299581,151.046416420045,950.91924961247
22,"7/6 First Avenue Loftus 2232",3,2,2,580000,2012-02-14,-34.037188577483,151.051659887215,882.234314372611
23,"7/6-8 First Avenue Loftus 2232",3,2,2,580000,2012-02-14,-34.037188577483,151.051659887215,882.234314372611
24,"7/155 Loftus Avenue Loftus 2232",4,2,1,479950,2011-12-23,-34.0488854814548,151.050625644182,424.190681644762
25,"7/149 Loftus Avenue Loftus 2232",4,2,1,552000,2011-12-01,-34.0488854814548,151.050625644182,424.190681644762
26,"2/27 National Avenue Loftus 2232",2,1,1,479000,2011-12-01,-34.0388629464614,151.049593999539,710.407797717317
27,"4/27 National Avenue Loftus 2232",3,1,1,528000,2011-07-01,-34.0388629464614,151.049593999539,710.407797717317
28,"9/40 First Avenue Loftus 2232",2,1,2,465000,2011-02-07,-34.0370493959808,151.048485995759,930.958114505175
29,"11/149-155 Loftus Avenue Loftus 2232",3,2,2,510000,2010-08-25,-34.0486953379813,151.050795712998,401.442805325845
