"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"5/273 Cooriengah Heights Road Engadine 2233",3,2,2,1100000,2023-04-11,-34.0540815489618,151.006127880423,1704.25758270773
2,"1/11 Waratah Road Engadine 2233",2,2,2,850000,2022-12-19,-34.0643954808192,151.010547825606,529.089901701027
3,"17/223 Woronora Road Engadine 2233",3,2,2,1090000,2022-12-11,-34.0647422401536,151.003746162636,1065.60955399643
4,"7/82-86 Banksia Avenue Engadine 2233",3,2,2,880000,2022-10-28,-34.065912521475,151.009186269254,548.593785411985
5,"1/29 Nolan Avenue Engadine 2233",3,2,2,1120000,2022-10-21,-34.0640503978655,151.017786856283,484.577553714863
6,"3/35 Morrison Avenue Engadine 2233",3,2,2,1202000,2022-10-18,-34.0590115329525,151.014882862109,957.701675833663
7,"15/223 Woronora Road Engadine 2233",3,2,2,1170000,2022-10-01,-34.0649540508468,151.003847667484,1049.78964586092
8,"2/91-93 Caldarra Avenue Engadine 2233",3,2,1,915000,2022-08-18,-34.0631658975329,151.014796360868,495.189007059797
9,"17/199 Woronora Road Engadine 2233",3,1,1,855000,2022-07-28,-34.0632813163396,151.003455059139,1149.46683506643
10,"4/79-81 Caldarra Avenue Engadine 2233",2,1,1,770000,2022-07-25,-34.0624157171987,151.015210426885,580.119847069836
11,"16/42-46 Anzac Avenue Engadine 2233",3,2,2,795000,2022-07-20,-34.061662812746,151.012220099108,702.980148993467
12,"5/223 Woronora Road Engadine 2233",4,2,2,1075000,2022-07-13,-34.0650721937721,151.004240024371,1011.36979298492
13,"3/183 Woronora Road Engadine 2233",3,1,2,1037500,2022-06-20,-34.0615872079793,151.003820845393,1212.24263680166
14,"1/13 Waratah Road Engadine 2233",3,2,2,915000,2022-06-17,-34.0644462751525,151.010381444828,536.747052582887
15,"3/13 Waratah Road Engadine 2233",2,2,2,992500,2022-06-03,-34.0644462751525,151.010381444828,536.747052582887
16,"1/15-17 McAlister Avenue Engadine 2233",3,2,2,1140000,2022-05-27,-34.0676790075692,151.00748038432,672.191515965491
17,"9/15-17 McAlister Avenue Engadine 2233",3,2,2,1100000,2022-05-20,-34.0676790075692,151.00748038432,672.191515965491
18,"13/223 Woronora Road Engadine 2233",3,2,2,1075000,2022-05-02,-34.0646251868758,151.003965768499,1050.36433426678
19,"4/13 Waratah Road Engadine 2233",3,2,2,1010000,2022-05-02,-34.0644462751525,151.010381444828,536.747052582887
20,"3/273 Cooriengah Heights Road Engadine 2233",3,2,2,1240000,2022-04-13,-34.0540815489618,151.006127880423,1704.25758270773
21,"2/32 Anzac Avenue Engadine 2233",3,2,2,965000,2022-04-08,-34.0622362187422,151.013935287955,603.595358849813
22,"2/13 Waratah Road Engadine 2233",2,1,2,920000,2022-03-22,-34.0644462751525,151.010381444828,536.747052582887
23,"5/13 Waratah Road Engadine 2233",2,2,2,985000,2022-03-15,-34.0644462751525,151.010381444828,536.747052582887
24,"4/223 Woronora Road Engadine 2233",4,2,2,1151000,2022-02-22,-34.0650432342966,151.004335913344,1003.79806478193
25,"5/2-4 Anzac Avenue Engadine 2233",2,2,1,890000,2022-01-25,-34.0639809537977,151.01838968276,524.439113061421
26,"2/1132 Old Princes Highway Engadine 2233",3,2,2,1275000,2022-01-24,-34.0711117741052,151.009860928641,597.042335417367
27,"1/1132 Old Princes Highway Engadine 2233",3,2,2,1315000,2022-01-18,-34.0711117741052,151.009860928641,597.042335417367
28,"2/15 Dernancourt Avenue Engadine 2233",3,1,2,1100000,2021-11-18,-34.0627202317411,151.012985953602,569.077411008146
29,"4/7 Dernancourt Avenue Engadine 2233",3,1,1,1e+06,2021-11-16,-34.0622227657876,151.01293331525,623.598448547577
30,"10/2-4 Anzac Avenue Engadine 2233",3,2,2,1125000,2021-10-28,-34.0639809537977,151.01838968276,524.439113061421
31,"6/160-166 Woronora Road Engadine 2233",3,2,2,1050000,2021-10-06,-34.0618839273517,151.004778058736,1120.64362259156
32,"2/160 Woronora Road Engadine 2233",3,2,2,1050000,2021-09-21,-34.0618839273517,151.004778058736,1120.64362259156
33,"7/160-166 Woronora Road Engadine 2233",3,2,2,1050000,2021-08-19,-34.0618839273517,151.004778058736,1120.64362259156
34,"3/13 Dernancourt Avenue Engadine 2233",3,1,1,955000,2021-08-16,-34.0627202317411,151.012985953602,569.077411008146
35,"25/199 Woronora Road Engadine 2233",3,2,2,1025000,2021-08-13,-34.0626405198419,151.003188598437,1202.93955950818
36,"1/160-166 Woronora Road Engadine 2233",3,2,2,1050000,2021-07-29,-34.0618839273517,151.004778058736,1120.64362259156
37,"2/21-23 Nolan Avenue Engadine 2233",3,1,1,905000,2021-07-16,-34.0638965899422,151.016978254084,461.255211291198
38,"13/160-166 Woronora Road Engadine 2233",4,3,2,1195000,2021-07-16,-34.0618839273517,151.004778058736,1120.64362259156
39,"8/1-3 McAlister Avenue Engadine 2233",3,2,2,1030000,2021-06-16,-34.0673277639166,151.008606157735,569.23511956151
40,"5/2 Wollybutt Road Engadine 2233",3,2,2,1010000,2021-06-08,-34.051852675179,151.012020945089,1772.77906175836
41,"4/160 Woronora Road Engadine 2233",3,2,2,1025000,2021-06-04,-34.0618839273517,151.004778058736,1120.64362259156
42,"1/82 Fairview Avenue Engadine 2233",4,2,2,1028000,2021-05-21,-34.0702974722117,151.003355817405,1094.04705011663
43,"3/73 Caldarra Avenue Engadine 2233",3,2,2,1100000,2021-05-17,-34.0616693506305,151.015627929482,666.496623785308
44,"2/73 Caldarra Avenue Engadine 2233",3,2,2,1100000,2021-05-07,-34.0616693506305,151.015627929482,666.496623785308
45,"3/68 Cambrai Avenue Engadine 2233",3,2,2,1120000,2021-04-27,-34.0624092631333,151.01173084742,643.609451857719
46,"3/68-70 Cambrai Avenue Engadine 2233",3,2,2,1120000,2021-04-27,-34.0624092631333,151.01173084742,643.609451857719
47,"3/68 Caldarra Avenue Engadine 2233",4,2,2,1100000,2021-04-23,-34.0609201342151,151.016953946565,771.930881578777
48,"1/73 Caldarra Avenue Engadine 2233",3,2,2,1150000,2021-04-19,-34.0616693506305,151.015627929482,666.496623785308
49,"2/68 Cambrai Avenue Engadine 2233",4,2,2,1120000,2021-04-16,-34.0624092631333,151.01173084742,643.609451857719
50,"6/68 Cambrai Avenue Engadine 2233",4,2,2,1140000,2021-04-09,-34.0624092631333,151.01173084742,643.609451857719
51,"8/68 Cambrai Avenue Engadine 2233",4,2,2,1140000,2021-04-07,-34.0624092631333,151.01173084742,643.609451857719
52,"7/68 Cambrai Avenue Engadine 2233",4,2,2,1120000,2021-04-06,-34.0624092631333,151.01173084742,643.609451857719
53,"11/160 Woronora Road Engadine 2233",4,3,2,1100000,2021-04-01,-34.0618839273517,151.004778058736,1120.64362259156
54,"7/1113-1117 Old Princes Highway Engadine 2233",3,2,2,985000,2021-03-30,-34.0677100625204,151.01035613148,407.107079762991
55,"9/68 Cambrai Avenue Engadine 2233",4,2,2,1140000,2021-03-30,-34.0624092631333,151.01173084742,643.609451857719
56,"12/160 Woronora Road Engadine 2233",4,3,2,1100000,2021-03-29,-34.0618839273517,151.004778058736,1120.64362259156
