"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"8/37 Kingsclare Street Leumeah 2560",2,1,1,530000,2022-12-13,-34.0588108701905,150.828464138707,915.649670601093
2,"7/37 Kingsclare Street Leumeah 2560",2,1,1,536000,2022-06-23,-34.0588108701905,150.828464138707,915.649670601093
3,"7/8 Rudd Road Leumeah 2560",2,1,1,520000,2022-06-20,-34.0548970662313,150.829535848847,468.910995213503
4,"17/35 Rudd Road Leumeah 2560",2,1,2,475000,2022-05-25,-34.054584924157,150.827462836554,513.280106067347
5,"2/2 Angle Road Leumeah 2560",2,1,1,460000,2022-04-08,-34.0535398684691,150.831834418155,327.63843553842
6,"12/35 Rudd Road Leumeah 2560",2,1,1,442000,2022-04-07,-34.054584924157,150.827462836554,513.280106067347
7,"16/43 Rudd Road Leumeah 2560",2,1,1,515000,2022-02-04,-34.0550595494244,150.826985654806,581.771476349367
8,"2/50 Parkhill Avenue Leumeah 2560",3,1,1,583000,2021-12-02,-34.0483101895304,150.842306767983,1113.8184550103
9,"5/1-3 Illawong Road Leumeah 2560",2,1,2,450000,2021-07-05,-34.0532686300824,150.831635264136,293.029769635651
10,"17/35 Rudd Road Leumeah 2560",2,1,1,418000,2021-06-30,-34.054584924157,150.827462836554,513.280106067347
11,"8/43 Rudd Road Leumeah 2560",2,1,1,470000,2021-05-05,-34.0550156701612,150.826597405051,599.174167128239
12,"3/28 Kimberley Street Leumeah 2560",2,1,1,450000,2021-04-30,-34.043960442787,150.841603358668,1267.03741268801
13,"12/26 Kingsclare Street Leumeah 2560",2,1,1,410000,2021-04-26,-34.0579445166783,150.828979122838,811.640713051505
14,"8/35 Rudd Road Leumeah 2560",2,1,1,390000,2020-12-21,-34.054584924157,150.827462836554,513.280106067347
15,"11/8 Rudd Road Leumeah 2560",3,1,1,415000,2020-12-11,-34.05445135853,150.829653111673,418.130268528724
16,"12/43 Rudd Road Leumeah 2560",2,1,1,4e+05,2020-10-27,-34.0548072541388,150.826674183284,576.610509145059
17,"60 Angle Road Leumeah 2560",4,3,1,627000,2020-10-14,-34.0578719293968,150.835042256319,889.394203653507
18,"1/29 Kingsclare Street Leumeah 2560",2,1,1,419000,2020-10-12,-34.0575549258187,150.82810983566,788.613414614324
