"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"13/17 Lagonda Drive Ingleburn 2565",2,1,1,5e+05,2023-04-12,-34.0100325103896,150.877421410232,1855.15224987764
2,"10/34 Kings Road Ingleburn 2565",2,1,1,656000,2023-02-27,-33.9970361599685,150.877313702776,1224.45075355591
3,"12/2-6 Macquarie Road Ingleburn 2565",3,2,1,615000,2023-01-20,-33.9945095609848,150.873918026161,971.653299671859
4,"4/14 Chester Road Ingleburn 2565",2,1,1,485000,2023-01-20,-34.0025320900616,150.861206283263,611.11781760738
5,"28C Ivanhoe Street Ingleburn 2565",3,2,1,720000,2022-12-05,-34.0091670369772,150.860065925336,1341.63473432142
6,"4/140 Ingleburn Rd Ingleburn 2565",2,1,1,602000,2022-12-05,-34.0050539113605,150.856939056356,1060.43634588187
7,"2/42 Macquarie Road Ingleburn 2565",2,1,1,590000,2022-11-18,-33.99525446072,150.870228060926,625.111019989603
8,"6/19 Kings Road Ingleburn 2565",2,1,1,505000,2022-11-04,-33.9972103359165,150.873879385588,906.930217680839
9,"7/105 Chester Road Ingleburn 2565",3,2,1,590000,2022-10-13,-34.0127551620886,150.872910856676,1876.35382943559
10,"2/140 Ingleburn Road Ingleburn 2565",2,1,1,625000,2022-09-26,-34.0050539113605,150.856939056356,1060.43634588187
11,"28A Ivanhoe Street Ingleburn 2565",3,2,1,712500,2022-09-23,-34.0090789850844,150.860165418526,1329.70056429929
12,"7/11 Kings Road Ingleburn 2565",2,1,1,465000,2022-09-13,-33.9965972416087,150.872943713736,826.9070722152
13,"15/17 Lagonda Drive Ingleburn 2565",2,1,1,5e+05,2022-09-09,-34.0099510382907,150.87730381213,1841.16482664911
14,"11/30 Kings Road Ingleburn 2565",2,1,1,5e+05,2022-09-07,-33.9967796318218,150.876437542437,1145.56105169134
15,"3/40-42 Chester road Ingleburn 2565",3,2,1,685000,2022-08-23,-34.0053166421155,150.864654598229,863.047946951064
16,"6/2A Suffolk Street Ingleburn 2565",3,1,NA,620000,2022-08-22,-34.0005395859482,150.862153605959,373.676484543162
