"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"Lot 4/8 Durham St Minto 2566",4,3,1,780000,2023-03-28,-34.0225990368159,150.847807894856,719.564949540073
2,"3/8 Durham Street Minto 2566",3,2,1,750000,2023-02-21,-34.0225990368159,150.847807894856,719.564949540073
3,"10/58 - 60 Kent Street Minto 2566",4,2,1,720000,2022-12-14,-34.0244306922073,150.848622280568,652.09757067288
4,"4/18 Westmoreland Road Minto 2566",2,1,1,420000,2022-08-19,-34.0425286041771,150.844889902903,1708.92695031127
5,"4/25 Surrey Street Minto 2566",2,1,1,490000,2022-07-22,-34.0250854026643,150.845309752433,360.681273253109
6,"9/14 Benham Road Minto 2566",5,1,2,751500,2022-06-15,-34.023031082015,150.857683704634,1482.53431670405
7,"3/17 Guernsey Avenue Minto 2566",4,2,1,835000,2022-05-19,-34.0212205071101,150.854888004649,1331.4629436128
8,"11/7 Hanlon Close * Minto 2566",2,1,1,455000,2022-01-17,-34.0176155762829,150.85834369569,1819.43276307778
9,"7/7 Susan Place Minto 2566",2,1,1,520000,2021-10-27,-34.0282859485728,150.847310680359,459.97340301444
10,"2/12 Kitson Place Minto 2566",2,1,2,505000,2021-09-13,-34.021088156859,150.859097647881,1683.46518476968
11,"6/14 Benham Road Minto 2566",4,2,1,670000,2021-08-19,-34.0229071974861,150.85741741157,1463.84865103519
12,"15/9-13 Surrey Street Minto 2566",2,1,1,415000,2021-08-05,-34.0267917905128,150.844304343147,179.08305792473
13,"27/18 Westmoreland Road Minto 2566",2,1,1,395000,2021-06-30,-34.0426416760509,150.845322576745,1727.04422625025
14,"4/14 Westmoreland Road Minto 2566",2,1,1,440000,2021-06-23,-34.0421968903589,150.844315742536,1666.07100995755
15,"10/25 Surrey Street Minto 2566",2,1,1,480000,2021-06-17,-34.0250854026643,150.845309752433,360.681273253109
16,"4/92 Minto Road Minto 2566",2,1,1,406000,2021-04-29,-34.0207930719577,150.85008081554,1009.79219619764
17,"1/12 KITSON PL Minto 2566",2,1,1,492000,2021-04-28,-34.021088156859,150.859097647881,1683.46518476968
18,"4/2a Collis Street Minto 2566",4,2,2,665000,2021-04-16,-34.0189984645783,150.854348126265,1434.44162512556
19,"10/4 Westmoreland Road Minto 2566",2,1,1,495000,2021-03-08,-34.0412820894463,150.84322718477,1557.06013720239
20,"3/14 Benham Rd Minto 2566",4,2,2,640000,2020-12-29,-34.022703601058,150.857484299158,1477.37785428191
21,"9/4-6 Francis Street Minto 2566",2,1,1,422000,2020-12-24,-34.0178341344082,150.85396683349,1496.11512900124
22,"18/9-13 Surrey Street Minto 2566",2,1,1,371000,2020-11-04,-34.026937719447,150.844234689532,168.302859716438
23,"1/10-14 Eagleview Road Minto 2566",2,1,1,435000,2020-10-22,-34.0186297446576,150.865689511814,2350.40689652009
24,"1/33 Blackwood Avenue Minto 2566",3,2,1,586000,2020-08-04,-34.0204257769605,150.853150771397,1248.54514256351
25,"10/4 Westmoreland Road Minto 2566",2,1,1,410000,2020-07-01,-34.0412820894463,150.84322718477,1557.06013720239
26,"3/9-13 Surrey Street Minto 2566",2,1,1,380000,2020-03-30,-34.0269606439522,150.844697873501,209.501993202615
27,"6/9 Surrey St Minto 2566",2,1,1,4e+05,2019-12-30,-34.0267573408907,150.844777417763,221.887977810131
28,"16/9-13 Surrey Street Minto 2566",2,1,1,360000,2019-09-24,-34.0268327780193,150.844288836626,176.303715004303
29,"4/89 Minto Road Minto 2566",2,1,1,450000,2019-08-19,-34.0199381178338,150.848899302468,1012.68382175477
30,"10/9-13 Surrey Street Minto 2566",2,1,1,345000,2019-08-02,-34.026507308719,150.844411799146,200.451777860947
31,"10/84 Townson Ave Minto 2566",2,1,1,360000,2019-07-02,-34.039457349125,150.847896910667,1442.16141607636
32,"3/34-36 Westmoreland Road Minto 2566",3,1,1,440000,2018-10-24,-34.0428642155802,150.847149915456,1784.68834145261
33,"6/25 Surrey St Minto 2566",2,1,1,440000,2018-10-16,-34.0250854026643,150.845309752433,360.681273253109
34,"7/84 Townson Ave Minto 2566",2,1,2,450000,2018-08-24,-34.0397321498207,150.848353808209,1485.76981535629
35,"6/2 Alderney st Minto 2566",2,1,1,460000,2018-05-17,-34.0382651491269,150.844674068896,1236.5220544361
36,"7/4-6 Francis Street Minto 2566",2,1,1,475000,2017-11-30,-34.0178341344082,150.85396683349,1496.11512900124
37,"4/89 Minto Road Minto 2566",2,1,1,485000,2017-09-01,-34.0199381178338,150.848899302468,1012.68382175477
38,"12/4 Westmoreland Road Minto 2566",2,1,3,420000,2017-07-31,-34.0414067283466,150.843143701015,1570.59562070003
39,"5/92 MINTO ROAD Minto 2566",2,1,1,443000,2017-04-07,-34.0207930719577,150.85008081554,1009.79219619764
40,"3/14 Benham Rd Minto 2566",4,2,1,580000,2017-04-03,-34.022703601058,150.857484299158,1477.37785428191
41,"5/9-13 Surrey Street Minto 2566",2,1,1,390000,2017-02-27,-34.0268475301689,150.844728215991,214.911125353912
42,"5/8 Redfern Road Minto 2566",3,1,1,550000,2017-02-20,-34.0282660415528,150.845091655313,264.604814920567
43,"13/7 Hanlon Place Minto 2566",2,1,1,435000,2016-12-23,-34.0177656961688,150.858282423978,1804.99728811204
44,"1/4-6 Francis Street * Minto 2566",2,1,1,440000,2016-12-19,-34.0178341344082,150.85396683349,1496.11512900124
45,"4/29 Blackwood Avenue Minto 2566",2,1,1,441000,2016-10-07,-34.0209099575975,150.852941726732,1200.63038909145
46,"2/25 Porter Street Minto 2566",3,1,1,485000,2016-06-17,-34.017858651475,150.863119955577,2176.68329153853
47,"5/7-9 Pembroke Road Minto 2566",3,1,1,568000,2016-06-07,-34.0284276027365,150.848237970308,546.84747799296
48,"10/4 Westmoreland Road Minto 2566",2,1,1,410000,2016-03-16,-34.0412820894463,150.84322718477,1557.06013720239
49,"5/25 Surrey Street Minto 2566",2,1,1,389000,2015-12-09,-34.0250854026643,150.845309752433,360.681273253109
50,"8/10-14 Eagleview Road Minto 2566",2,1,1,401175,2015-11-27,-34.0186297446576,150.865689511814,2350.40689652009
51,"1/7 Hanlon Cl Minto 2566",2,1,1,390000,2015-11-24,-34.0176002374001,150.859017852162,1870.86276991287
52,"12/9-13 Surrey Street Minto 2566",2,1,1,4e+05,2015-10-06,-34.0266106156756,150.844360920994,191.304754627021
53,"9/4-6 Francis Street Minto 2566",2,1,1,405000,2015-08-19,-34.0178341344082,150.85396683349,1496.11512900124
54,"8/14 Benham Road * Minto 2566",4,2,1,520000,2015-07-24,-34.0230434453222,150.857369467084,1454.65881996659
55,"7/8 Redfern Rd Minto 2566",3,1,1,5e+05,2015-06-29,-34.0282660415528,150.845091655313,264.604814920567
56,"10/7 Hanlon Close Minto 2566",3,1,1,405000,2015-06-29,-34.017589508564,150.858408068706,1825.93633771879
57,"3/14 Benham Rd Minto 2566",4,2,1,535000,2015-06-24,-34.022703601058,150.857484299158,1477.37785428191
58,"5/39-41 Surrey Street Minto 2566",3,1,1,525000,2015-05-10,-34.0234160209184,150.845861700757,534.731130544153
59,"25/18 Westmoreland Road Minto 2566",2,1,1,305000,2015-04-13,-34.0426711803501,150.845437241181,1731.932602719
60,"26/18 Westmoreland Road Minto 2566",2,1,1,365000,2015-02-18,-34.0426679114078,150.845384854286,1730.81496338136
61,"1/12 Kitson Place Minto 2566",2,1,1,363000,2015-02-05,-34.021088156859,150.859097647881,1683.46518476968
62,"2/40 Randall Avenue Minto 2566",3,1,1,365000,2015-01-14,-34.0231687966842,150.86249726399,1904.67167356766
63,"4/92 Minto Rd Minto 2566",2,1,1,307000,2014-11-21,-34.0207930719577,150.85008081554,1009.79219619764
64,"9/25 Surrey Street Minto 2566",2,1,1,355000,2014-09-22,-34.0250854026643,150.845309752433,360.681273253109
65,"4/89 Minto Road Minto 2566",2,1,1,362000,2014-06-10,-34.0199381178338,150.848899302468,1012.68382175477
66,"4/75 Minto Road Minto 2566",3,2,1,416000,2014-05-27,-34.0207473486759,150.846326812565,812.653144436023
67,"5/92 Minto Road Minto 2566",2,1,1,295000,2014-04-14,-34.0207930719577,150.85008081554,1009.79219619764
68,"1/10-14 Eagleview Road Minto 2566",2,1,1,325000,2014-03-11,-34.0186297446576,150.865689511814,2350.40689652009
69,"3/8-10 Margaret Street Minto 2566",2,1,1,250000,2014-02-19,-34.0258208727584,150.84882646373,609.71896129622
70,"1/12 Kitson Place Minto 2566",2,1,2,295000,2013-10-14,-34.021088156859,150.859097647881,1683.46518476968
71,"11/7 Hanlon Close Minto 2566",2,1,1,282500,2013-09-01,-34.0176155762829,150.85834369569,1819.43276307778
72,"6/34 Westmoreland Road Minto 2566",3,1,1,315000,2013-07-01,-34.0426726052736,150.846729898288,1754.91233964603
73,"1/75 Minto Road Minto 2566",3,1,1,730000,2013-05-01,-34.0207473486759,150.846326812565,812.653144436023
74,"1/36 Surrey Street Minto 2566",2,1,1,223000,2013-04-01,-34.023742328409,150.846589417591,549.859091000903
75,"14/26 Blackwood Avenue Minto 2566",2,1,1,384000,2013-03-01,-34.0208817105838,150.853686877924,1258.41933091356
76,"3/23 Porter Street Minto 2566",3,1,1,370000,2013-02-01,-34.0174867045216,150.863228585042,2205.69607378626
77,"8/9 Surrey Street Minto 2566",2,1,1,215000,2012-11-02,-34.0266614519184,150.844801138549,227.150455795565
78,"6/33 Surrey Street Minto 2566",2,1,1,265000,2012-10-01,-34.0238111019245,150.845710658862,491.137225037352
79,"6/92 Minto Road Minto 2566",3,1,1,450000,2012-10-01,-34.0207930719577,150.85008081554,1009.79219619764
80,"5/48 Minto Road Minto 2566",2,1,1,260000,2012-09-01,-34.0234697908272,150.844981014191,486.292775507182
81,"2/91 Minto Road Minto 2566",2,1,1,267500,2012-07-04,-34.019829278821,150.849246145622,1041.42634036695
82,"9/7 Susan Place Minto 2566",2,1,1,241000,2012-07-01,-34.0281324759257,150.847368264034,461.441981659155
83,"2/36 Surrey Street Minto 2566",2,1,2,210000,2012-07-01,-34.023742328409,150.846589417591,549.859091000903
84,"4/29 Blackwood Avenue Minto 2566",2,1,1,347000,2012-06-01,-34.0209099575975,150.852941726732,1200.63038909145
85,"1/29 Blackwood Avenue Minto 2566",2,1,1,447000,2012-05-01,-34.0209099575975,150.852941726732,1200.63038909145
86,"3/4 Westmoreland Road Minto 2566",3,1,1,280000,2012-03-01,-34.0416320339039,150.843476378752,1597.15329889854
87,"27/18 Westmoreland Road Minto 2566",2,1,1,345000,2012-03-01,-34.0426416760509,150.845322576745,1727.04422625025
