"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"8/148-150 Victoria Street Werrington 2747",4,2,2,635000,2023-04-12,-33.7576775875677,150.750720226555,666.911058495944
2,"61/26-32 Rance Road Werrington 2747",3,2,2,575000,2023-03-27,-33.7622284999873,150.759390886295,368.632615819915
3,"8/79-81 Albert Street Werrington 2747",3,2,2,659000,2023-03-27,-33.7556840357164,150.755317616628,452.008325762959
4,"Unit 66 26-32 Rance Road Werrington 2747",3,2,1,557000,2023-03-22,-33.7621904042373,150.758991153333,350.312954443332
5,"10/22-24 Gibson Avenue Werrington 2747",3,2,2,712450,2023-03-17,-33.7523363874072,150.755704944374,789.798738159395
6,"7/22-24 Gibson Avenue Werrington 2747",3,2,2,694950,2023-03-10,-33.7523363874072,150.755704944374,789.798738159395
7,"7/117 Victoria Street Werrington 2747",3,2,2,605000,2023-03-07,-33.756556675656,150.752691566363,549.612260506272
8,"8/49 Victoria Street Werrington 2747",2,1,2,510000,2023-02-22,-33.7579663441321,150.759476381708,218.6478245857
9,"45/26-32 Rance Road Werrington 2747",4,2,1,630000,2023-02-16,-33.7620378535995,150.758814043719,328.833646889177
10,"31/2 Walker Street Werrington 2747",3,1,3,560000,2023-02-09,-33.7615110090754,150.759308156911,294.521164058896
11,"1/22-24 Gibson Street Werrington 2747",4,2,2,685000,2023-02-03,-33.7523363874072,150.755704944374,789.798738159395
12,"10/78 Reid Street Werrington 2747",3,3,1,622000,2023-02-01,-33.7518169189579,150.755870570781,842.992094995021
13,"8/1-3 Chapman Street Werrington 2747",3,1,1,616000,2023-01-27,-33.7591991125416,150.755320801751,218.11828018082
14,"6/32 Lethbridge Avenue Werrington 2747",3,2,2,653000,2022-12-13,-33.7533644278317,150.751342834323,878.278473762759
15,"9/1-3 Chapman Street Werrington 2747",3,1,1,590000,2022-11-21,-33.7591991125416,150.755320801751,218.11828018082
16,"8/98 Albert Street Werrington 2747",3,2,2,650000,2022-11-09,-33.7564068491368,150.753227337614,518.664565095745
17,"11/78 Reid Street Werrington 2747",3,2,1,620000,2022-11-04,-33.7518169189579,150.755870570781,842.992094995021
18,"54/26-32 Rance Road Werrington 2747",4,2,2,617000,2022-10-31,-33.7617097859093,150.759461294282,320.786368595494
19,"7/30-32 Albert Street Werrington 2747",3,1,1,530000,2022-10-28,-33.757341766617,150.759960268978,298.772565213953
20,"4/30-32 Albert Street Werrington 2747",3,1,1,5e+05,2022-10-25,-33.757341766617,150.759960268978,298.772565213953
21,"1/138-140 Victoria Street Werrington 2747",3,2,2,635000,2022-10-21,-33.7572621385368,150.751514076605,611.374632327283
22,"6/2-8 Kazanis Court Werrington 2747",2,1,1,370000,2022-10-19,-33.7583437393225,150.757878707143,101.413458349576
23,"2/27-29 Albert Street Werrington 2747",3,1,1,529000,2022-09-30,-33.7567630381122,150.760351787675,370.482932490591
24,"4/32-34 Lethbridge Avenue Werrington 2747",4,2,2,675000,2022-09-05,-33.7533644278317,150.751342834323,878.278473762759
25,"8/138 Victoria Street Werrington 2747",3,2,2,645000,2022-08-02,-33.7577889411514,150.751387006953,604.116636970505
26,"8/11 Chapman Street Werrington 2747",3,1,1,595000,2022-07-12,-33.7590085499729,150.753940050841,346.811627838673
