"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"6/25 The Crescent Penrith 2750",3,2,2,560000,2023-03-20,-33.7518271867893,150.703750304274,756.804085373822
2,"4/131 Stafford Street Penrith 2750",4,2,2,728000,2023-03-16,-33.7609935522829,150.706210141399,1546.34143449364
3,"15/132 Coreen Avenue Penrith 2750",3,2,1,585000,2023-03-02,-33.7474623945297,150.702849082045,712.013546787474
4,"15/132 Coreen Avenue Penrith 2750",3,2,1,585000,2023-03-02,-33.7474623945297,150.702849082045,712.013546787474
5,"15/132 Coreen Avenue Penrith 2750",3,2,1,585000,2023-03-02,-33.7474623945297,150.702849082045,712.013546787474
6,"3/149 Stafford Street Penrith 2750",3,1,2,560000,2023-02-24,-33.7608490901817,150.704506603398,1440.37755764295
7,"3/16-18 Lethbridge Street Penrith 2750",3,2,1,615000,2023-02-24,-33.7588917900617,150.709912930946,1629.03048323241
8,"5/35-37 Thurston Street Penrith 2750",2,2,1,575000,2023-01-23,-33.7495838961329,150.705075566985,856.613283532978
9,"5/126 Derby Street Penrith 2750",3,2,1,625000,2023-01-22,-33.7602431624011,150.706123640158,1476.57702051385
10,"3/90-92 Woodriff Street Penrith 2750",3,2,1,630000,2023-01-18,-33.758797493651,150.6927937319,1008.35413963136
11,"3/90-92 Woodriff Street Penrith 2750",3,2,1,630000,2023-01-18,-33.758797493651,150.6927937319,1008.35413963136
12,"3/18-22 Barber Avenue Penrith 2750",3,2,2,620000,2023-01-10,-33.758179831206,150.710730250324,1645.50275329608
13,"1/23 Barber Avenue Penrith 2750",3,2,2,685000,2022-12-16,-33.7574203888687,150.71090551592,1614.85392735329
14,"3/107-109 Jamison Road Penrith 2750",3,2,2,677000,2022-12-12,-33.7634608493016,150.70818290613,1875.20969308514
15,"3/25 The Crescent Penrith 2750",3,1,1,588000,2022-12-12,-33.7518271867893,150.703750304274,756.804085373822
16,"2/151-153 Cox Avenue Penrith 2750",4,2,2,629000,2022-11-10,-33.7546225095888,150.709283869112,1342.11342502281
17,"2/26 Cronin Street Penrith 2750",3,2,1,690000,2022-11-08,-33.7627018679691,150.703578978173,1574.9374891055
18,"6/57-59 KING STREET Penrith 2750",3,2,1,681500,2022-11-08,-33.7531540839715,150.707480502644,1129.59452909118
19,"6/37 Warwick Street Penrith 2750",3,1,1,645000,2022-10-25,-33.7610007607196,150.697310990979,1220.95240867837
20,"1/8-10 Robert Street Penrith 2750",3,2,1,641500,2022-10-18,-33.7492741009916,150.707873530084,1117.45324918919
21,"4/25 The Crescent Penrith 2750",3,1,1,480000,2022-09-26,-33.7518271867893,150.703750304274,756.804085373822
22,"1/29-31 Barber Avenue Penrith 2750",3,2,1,637500,2022-09-20,-33.7572670419501,150.710238484065,1553.02634231431
23,"19 Sherwood Circuit Penrith 2750",3,2,1,607000,2022-09-16,-33.7530982185868,150.711258561682,1465.42724540685
24,"8/27-29 Robert Street Penrith 2750",3,2,1,650000,2022-09-06,-33.7485011218807,150.705946279087,952.080996717379
25,"5/61 Hope Street Penrith 2750",3,2,1,625000,2022-08-27,-33.7581195653221,150.705658109256,1273.67204992052
26,"3/131 STAFFORD STREET Penrith 2750",4,2,2,725000,2022-08-26,-33.7609935522829,150.706210141399,1546.34143449364
