"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"2/182 March Street Richmond 2753",2,1,1,655000,2023-01-24,-33.5963918751089,150.745255225685,715.504674122683
2,"3/155 Francis St Richmond 2753",3,3,2,730000,2022-12-21,-33.5924002451787,150.746572860864,892.843424852885
3,"12/184-186 March Street Richmond 2753",2,2,2,790000,2022-10-26,-33.5963523544354,150.744889607069,748.675760995777
4,"4/55 East Market Street Richmond 2753",3,2,2,840000,2022-06-15,-33.6013428976766,150.750103150844,358.256104092934
5,"11/116 Windsor Street Richmond 2753",2,1,1,595000,2022-05-09,-33.6002120113001,150.75588364655,358.68771688007
6,"1/39 Lennox Street Richmond 2753",2,1,2,625000,2022-03-05,-33.6019924532631,150.754823335798,422.095227753645
7,"2/2 Brentwood Avenue Richmond 2753",3,2,4,8e+05,2021-12-13,-33.6026807427713,150.749661597805,505.107932659022
8,"10/364-366 Windsor Street Richmond 2753",2,1,1,5e+05,2021-11-29,-33.5953159740173,150.746069779036,703.564110113089
9,"3/131 Lennox Street Richmond 2753",3,2,2,715000,2021-10-29,-33.5983290167518,150.7477176612,439.151710514832
10,"106B Lennox St Richmond 2753",3,2,2,780000,2021-09-17,-33.5998797107487,150.748699098243,366.821921050801
11,"1 John Tebbutt Place Richmond 2753",3,1,2,625000,2021-01-20,-33.5982632607214,150.74398394243,784.627645567499
12,"8/182 March Street Richmond 2753",2,1,1,485500,2021-01-15,-33.5963918751089,150.745255225685,715.504674122683
13,"14/155 Francis Street Richmond 2753",3,2,2,680000,2020-09-04,-33.5928678715568,150.74721726158,815.344024970335
14,"9/155 Francis Street Richmond 2753",2,1,2,550000,2020-04-23,-33.5927242057364,150.74664075428,860.542845056176
15,"7/131 Lennox Street Richmond 2753",3,1,2,580000,2020-02-10,-33.5983290167518,150.7477176612,439.151710514832
16,"48 East Market Street Richmond 2753",3,2,2,1490000,2020-02-06,-33.6013115493587,150.750868837699,317.558764951903
17,"1/99 FRANCIS STREET Richmond 2753",3,2,2,630000,2019-09-16,-33.5956210752929,150.752982418403,354.337496821137
