"House_ID","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
1,"Lot 1 103 Kensington Park Road Riverstone 2765",4,2,1,7e+05,2021-05-09,-33.6878940072782,150.876203809844,1762.2032782135
2,"7 Multan Street Riverstone 2765",4,2,1,818000,2021-04-07,-33.6811013583472,150.877602794616,1608.60935979712
3,"4 Nalah Glade Riverstone 2765",4,2,1,670000,2020-11-22,-33.6857268277955,150.880309562609,1986.72538233391
4,"1/88-90 Garfield Road East Riverstone 2765",3,1,2,605000,2020-03-09,-33.6777703481157,150.865417016142,485.822201707498
5,"1/43 Church Street Riverstone 2765",4,2,2,7e+05,2020-02-26,-33.6728681082245,150.862678816012,721.574549759491
6,"1/43 Church Street Riverstone 2765",4,2,2,680000,2017-10-06,-33.6728681082245,150.862678816012,721.574549759491
7,"43 Church Street Riverstone 2765",3,2,2,659990,2017-03-15,-33.6728681082245,150.862678816012,721.574549759491
8,"2/73 Crown Street Riverstone 2765",3,2,1,660000,2016-11-18,-33.669394270363,150.864039450355,1128.25689721235
9,"4/79 Piccadilly St Riverstone 2765",3,1,1,521000,2015-07-31,-33.6805893917012,150.870315400358,933.039633960031
10,"2/60 Sydney Street Riverstone 2765",3,2,2,490000,2014-10-02,-33.6688806273364,150.862389640353,1148.90440626963
11,"4/73 Piccadilly Street Riverstone 2765",3,2,2,560000,2014-09-10,-33.6809349356596,150.870455629598,953.449512729283
12,"5/26 Sydney Street Riverstone 2765",4,2,2,575000,2014-08-19,-33.670233717966,150.859824358886,985.04646559927
13,"3/73 Crown Street Riverstone 2765",3,2,1,390000,2013-09-21,-33.669394270363,150.864039450355,1128.25689721235
14,"4 West Parade Riverstone 2765",2,1,NA,50000,2011-05-01,-33.6805251444134,150.860413103765,162.086345871679
15,"1/88 Garfield Road East Riverstone 2765",3,2,1,319000,2009-08-01,-33.6777703481157,150.865417016142,485.822201707498
16,"5/60 Sydney Street Riverstone 2765",3,2,2,760000,2009-07-01,-33.6688806273364,150.862389640353,1148.90440626963
17,"3/73 Crown Street Riverstone 2765",3,2,1,355000,2007-06-26,-33.669394270363,150.864039450355,1128.25689721235
18,"5/73 Crown Street Riverstone 2765",2,1,1,315000,2007-03-01,-33.669394270363,150.864039450355,1128.25689721235
19,"3/91 Riverstone Road Riverstone 2765",2,1,1,242000,2003-08-01,-33.6821457853923,150.871980130147,1125.15854884777
